	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	4.415309e-08	8.5354615e-05	0.39748454	0.08485196	2.2103509e-06	8.313473e-06	0.014761229	0.14340259	1.5297206e-07	1.8760477e-07	2.6159972e-08	0.048204355	8.473186e-08	1.344629e-07	0.08749489	1.3607422e-07	6.1199517e-09	0.22370383
priorregion1_spot_2	8.950929e-09	9.241415e-09	0.09055552	0.13768175	2.1449457e-06	0.06781831	0.051296584	0.15595645	7.2006756e-06	3.874391e-06	2.4353605e-08	3.2123725e-07	0.003603522	4.216986e-07	2.0474731e-07	4.031973e-07	4.883512e-09	0.49307325
priorregion1_spot_3	0.01410598	1.17132855e-08	0.06367672	0.092248626	9.573947e-07	4.2905933e-07	2.5223872e-07	3.2085953e-07	1.9911516e-07	0.006550833	1.9429947e-08	0.43460578	0.0003101886	0.043449767	3.9018582e-07	8.956515e-06	1.453003e-08	0.3450405
priorregion1_spot_4	0.0010892629	4.2762665e-08	0.56685275	0.018342527	5.4696825e-06	0.006583365	8.5302236e-07	0.04948642	0.0024412635	2.3398245e-06	1.775657e-08	1.8060906e-07	1.562419e-08	2.6070265e-07	4.372308e-07	5.81615e-07	1.4742356e-08	0.35519433
priorregion1_spot_5	4.9104163e-08	1.3805756e-08	1.126962e-06	7.622435e-07	5.779897e-06	0.07301564	2.3206221e-06	0.48377866	0.0061473767	8.106397e-08	1.6513004e-08	0.24267486	0.1943728	1.625574e-07	1.01480715e-07	1.5942e-07	4.0430326e-08	1.00425545e-07
priorregion1_spot_6	0.00076501997	3.5814914e-08	0.3747216	1.589481e-05	3.6498031e-06	7.94615e-05	4.278593e-06	0.44920164	0.002460253	3.3743714e-07	2.147911e-08	0.05558526	0.0012900453	1.0087831e-06	3.2521473e-07	7.217606e-06	2.501527e-07	0.115863785
priorregion1_spot_7	1.2225743e-08	1.4685041e-08	0.49066123	1.8917252e-05	4.3965963e-05	3.3430675e-05	4.633244e-06	0.0002520412	2.6314126e-07	1.2475743e-07	1.9098497e-08	5.6456224e-07	0.421629	9.833908e-08	5.5310113e-07	2.5380987e-07	1.04455026e-07	0.08735462
priorregion1_spot_8	8.504203e-09	9.698653e-09	1.3143558e-07	1.2507422e-07	1.4982699e-07	4.2263318e-07	1.5582175e-07	1.1098375e-07	3.3589376e-07	3.8160982e-07	6.5197963e-09	0.31307432	1.0680215e-08	2.716052e-05	3.029762e-06	0.11285268	6.1008927e-09	0.5740409
priorregion1_spot_9	0.0013078958	2.3643125e-08	0.10090508	0.11819463	4.799465e-06	2.2789538e-07	6.22677e-07	0.2715369	1.265525e-07	1.550025e-07	6.921562e-08	0.21284156	0.106260166	1.00528226e-07	0.0006362271	2.428168e-07	7.563574e-08	0.18831114
priorregion1_spot_10	1.2966357e-08	1.145936e-08	2.5144078e-07	0.095945634	1.295258e-05	1.5521422e-07	6.8137297e-06	4.278096e-07	2.2605194e-07	6.079318e-08	1.5494042e-08	0.90403247	1.2862581e-08	1.3226251e-07	6.047774e-08	5.990843e-07	5.925501e-09	1.18493844e-07
priorregion1_spot_11	0.026724689	1.2582845e-08	0.32171178	0.068137065	2.3876808e-06	6.4556116e-07	3.2841722e-06	0.30481404	1.257464e-07	0.03495604	6.595755e-08	3.963181e-07	2.5814261e-08	2.5991378e-07	0.1135118	3.6222718e-07	2.998308e-08	0.13013695
priorregion1_spot_12	4.0630597e-09	4.115551e-09	0.055265103	1.93061e-06	3.9736017e-07	2.757267e-07	0.043569576	0.5271401	0.039203383	0.0046979897	5.9929977e-09	9.194395e-05	7.0433237e-09	1.7838016e-07	3.2923361e-07	2.6849415e-07	2.9808307e-09	0.3300286
priorregion1_spot_13	0.0008664176	1.3286115e-08	3.7497006e-07	2.9272264e-06	3.7380258e-07	0.05308631	2.3609782e-07	1.6463659e-07	6.428523e-06	0.16676117	1.4498711e-08	4.958636e-06	1.3968482e-08	0.0024293668	0.13126725	0.1660561	1.0276928e-08	0.47951788
priorregion1_spot_14	1.0378561e-08	5.181063e-09	0.2640722	1.6228885e-06	3.5141757e-06	1.0302757e-05	0.036992714	0.5378708	2.2746504e-07	1.1121671e-07	1.1321688e-08	2.5726962e-07	1.3574055e-08	1.2269012e-07	0.0073193405	2.195747e-07	3.3841068e-09	0.15372844
priorregion1_spot_15	3.1811652e-08	9.0171595e-09	0.28272018	1.5031998e-06	3.96654e-07	0.08566992	1.4910062e-06	0.011732021	0.016076766	1.3546115e-07	7.502386e-08	2.2142767e-07	0.13657567	3.4656992e-07	0.12182759	7.897007e-07	1.8606583e-08	0.3453928
priorregion1_spot_16	5.4392215e-09	9.3665316e-09	0.46075234	8.847326e-06	1.3540606e-05	2.0310386e-05	0.11890632	0.04822937	0.005864529	1.00633336e-07	6.889543e-09	0.08997359	6.360421e-09	8.920212e-08	0.0130655635	1.1902177e-07	3.6474022e-09	0.26316535
priorregion1_spot_17	3.6379664e-08	9.670983e-09	2.3979555e-07	7.13575e-07	7.69166e-07	0.00055119145	5.141885e-07	2.6853087e-07	0.0050611906	0.03128583	1.407985e-07	0.19891688	0.5375298	1.0626438e-06	0.01674862	0.04000671	2.2638197e-07	0.1698958
priorregion1_spot_18	1.6831931e-08	1.4496976e-08	9.272252e-06	3.7809093e-07	0.05618167	0.019798964	1.1674348e-06	0.11499827	3.5788642e-07	1.3068038e-06	3.3223074e-08	0.27669135	0.16248804	2.3012444e-07	0.095858015	2.699978e-07	1.2409446e-08	0.27397063
priorregion1_spot_19	0.00013800374	4.326877e-08	0.18651861	1.6116246e-05	0.035802007	2.3404603e-07	2.5437459e-05	0.53188366	0.010647992	1.4032413e-07	1.1894847e-08	3.0594404e-06	1.0400062e-08	1.315358e-07	6.91082e-07	1.16833384e-07	4.322139e-09	0.23496374
