,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,3.395737181222103e-07,3.314888079586353e-08,0.1578194923698902,6.757316768926102e-05,6.181526305226726e-06,7.662544544473348e-06,2.133908992618672e-05,1.147292668974842e-05,0.173979714512825,1.9161983146886997e-07,1.8350016339763188e-09,1.1559407539607492e-06,0.08601597771048546,5.706939049332505e-07,3.517052515888963e-08,1.4537117323243365e-07,5.676463565862378e-09,6.097370963686899e-08
priorregion1_spot_2,1.8343419316835253e-08,6.770217741980389e-09,0.14847152084112167,8.077896518443595e-06,6.66433031710767e-06,2.2095074109529377e-05,6.5186418396479e-06,6.307396106421947e-05,0.2454163357615471,8.465120163236862e-06,2.1863092558582766e-09,1.062235793369837e-06,0.08347326703369617,1.0603690213883964e-06,4.427119762340226e-07,0.010851230332627892,4.276232101751987e-09,2.8751033624985213e-07
priorregion1_spot_3,1.1503977637161712e-08,2.9687846403447794e-09,3.782045905609267e-06,0.0006771769723854958,2.0757052880071573e-05,9.97944762275438e-06,1.0350123557145708e-05,7.056393815219053e-06,0.23804562091827394,1.3476198773787474e-06,2.40451721866819e-09,1.7233068774658022e-05,8.079739366451123e-09,2.941686932445009e-06,1.8535790161422484e-06,0.30036193430423735,9.307288634241573e-10,2.3264780679710387e-07
priorregion1_spot_4,1.316406526008507e-08,2.863629255944744e-09,0.27959481775760653,0.001356936083175242,2.29463307732658e-05,9.544690419716063e-06,8.650943163956983e-06,5.4607980746368416e-05,1.1373990491847508e-05,1.7395708141521026e-06,6.864583124155389e-10,1.818488351545966e-06,0.3085921391844749,4.612224742572835e-07,7.764501255280721e-08,3.8049706176934703e-07,9.736146056038564e-10,3.380174451450558e-08
priorregion1_spot_5,5.263053584059207e-08,1.9932943295941644e-08,0.2847194612026215,9.989959944505245e-05,0.022876005433499814,6.291209501796402e-05,2.004762400247273e-05,2.0541977482935182e-05,0.06142100393772125,2.1093536702210256e-06,6.731240231871994e-09,8.239704657171388e-05,0.10652340613305568,0.06990521512925624,8.069564131574227e-07,0.1887060835957527,4.8233538052500085e-09,5.0134411367253044e-06
priorregion1_spot_6,5.495386279363857e-08,9.411546519899618e-09,0.15537368431687354,0.00012550479368655942,2.0644037795136684e-05,4.459702104213648e-05,2.0761673295055515e-05,6.493469845736399e-05,0.202363458275795,3.1552896302855517e-06,1.2085136336104087e-09,2.2444546175393043e-05,2.0832554881167203e-08,8.720538426132407e-06,3.4992263948652184e-07,0.20332017540931702,9.802031575301131e-10,4.050997688409552e-07
priorregion1_spot_7,3.2029210750295084e-08,1.1484141682061023e-08,0.32389939725399014,0.00011410209081077483,5.696109201380751e-06,0.0001412676021573134,1.40683441713918e-05,2.6326721308578274e-05,0.06674663834273815,1.428818688964384e-06,1.6326874241467947e-09,1.6029777953008307e-06,8.517119587381219e-09,4.3230236769886686e-06,2.6375208506124187e-07,0.04695863407105208,1.991501663578532e-09,4.232205853327287e-07
priorregion1_spot_8,1.3961209655022344e-08,6.312420830489885e-09,0.12867327854037286,0.038021394982934,2.4951991144916973e-05,4.437215793586802e-05,1.478728149777453e-05,2.7913019675906983e-05,0.13934219405055046,1.1059713109773384e-07,2.970829415804843e-09,2.668076615464088e-06,0.15360107272863388,1.5285364099781874e-06,1.5696933957087823e-07,7.740654865528996e-07,6.070894698062546e-09,1.80661090354306e-07
priorregion1_spot_9,2.4886801597290288e-08,4.635873440683725e-09,0.2974492490291596,2.5784703484532653e-05,2.7565275831875628e-05,8.404352820434724e-06,2.9041677862551296e-05,1.541504670967697e-05,0.22869206592440605,1.8152626182654787e-06,9.982384585605076e-10,1.8805350578077197e-06,4.894109340014552e-09,8.254076391267517e-07,3.5465060932438064e-07,0.130564134567976,4.6021987998301485e-09,4.642160405410323e-07
priorregion1_spot_10,7.112367583772539e-08,2.827380312098171e-08,0.16418621465563774,0.012587380409240723,8.191745582735166e-05,6.409726593119558e-05,7.757787061564158e-05,0.0003860705051920377,0.16629028767347337,1.3542736223826071e-05,5.169139738470108e-09,0.000318196346051991,0.190452229231596,5.140864072927797e-06,1.4332576199649338e-06,0.24208092764019964,1.1813675149241478e-08,8.246607677619978e-07
priorregion1_spot_11,3.1664807220721514e-08,3.00637987038499e-07,0.31517965942621234,2.985859637192334e-05,4.2357779193480384e-06,3.861787881760393e-05,1.0575833312032045e-05,1.3037274266025634e-05,0.09006872139871121,1.6390576274716298e-05,1.5120105889554483e-09,2.066102229036915e-06,3.1250367783286496e-06,6.411918934645655e-06,1.081546963632718e-06,0.18332331031560897,1.4152477412210372e-09,3.2027917598043135e-07
priorregion1_spot_12,1.9258066913607767e-05,2.8416951813881044e-08,0.11271957531571389,1.8755207020149103e-05,2.4466592731187123e-05,0.0001129861473600613,1.951739695869037e-05,3.621150262915762e-05,1.9754629011004e-05,1.9746686120925006e-06,9.837461378836566e-09,3.623505449468212e-06,1.8508265942074333e-08,0.0294138771481812,9.689923530231681e-07,0.4508943751454353,5.6721637520240625e-08,3.7532936829620673e-07
priorregion1_spot_13,0.0027427142253145576,1.8931293244150997e-08,4.945801538269735e-06,1.8243785871163712e-05,3.7847624298592566e-06,6.280636966948805e-06,2.8540243306451885e-06,3.085486298459728e-06,0.24062593057751658,1.412112987964065e-06,3.0532084305257005e-09,2.6262955884703843e-06,0.10458362475037575,1.3885589851270197e-06,1.0656275755138722e-07,0.15313381850719454,8.069480816885743e-09,2.650273046356233e-07
