	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	1.1814234e-08	1.0443957e-08	3.1128062e-07	0.30923125	0.030381097	0.19077711	2.0014331e-05	3.3466202e-07	0.18695578	3.2325723e-08	6.63792e-09	0.28191307	4.108655e-09	6.912311e-08	3.9128214e-08	7.287457e-08	0.0007207283	3.5068492e-08
priorregion1_spot_2	0.0044362335	9.885037e-08	4.8547747e-05	0.26461777	5.9339806e-07	0.29006416	2.1974101e-06	1.6902848e-06	0.15747187	0.116649956	2.6868658e-08	0.06901473	2.800533e-08	4.936859e-07	1.3423822e-07	6.929131e-07	0.09769057	3.2852304e-07
priorregion1_spot_3	6.2178565e-08	2.7305198e-08	8.492868e-07	0.27101222	5.997718e-07	0.22542213	0.023913914	0.035837766	0.14080139	2.8486943e-08	3.3259642e-08	0.13581575	2.1869896e-08	3.9605663e-08	2.765474e-08	1.4491796e-07	0.16719493	3.438814e-08
priorregion1_spot_4	4.5533948e-08	1.0979184e-08	8.9191576e-07	0.22362101	0.031507306	0.1182104	1.9995694e-05	4.3318482e-06	0.30273563	6.5677426e-08	7.900053e-09	0.32389987	9.021326e-09	1.1960272e-07	4.154829e-08	1.9259977e-07	5.9935608e-09	9.8394516e-08
priorregion1_spot_5	1.3747724e-07	9.794569e-07	5.8930436e-07	0.16973893	3.2902193e-05	1.2404708e-07	2.2938931e-07	3.7141006e-06	0.3924998	5.414281e-08	8.3326306e-08	0.003686124	3.9749256e-08	5.9162492e-08	4.74824e-08	6.5089885e-08	0.4340356	4.798786e-07
priorregion1_spot_6	3.448874e-08	5.3906405e-08	2.4027897e-05	6.38468e-06	4.069612e-07	0.4520568	2.7060491e-06	2.580284e-07	0.42854944	7.625778e-08	1.3699976e-08	0.058656722	1.1764379e-08	1.164635e-07	5.4014155e-08	9.563439e-08	0.060702704	5.599217e-08
priorregion1_spot_7	2.1348353e-06	5.548859e-07	1.535731e-05	1.8652043e-05	0.052482057	0.41980708	0.00020146545	1.8093762e-05	0.19804266	1.627727e-07	6.546413e-08	0.09868524	5.771523e-08	3.9763614e-07	6.8943365e-08	1.7235786e-07	0.2307257	1.06298586e-07
priorregion1_spot_8	0.0030815299	2.4450665e-07	1.7380724e-05	1.1401804e-05	6.520885e-07	0.19095066	2.1813084e-05	0.11458445	0.31615728	0.2617705	2.2136634e-08	2.8391787e-07	1.2211258e-07	2.605459e-07	0.017784365	4.2447272e-07	0.062194195	0.033424437
priorregion1_spot_9	0.006852576	8.708437e-08	2.263815e-06	0.17831351	4.5855613e-06	0.232517	1.0924806e-06	8.2824766e-07	2.381035e-07	1.233668e-07	6.417624e-08	0.33725595	3.452874e-08	1.0198786e-06	6.307875e-08	1.8497745e-07	0.24505019	1.5873623e-07
priorregion1_spot_10	7.91928e-09	1.13948975e-08	2.3782436e-06	0.20395753	0.09892049	0.110104196	9.990184e-06	6.2687826e-07	0.018835083	7.090654e-08	1.5511242e-08	0.56816906	8.551007e-09	1.2317506e-07	5.7344664e-08	3.4020476e-07	3.6232832e-09	1.18137564e-07
priorregion1_spot_11	0.006759136	2.6228893e-06	1.3389805e-06	0.14672007	0.00059967476	1.6306321e-06	0.047423545	9.746727e-06	0.32092556	9.127935e-08	1.2903696e-07	0.16273907	5.0548966e-08	1.0100047e-07	5.8397458e-08	1.5872368e-07	0.31481695	9.540759e-08
priorregion1_spot_12	4.614398e-07	7.8285744e-08	0.16210903	0.50236505	0.0001625942	0.11777146	1.2235743e-05	2.2949578e-05	4.7253317e-07	2.972221e-07	7.1934934e-08	0.062030755	0.00047761152	3.6569355e-07	0.006241083	1.2308229e-06	0.148804	2.1810027e-07
priorregion1_spot_13	2.2303084e-08	1.499519e-08	0.24109413	0.59227073	0.00894471	0.13197698	0.025097242	1.7485294e-05	1.3562179e-07	5.657367e-08	0.00059647707	1.9496374e-06	1.79056e-08	5.567141e-08	3.6858605e-08	6.4681714e-08	2.6459574e-08	5.581696e-08
priorregion1_spot_14	1.7632938e-07	2.1346423e-06	2.3316892e-05	0.3625071	4.8208138e-05	2.218847e-06	2.6549127e-05	0.016992033	0.14668876	5.0740365e-08	9.363163e-08	2.1728017e-06	1.0285639e-07	1.3255678e-07	5.0596704e-08	1.321433e-07	0.4737068	6.643016e-08
