	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	4.8369175e-06	0.92080635	0.07152484	0.004294384	1.8727079e-08	1.5157799e-08	4.231313e-08	0.0033694617
priorregion1_spot_2	6.778771e-06	0.9999921	2.1264208e-07	5.8837145e-08	7.326523e-07	4.6641844e-08	3.5501643e-08	2.2849335e-08
priorregion1_spot_3	0.017932558	0.9283407	2.5976502e-07	4.5063793e-08	0.046130452	0.002377187	2.5716833e-08	0.005218734
priorregion1_spot_4	9.836388e-07	0.99999887	8.3238476e-08	5.6287103e-08	2.8818567e-08	1.0958729e-08	2.7906514e-08	1.3029048e-08
priorregion1_spot_5	6.911952e-05	0.9798156	0.02011519	4.876814e-08	5.7369647e-08	1.5653033e-08	7.662887e-08	1.6499616e-08
priorregion1_spot_6	0.056913257	0.7913027	4.7869907e-08	1.5636317e-08	0.15043241	1.7062975e-08	7.7582875e-08	0.0013515333
priorregion1_spot_7	0.011963734	0.8819826	2.1888955e-07	0.102078274	8.868533e-08	1.7769132e-08	5.7160623e-08	0.0039749444
priorregion1_spot_8	4.5548902e-07	0.85922086	7.50164e-07	1.8889536e-07	0.14077763	5.109891e-08	6.233332e-08	3.0752336e-08
priorregion1_spot_9	3.4927052e-07	0.8888222	1.6504995e-06	0.0057061124	0.10398883	2.39231e-08	9.1669705e-08	0.0014808611
priorregion1_spot_10	0.036197253	0.8985611	1.8774038e-07	0.06416971	8.5159144e-08	7.462373e-08	8.195154e-08	0.0010714907
priorregion1_spot_11	0.008006305	0.9432942	0.01817283	6.3092676e-07	0.02954888	2.683681e-08	4.7730907e-08	0.0009770405
priorregion1_spot_12	0.16372113	0.4926735	0.14513096	4.217285e-06	0.19667442	4.7019647e-08	0.0017958195	3.233034e-08
priorregion1_spot_13	1.6660584e-07	0.99464685	8.9950134e-08	0.005352693	2.5979668e-08	4.3282014e-08	3.260926e-08	1.8693745e-08
priorregion1_spot_14	0.0043251077	0.88854605	0.004397955	5.515128e-08	0.1027306	3.3243378e-08	4.859933e-08	8.7825356e-08
priorregion1_spot_15	0.0831798	0.8871452	0.011104642	0.009310084	0.009260065	1.8351962e-08	1.0890204e-07	1.2864423e-07
