,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.0012892987520899623,2.673201036453247,4.524380106118997e-08,7.607743987136928e-06,0.026064444147050378,1.5293487578560417e-07,0.00028841956227552144,3.9343646278666706e-07
priorregion1_spot_2,0.002244582341518253,2.8376264452934263,5.074369600066575e-08,8.368187945961835e-06,8.243720549216961e-06,9.136663905451315e-08,2.502803994275382e-07,3.507770671262733e-07
priorregion1_spot_3,2.187467907788232e-05,0.8757156133651733,2.8622759273844167e-08,2.7958767816471665e-07,8.856615920649347e-07,6.188704215759345e-08,5.167229168989707e-08,2.112497217154896e-08
priorregion1_spot_4,0.0001513853763754014,1.175294530391693,9.98491818116065e-09,1.1166064211920458e-06,2.2237888515519444e-05,1.0632272129385001e-07,5.590983676029283e-07,1.483716141592595e-05
priorregion1_spot_5,1.172329530163552e-05,1.098869973421097,6.69794850693961e-08,1.5083840537499781e-06,4.773601958163455e-07,0.0008266605320386589,1.793180430809116e-08,3.283834963951904e-08
priorregion1_spot_6,0.00045673624845221644,2.3868265032768248,6.59958665494287e-08,0.09360252469778062,0.3222406223416328,1.019039615357542e-06,9.653568255885149e-08,3.0450031431428218e-06
priorregion1_spot_7,0.0005990610254229977,3.4519459009170532,4.022721873297997e-06,4.242124305164907e-05,8.715863395991619e-06,2.225455396853704e-07,8.31964737102453e-08,1.0014895615029218e-07
priorregion1_spot_8,0.14955197945237161,3.2187374114990237,5.020681754785983e-07,0.22239226773381232,0.09938761964440346,1.3079814493721642e-06,1.6220435838931737e-06,2.325324230696424e-05
priorregion1_spot_9,0.04857473764568567,0.6860671520233155,1.4113434465556909e-08,2.1579652909053948e-07,1.03832228887768e-05,6.951888380513084e-08,2.967253146834992e-06,1.220933509848976e-08
priorregion1_spot_10,5.259473728074226e-05,1.4551927626132966,0.00015770824320497922,1.7553535883507724e-06,6.940831531210278e-06,6.012608064764891e-08,6.090808568615103e-07,2.3137233462477983e-08
priorregion1_spot_11,0.0006956049008294941,2.720879864692688,8.592117097805386e-08,0.1686307094991207,8.18210952274967e-05,1.3177627522509283e-06,4.97729908488509e-07,2.694443764994503e-07
priorregion1_spot_12,0.08373961634933949,1.2643064975738525,5.0284117136811805e-08,2.934295696377376e-06,1.0862192392349244,3.7929026319716286e-07,1.1164752038439476e-06,2.8284217705731863e-07
priorregion1_spot_13,0.003956192871555686,3.5201159596443174,8.379601524666214e-07,0.37737262099981306,2.6326621627958962e-05,0.00032714646367821844,4.347826188677573e-06,8.876094170773286e-07
priorregion1_spot_14,0.0002569606702309102,1.7022374153137207,8.90190134938962e-09,3.70828506675025e-06,5.636948594656133e-06,1.1622982540870908e-07,9.497463899776904e-08,5.426925963547547e-05
priorregion1_spot_15,0.0010748947970569134,4.086824989318847,3.000300424105263e-07,9.954823945008685e-05,0.12735120281577111,0.0005279847828205675,2.3960414452517403e-07,1.651949145298204e-06
priorregion1_spot_16,0.0008149130240781233,2.376315093040466,6.983490015954886e-06,0.4144058659672737,0.5076377481222153,1.2016365417366613e-06,3.185872145650137e-07,5.260398182826975e-07
priorregion1_spot_17,0.02199593149125576,3.994504415988922,0.00016787409404059873,0.00012076379171048757,5.5925497508724224e-05,2.92613137276021e-07,0.0007888201187597587,2.76152530886975e-06
priorregion1_spot_18,0.0002627093825140037,1.8289131999015809,8.326813031089841e-06,4.39121085946681e-06,4.308021761971759e-05,2.2883920252070315e-07,0.0007212579977931454,7.826947410194408e-08
priorregion1_spot_19,7.572417484880134e-06,1.0309212028980255,3.1411245004164817e-06,2.748089457327296e-07,1.5832104168111984e-06,2.0825750457476037e-08,4.751894100429865e-09,4.5619541388930434e-08
priorregion1_spot_20,0.0001704137284832541,0.9692514747381211,2.188452663531848e-08,1.3141187821474885e-06,3.6829249211223217e-06,8.422956270237594e-08,4.45827051720471e-08,0.00010236853631795384
priorregion1_spot_21,0.00012508216677815654,1.11403888463974,5.347952551915114e-08,0.2351741053164005,9.595801202522125e-07,4.1429328376807464e-07,1.3733265120663418e-06,1.3399324805263291e-08
priorregion1_spot_22,0.003306457248982042,2.035465896129608,4.843973641754929e-07,1.4157302498817446,0.6328879624605179,2.020824945248023e-06,1.0759385418168677e-06,5.041900894866558e-05
priorregion1_spot_23,0.00039830987516324966,2.6195878267288206,1.254893021496173e-07,1.2902853404739291e-05,1.126569145526446e-05,1.0763714506367706e-07,3.052424318639169e-07,2.1382052892704453e-07
priorregion1_spot_24,0.0064254057127982375,1.38136927485466,1.2180754538348992e-06,2.074481449199084e-06,1.6198239336517872e-05,7.506250447875119e-08,4.545576317127598e-07,1.4610733032327516e-07
