	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.008443852	0.9787615	3.8981904e-07	1.2834753e-08	0.010796637	1.9742988e-08	0.001997556	8.472341e-09
priorregion1_spot_2	0.00011817139	0.99988157	2.5395343e-07	7.821172e-09	2.270832e-08	1.292656e-08	1.399806e-08	9.723965e-09
priorregion1_spot_3	3.346775e-06	0.9999966	6.9653304e-08	1.6394711e-08	2.8581345e-08	1.2938352e-08	2.309321e-08	8.498314e-09
priorregion1_spot_4	0.016914936	0.98003596	0.002667906	1.5695857e-08	0.00038086684	6.5550054e-08	2.7748138e-07	3.0746172e-08
priorregion1_spot_5	1.5861906e-06	0.999329	5.155237e-08	1.7138042e-08	8.770137e-09	4.9075926e-08	9.519293e-09	0.00066930515
priorregion1_spot_6	0.00014608908	0.9112922	2.693914e-07	0.032530952	0.056030426	2.195013e-08	1.1021037e-08	1.8665952e-08
priorregion1_spot_7	0.0009689278	0.9990301	1.0233563e-06	1.4603084e-08	1.6950715e-08	1.4476983e-08	9.1348165e-09	5.795401e-09
priorregion1_spot_8	0.063420914	0.8792405	1.5201729e-06	0.04484265	0.012494264	3.195541e-08	9.0142976e-08	3.8364433e-08
priorregion1_spot_9	0.11815128	0.88184834	9.125471e-08	1.084695e-08	2.6069728e-08	3.825636e-08	2.3962215e-07	5.817788e-09
priorregion1_spot_10	7.5108933e-06	0.99999225	7.536983e-08	2.1230019e-08	3.9503607e-08	1.1892814e-08	9.724058e-08	8.339423e-09
priorregion1_spot_11	0.0002775832	0.9537713	6.132883e-07	0.045950435	9.551282e-08	2.1036332e-08	4.6357943e-08	1.2884928e-08
priorregion1_spot_12	0.037834696	0.7128422	2.7705005e-08	7.100726e-09	0.24932301	4.8434017e-09	1.9818676e-08	8.445052e-09
priorregion1_spot_13	0.000895923	0.9277895	8.4771494e-07	0.07131364	7.539601e-09	1.6947839e-08	1.7817118e-08	3.816883e-09
priorregion1_spot_14	0.015978348	0.9840214	1.6294383e-07	1.935947e-08	3.581234e-08	1.744104e-08	2.0462911e-08	7.4458e-09
priorregion1_spot_15	0.0017156429	0.9827313	3.741385e-06	2.298655e-08	0.015549054	2.6663224e-07	6.089541e-08	7.9750775e-09
priorregion1_spot_16	3.19698e-05	0.8135976	0.0143874325	0.10275367	0.0692293	1.1839157e-08	6.2736434e-09	5.911962e-09
priorregion1_spot_17	0.028637446	0.97135955	2.9021833e-06	2.3439565e-08	2.4291491e-08	1.4319286e-08	1.05530134e-07	6.5893158e-09
