	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	5.6068348e-08	0.0105674695	2.1522773e-08	0.0051964126	0.9811113	8.54827e-09	1.0497879e-08	0.003124672
priorregion1_spot_2	3.7304574e-08	0.007407382	5.9987094e-08	0.0077231424	0.98486924	1.04300796e-07	2.0974726e-08	1.818115e-08
priorregion1_spot_3	2.133445e-07	0.019196326	2.4303594e-07	7.803837e-08	0.98080295	9.6631275e-08	7.1473536e-08	7.107657e-08
priorregion1_spot_4	8.8541334e-08	1.8917632e-08	0.6059564	0.018923687	0.36996436	6.824467e-08	8.458582e-08	0.0051552695
priorregion1_spot_5	0.003467318	1.9878167e-08	0.3711364	0.018408464	0.59068125	0.0036065727	4.6614634e-08	0.012699873
priorregion1_spot_6	5.269243e-08	2.6801683e-08	7.3083456e-08	4.211107e-08	0.98971623	5.0064585e-08	2.486151e-08	0.010283482
priorregion1_spot_7	2.2159256e-07	3.2379535e-08	0.5282892	0.020159638	0.4341398	0.0100556845	0.0066503454	0.0007050693
priorregion1_spot_8	4.3643375e-08	2.3610212e-08	3.5068673e-08	0.003724546	0.9873888	2.2504949e-08	3.601291e-08	0.0088865
priorregion1_spot_9	0.029799206	9.2600345e-07	0.24048714	0.020110184	0.7073497	9.2620605e-09	3.1588787e-08	0.0022527836
priorregion1_spot_10	1.216595e-07	9.688997e-08	1.2816622e-07	2.1654955e-07	0.9999991	3.779565e-08	7.232229e-08	2.284705e-07
priorregion1_spot_11	0.07396701	4.4880167e-08	0.060186293	0.010104843	0.72957224	1.1267639e-07	0.12616944	4.415559e-08
priorregion1_spot_12	0.014304359	0.015295401	0.19376868	7.077973e-08	0.77663136	1.6667853e-08	3.7865348e-08	4.7940816e-08
priorregion1_spot_13	0.00064044085	1.7743676e-07	1.6734937e-07	0.006740169	0.98322403	1.8840295e-07	8.6864894e-08	0.009394801
priorregion1_spot_14	2.334595e-08	2.1506457e-08	3.459899e-08	8.123538e-08	0.99792826	1.6793889e-08	3.0263518e-08	0.0020714998
priorregion1_spot_15	2.4638078e-07	0.008103163	2.775335e-08	3.3927893e-08	0.97533685	5.511342e-08	1.1430862e-07	0.016559536
priorregion1_spot_16	8.585247e-08	1.9982972e-08	3.019578e-07	1.9750427e-08	0.98734236	3.1242543e-08	0.012657081	1.2120479e-07
priorregion1_spot_17	4.072602e-08	3.2021173e-08	6.079477e-08	2.230147e-07	0.99822956	3.595396e-08	2.6879063e-08	0.0017700793
priorregion1_spot_18	8.7463775e-08	3.662596e-08	4.5477442e-08	7.423366e-08	0.9913102	1.0552494e-08	0.008689343	1.3124628e-07
priorregion1_spot_19	1.6312325e-07	6.415878e-08	0.09895887	4.428068e-07	0.9010399	6.8217304e-08	2.284256e-07	2.2744892e-07
priorregion1_spot_20	6.9706516e-08	9.398846e-08	1.0600119e-07	4.2665565e-08	0.99999946	5.3548646e-08	6.179962e-08	7.101169e-08
priorregion1_spot_21	0.041667145	0.0002439904	0.27689424	4.7562207e-08	0.68119454	6.093286e-09	1.8450537e-08	2.1052692e-08
priorregion1_spot_22	2.5118112e-08	1.1124315e-08	2.5867271e-08	1.9729764e-08	0.99999976	8.613734e-09	1.1351645e-08	8.763508e-08
