	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.05023719	0.011411051	0.93816334	1.575937e-07	9.843861e-08	0.0001880477	2.344952e-08	8.104309e-08
priorregion1_spot_2	1.138804e-07	7.923079e-08	0.9999995	1.15616956e-07	3.479818e-08	6.4789575e-08	4.555971e-08	3.838291e-08
priorregion1_spot_3	1.2824947e-07	1.0546872e-07	0.99999934	1.11431255e-07	5.434005e-08	8.800964e-08	1.1627665e-07	6.796503e-08
priorregion1_spot_4	0.06555503	0.011590317	0.91746575	2.2320741e-07	3.273548e-07	0.0026250002	1.0283109e-07	0.0027632266
priorregion1_spot_5	1.11145745e-07	9.1755666e-08	0.99999917	2.1594832e-07	1.6463545e-07	9.710175e-08	8.2377994e-08	7.28841e-08
priorregion1_spot_6	9.180972e-08	7.590909e-08	0.9999991	2.0565477e-07	1.9388895e-07	1.4865249e-07	8.82571e-08	1.0522974e-07
priorregion1_spot_7	0.042291645	0.033361923	0.9229196	1.1863734e-07	6.896489e-08	7.98172e-08	4.1593037e-08	0.0014265717
priorregion1_spot_8	4.5267484e-08	4.6963976e-08	0.9999998	6.753457e-08	2.3870344e-08	2.5844303e-08	2.9505916e-08	2.4914526e-08
priorregion1_spot_9	1.1273352e-07	1.0614259e-07	0.9999993	1.1433923e-07	1.9823223e-07	7.118755e-08	8.148834e-08	8.000959e-08
priorregion1_spot_10	0.024560155	0.017082078	0.9516852	1.0475842e-07	0.006672377	3.2994436e-08	7.9558674e-08	1.58744e-08
priorregion1_spot_11	3.9272126e-07	2.7064493e-07	0.9999977	4.3498466e-07	3.3761754e-07	2.5581494e-07	4.954506e-07	2.0711377e-07
priorregion1_spot_12	5.8632764e-08	5.4521443e-08	0.9999997	1.1059404e-07	3.3873782e-08	6.398888e-08	4.2565183e-08	2.533504e-08
priorregion1_spot_13	6.848854e-07	1.7219327e-07	0.93867916	5.7071657e-07	0.061318904	1.6314426e-07	3.0457392e-07	5.2333142e-08
priorregion1_spot_14	0.01798064	1.620775e-05	0.9640032	1.2163287e-07	0.0030585497	2.7021171e-08	0.01494127	2.8715153e-08
priorregion1_spot_15	2.346093e-07	2.2771535e-07	0.9999981	3.8479203e-07	1.9394602e-07	3.240884e-07	1.9816564e-07	2.6786063e-07
priorregion1_spot_16	0.003051995	7.3213033e-07	0.9969468	1.0973063e-07	8.404681e-08	1.14384626e-07	1.2778648e-07	5.1403802e-08
priorregion1_spot_17	1.9315924e-07	1.2491567e-07	0.9999986	1.5201985e-07	3.3323684e-07	4.9253376e-08	1.1009423e-07	3.4140908e-07
priorregion1_spot_18	2.0887097e-07	1.2838524e-07	0.999999	1.7659549e-07	1.0621986e-07	1.4545816e-07	1.4907924e-07	6.587699e-08
