,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,2.536159527301788,0.1814650349318981,4.529355919657974e-06,0.013174391258507967,0.17237871736288068,7.463592027079357e-07,0.012765338830649854,9.836084536800627e-05
priorregion1_spot_2,1.8891550540924074,0.24415581002831457,8.01704729269659e-07,1.345464647783956e-06,1.4243822442949752e-05,1.7134227690007722e-07,5.054857894037923e-07,1.101840748418681e-07
priorregion1_spot_3,3.5682991385459903,0.28244336396455766,1.1772749485317038e-05,3.0487278877444625e-06,0.16962930411100388,1.2574102811413469e-06,0.015594737743958831,6.88261184222938e-06
priorregion1_spot_4,1.7498758256435394,0.09639710560441017,0.0006406224652891979,1.2146684120750708e-07,3.7998663628968643e-06,8.030525407320966e-07,5.234652689978248e-07,2.6613065262637295e-08
priorregion1_spot_5,3.6832987308502196,0.45027307868003846,0.004859907226637006,0.01711409064009786,0.3005273550748825,0.0006736917159287259,0.013866726215928793,0.0006073052383726463
priorregion1_spot_6,2.5352707982063296,0.19205818101763728,1.1516834661051687e-06,5.077354813920464e-07,0.22239593639969826,5.042814109401661e-07,1.5257695508807956e-06,0.005973426508717239
priorregion1_spot_7,2.220780229568481,0.13520420640707015,4.736563278129325e-06,6.536068809737116e-07,0.19607826247811316,8.607702966401121e-07,1.6963237840172952e-06,2.3212419705487265e-06
priorregion1_spot_8,3.371337556838989,0.22987152189016344,6.273112762755773e-06,5.167048743714986e-06,4.030341351608513e-05,1.4848878549855728e-06,0.0011357722396496683,0.0002351792107219808
priorregion1_spot_9,1.389630740880966,0.05990974381566047,0.03936717417091132,1.943821089867015e-07,2.530347717311088e-06,1.4759506044015326e-07,1.6500567667776525e-07,6.557643561500015e-09
priorregion1_spot_10,0.5635711252689362,0.0359299561008811,5.8433678340463764e-08,1.3587431553219177e-07,4.06961132739525e-06,1.6719538677989477e-07,2.592268417700439e-08,1.923154041572062e-09
priorregion1_spot_11,1.050035446882248,0.09667461924254894,1.9470971945878546e-08,5.7518553830959716e-08,8.258084426415735e-06,1.0233505065571082e-07,6.064806239436394e-08,3.815049165467599e-09
priorregion1_spot_12,3.2467997550964354,0.3637385115027428,0.000712556642247364,1.603741020517191e-06,5.476132009789581e-05,4.002622836196679e-06,0.00312709657009691,7.471639321465775e-07
priorregion1_spot_13,2.0563267827033997,0.09579993821680545,3.110385059699183e-05,3.933965473379431e-07,0.6189945340156555,3.251029681905493e-07,0.00013728532576351427,0.0004306645525502972
priorregion1_spot_14,0.750456702709198,0.00035627476900117476,1.5848340773061408e-08,2.987399367881949e-08,3.7313467942112766e-06,5.994004652620788e-08,7.887515465654361e-07,8.872528134418189e-09
priorregion1_spot_15,2.599127542972565,0.33452739268541337,0.0009724594681756572,2.2940138705962457e-06,2.0707701241917676e-05,1.2788918354544877e-06,1.7351728365611053e-05,0.0001327519552432932
priorregion1_spot_16,2.039715754985809,0.10558856278657913,6.070970130167552e-06,2.7134360180980366e-07,0.2951344668865204,6.328999774041222e-07,1.194249165337169e-06,5.152728977009246e-06
priorregion1_spot_17,1.8000925302505495,0.148879873752594,2.0812521825064324e-06,1.6960983202807258e-06,4.470677158678882e-05,2.1530300529093437e-07,0.0014430420531425625,0.0013010616414248942
priorregion1_spot_18,1.2548857390880586,0.11174651272594928,2.8563076739374086e-07,1.637348191252386e-06,0.4566394492983818,2.0252170216394915e-07,0.0075298302806913854,7.430841787936516e-06
priorregion1_spot_19,1.3517975211143494,0.07679873108863831,0.001895331038394943,2.91720962763975e-07,6.762425391571015e-06,2.202182904511574e-05,1.5418596674976472e-07,1.2307887020668319e-08
priorregion1_spot_20,2.5266459584236145,0.14549278393387793,0.02647814676165581,6.806537271586421e-07,0.1121804278343916,9.101785707343879e-07,0.00948311509564519,6.582825676559878e-07
priorregion1_spot_21,3.484569621086121,0.36307895630598064,9.472145620748051e-06,3.0425133900280347e-05,9.971651124942583e-05,1.2244903928149143e-06,0.0019889748073183,5.610832431557356e-06
priorregion1_spot_22,1.0776151657104494,0.002015783521346748,1.9747290753002745e-05,3.111038111569542e-07,0.2899900555610657,1.9868951284252034e-07,0.00017240704692085275,5.837048615831009e-06
priorregion1_spot_23,1.74693723320961,0.15864971429109576,0.038871368765831,1.0332457634376626e-06,4.3355327397875955e-05,1.1559496556401429e-06,9.040813438332407e-06,3.2282301134500816e-07
priorregion1_spot_24,2.910784089565277,0.4777083516120911,0.04289382994174957,7.370274533968768e-06,5.204599747230532e-05,2.3192747335087916e-06,0.002858402451965958,4.768062083826408e-07
priorregion1_spot_25,1.5964949965476989,0.08316091224551202,2.6950993543550793e-07,4.3725849963038854e-07,1.5089114913280355e-05,1.7992233551922255e-07,0.002026813826523721,2.7590829798640473e-08
priorregion1_spot_26,4.157612824440003,0.44220639765262604,0.009395994059741498,4.7306577926065074e-06,0.01058366489596665,1.22162177831342e-05,0.060296785272657874,7.476876203327265e-06
priorregion1_spot_27,0.6740106165409088,0.02841405440121889,5.211819370742888e-06,1.1688763450479203e-07,2.2507573589791716e-06,8.26624443561741e-08,1.526557360875813e-06,2.1751922840707037e-08
priorregion1_spot_28,1.277377265691757,0.0254101631231606,2.187369759099056e-07,4.2974544669505125e-07,0.7558729588985443,7.347897621912125e-07,0.0007749849581159652,1.012318753055297e-05
