	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.9025308	0.049344264	4.0341328e-07	0.011697747	0.028778516	5.908031e-09	0.007648229	8.6482075e-09
priorregion1_spot_2	0.82476616	0.15390444	0.021329084	1.0038491e-07	7.924316e-08	7.190609e-08	3.779383e-08	3.9015813e-08
priorregion1_spot_3	0.91784	0.045436874	0.014580704	1.2959094e-08	0.010636397	1.246195e-08	0.011506077	6.2705494e-09
priorregion1_spot_4	0.9008695	0.071937926	0.027192606	1.5150341e-08	6.444443e-09	3.1321264e-08	1.3848124e-08	7.082023e-09
priorregion1_spot_5	0.82941127	0.11945996	4.699518e-06	0.010719129	0.025522891	0.0022187207	0.009546468	0.003116864
priorregion1_spot_6	0.8664687	0.07983107	1.5623372e-07	1.0428247e-08	0.03965604	2.4441942e-08	1.831864e-08	0.014044037
priorregion1_spot_7	0.90445006	0.04043156	0.018189281	2.608566e-08	0.03692897	3.6449535e-08	5.1026664e-08	1.9725883e-08
priorregion1_spot_8	0.9203954	0.06636571	0.010377651	3.6574544e-08	3.0693247e-08	2.6760178e-08	0.0012695113	0.0015917091
priorregion1_spot_9	0.8172356	0.074841164	0.10792326	1.5244764e-08	9.773999e-09	2.045509e-08	1.8296383e-08	1.2843991e-08
priorregion1_spot_10	0.82275283	0.17724688	2.1325265e-07	2.0826995e-08	3.488131e-08	2.6948019e-08	9.413596e-09	1.4244149e-08
priorregion1_spot_11	0.81106186	0.18893811	9.711507e-08	7.4038304e-09	2.0266217e-08	1.4632821e-08	8.447952e-09	4.904023e-09
priorregion1_spot_12	0.89637035	0.097204596	1.7435521e-05	1.6600849e-08	1.5917236e-08	3.013938e-08	0.0064076004	1.05087e-08
priorregion1_spot_13	0.7692269	0.054484323	0.0033720518	1.0393499e-08	0.1660285	1.24879325e-08	0.0033284428	0.0035597791
priorregion1_spot_14	0.9999973	2.5283475e-06	6.655829e-08	7.694846e-09	7.837638e-09	1.2961612e-08	3.04743e-08	1.1069899e-08
priorregion1_spot_15	0.8551263	0.13881302	1.0392135e-06	4.9935977e-08	1.7857683e-08	9.3318796e-08	2.9667536e-08	0.006059408
priorregion1_spot_16	0.8596171	0.056431547	0.0024806864	1.6238507e-08	0.07918057	6.517907e-09	0.0022900854	4.174746e-08
priorregion1_spot_17	0.88243353	0.09570085	0.008295759	2.336485e-08	2.0602743e-08	2.5559567e-08	0.0044561485	0.009113678
priorregion1_spot_18	0.7272094	0.07496819	0.0042202747	5.6822497e-08	0.17661916	2.0703009e-08	0.016982812	1.317469e-07
priorregion1_spot_19	0.8424332	0.088025935	0.064513534	1.1953959e-08	7.469163e-09	0.0050272564	1.0626e-08	6.375579e-09
priorregion1_spot_20	0.8645327	0.060555216	0.040218316	1.6978502e-08	0.02530713	2.2784361e-08	0.00938653	6.3597106e-08
priorregion1_spot_21	0.9063847	0.0922425	1.3812972e-06	6.9754776e-08	2.2208448e-08	2.3273435e-08	0.00081562425	0.00055570545
priorregion1_spot_22	0.8175943	1.7457722e-06	1.1127577e-07	9.268551e-09	0.17091303	5.2473745e-09	0.0051029734	0.00638784
priorregion1_spot_23	0.80844814	0.108995855	0.073130965	1.4803019e-08	1.7457545e-08	1.6796188e-08	0.0057189846	0.0037060783
priorregion1_spot_24	0.77833235	0.13149075	0.08801492	1.3520076e-08	2.3295446e-08	1.8106219e-08	0.0014973201	0.00066457957
priorregion1_spot_25	0.8945596	0.103230685	3.0508403e-07	9.18823e-09	1.0820527e-08	4.969458e-09	0.0022094094	7.385408e-09
priorregion1_spot_26	0.8520555	0.06416548	0.060627215	2.8400647e-08	6.1297165e-08	2.0379031e-07	0.02315157	1.5184815e-08
priorregion1_spot_27	0.90165854	0.09517595	3.2473898e-07	9.902085e-09	9.433941e-09	3.3262392e-08	0.0031652297	1.3650706e-08
