	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	9.8182895e-08	9.489079e-08	0.99999875	3.4100742e-07	2.5387297e-07	1.8294023e-07	9.713301e-08	6.0064565e-08
priorregion1_spot_2	8.512844e-08	6.8529644e-08	0.9999994	1.5880694e-07	8.0105885e-08	7.430703e-08	4.2934417e-08	3.907214e-08
priorregion1_spot_3	0.03889916	5.3040527e-08	0.95902866	1.5096218e-07	6.8617275e-08	0.0020717962	4.9320395e-08	6.6979204e-08
priorregion1_spot_4	3.2194723e-07	1.3954e-07	0.9999993	1.2233261e-07	4.4733113e-08	9.3427374e-08	7.9039474e-08	3.1791707e-08
priorregion1_spot_5	1.334627e-07	1.6846052e-07	0.99999946	7.258696e-08	3.8276195e-08	3.8992283e-08	8.259656e-08	8.125378e-09
priorregion1_spot_6	3.2962595e-07	3.3949624e-07	0.9999989	1.0943695e-07	6.7371104e-08	7.4034794e-08	5.4814457e-08	3.7444355e-08
priorregion1_spot_7	2.8856974e-07	1.6515918e-07	0.9976247	1.2626123e-07	0.0023744858	1.1695109e-07	1.7677638e-07	5.0834515e-08
priorregion1_spot_8	6.166718e-08	6.514054e-08	0.99999964	1.000257e-07	7.668757e-08	5.4103833e-08	5.3977615e-08	2.9431666e-08
priorregion1_spot_9	1.0692068e-07	1.5262518e-07	0.9999984	2.3543268e-07	7.8327264e-07	1.8041769e-07	6.274518e-08	5.9361604e-08
priorregion1_spot_10	2.1582448e-06	0.007990719	0.9785932	9.7403635e-08	0.013413498	4.237589e-08	7.2298064e-08	2.71896e-07
priorregion1_spot_11	7.456847e-08	6.566641e-08	0.9999996	5.8672054e-08	3.6475242e-08	3.265435e-08	4.5464088e-08	4.846143e-08
priorregion1_spot_12	0.0047136825	0.008804159	0.986482	8.69247e-08	5.2213636e-08	4.9932765e-08	3.9862005e-08	2.0582267e-08
priorregion1_spot_13	2.8848217e-07	6.1034126e-07	0.9999987	9.3062305e-08	8.785254e-08	1.1065088e-07	6.562906e-08	4.7641056e-08
priorregion1_spot_14	2.613367e-07	2.1905771e-07	0.9999976	7.119342e-07	3.2777336e-07	3.0618756e-07	2.6679575e-07	2.9712933e-07
priorregion1_spot_15	0.016782701	1.6562825e-07	0.9774031	1.5715968e-07	5.669004e-08	1.1159557e-07	5.831224e-08	0.005813637
priorregion1_spot_16	5.9443146e-08	4.7910046e-08	0.99999917	6.737157e-08	1.7158955e-07	5.5189936e-08	4.0249123e-08	2.7001394e-07
priorregion1_spot_17	1.2656912e-07	1.4139273e-07	0.999999	1.9330137e-07	1.0852256e-07	1.5987047e-07	1.5475787e-07	1.2669628e-07
priorregion1_spot_18	1.1500643e-07	7.58378e-08	0.9999988	2.576026e-07	1.7049655e-07	1.7961112e-07	1.4714958e-07	1.7857407e-07
priorregion1_spot_19	2.416339e-07	1.6378034e-07	0.9999983	5.015455e-07	2.6936112e-07	2.9709827e-07	2.408193e-07	1.0045559e-07
priorregion1_spot_20	1.0291094e-07	8.200723e-08	0.99999756	3.1843527e-07	1.6377497e-06	1.5631517e-07	1.2138494e-07	5.8292105e-08
priorregion1_spot_21	0.024936488	0.07080379	0.8570754	0.006100022	0.04108397	2.0141321e-07	5.591467e-08	8.297413e-08
priorregion1_spot_22	7.310029e-08	5.2931703e-08	0.99999964	8.5158675e-08	3.9269697e-08	3.6612533e-08	5.075061e-08	1.2890844e-07
priorregion1_spot_23	7.688685e-08	4.4637137e-08	0.99999946	1.5252563e-07	6.190848e-08	1.08757334e-07	8.324255e-08	2.7920454e-08
priorregion1_spot_24	1.3160742e-07	1.1933115e-07	0.9999994	8.424788e-08	5.8209427e-08	6.284247e-08	4.5941047e-08	3.8318877e-08
