	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.030402139	5.5590558e-08	5.6417537e-08	1.9595308e-08	0.027327994	2.1524828e-07	0.94226956	8.637789e-09
priorregion1_spot_2	0.041004594	0.048391588	0.0033885387	2.9133435e-08	0.18045874	1.2545833e-07	0.7267564	4.03249e-08
priorregion1_spot_3	2.5160615e-08	2.1604388e-08	8.1804025e-08	0.047764935	3.3032542e-08	0.004315376	0.94791955	1.3580295e-08
priorregion1_spot_4	0.19391848	2.177962e-07	7.6614135e-08	1.5960103e-08	0.28751716	0.0038029642	0.5067356	0.0080255
priorregion1_spot_5	0.009968548	0.0143239815	8.3559064e-07	4.893066e-08	0.056621004	0.019094208	0.8809262	0.019065216
priorregion1_spot_6	2.1126462e-08	2.298993e-08	7.638028e-08	1.0547957e-08	3.5067252e-08	5.53612e-08	0.99999976	4.2098005e-09
priorregion1_spot_7	0.0008537852	3.658478e-08	0.0018108955	1.8286659e-07	2.5400034e-08	4.8190156e-08	0.997335	8.235654e-09
priorregion1_spot_8	6.624235e-08	0.0023889134	9.127035e-08	2.9550337e-08	3.5090885e-08	0.016327953	0.9812829	9.233724e-09
priorregion1_spot_9	0.32528982	1.0124653e-06	0.013339094	1.868198e-08	3.1707188e-08	0.0049603805	0.6564096	1.6218253e-08
priorregion1_spot_10	0.007063607	3.9781042e-08	3.300696e-08	1.7323874e-08	0.06689482	1.09028406e-07	0.92604136	7.185627e-09
priorregion1_spot_11	2.5287788e-08	3.6754994e-08	5.535994e-08	1.721599e-08	4.075151e-07	6.473323e-08	0.9999994	2.9770074e-08
priorregion1_spot_12	0.004755842	8.4074946e-07	3.3630275e-07	1.9119136e-08	0.014084576	5.3101388e-08	0.9811584	3.516037e-08
priorregion1_spot_13	4.7074927e-08	2.3082377e-08	7.2885754e-08	8.756505e-08	4.3623263e-08	2.7241635e-08	0.9999996	1.4138013e-07
priorregion1_spot_14	0.1758609	0.02828151	0.011952585	2.1069933e-07	0.011812813	0.024114855	0.74797714	1.9311594e-08
priorregion1_spot_15	0.00917351	1.0950037e-06	1.243771e-07	3.226242e-08	0.062431425	0.0048865792	0.92350715	1.4304558e-07
priorregion1_spot_16	2.4299485e-08	4.462726e-08	0.0031434442	1.788452e-08	2.4039966e-08	2.4935131e-08	0.99685645	7.834734e-09
priorregion1_spot_17	0.002926033	0.0009535648	0.010529221	4.323213e-08	0.092601046	0.014227117	0.87876284	6.261461e-08
priorregion1_spot_18	0.23474342	1.3437275e-07	1.2025635e-07	1.4190663e-08	0.0015407336	1.780609e-07	0.7617517	0.0019636948
priorregion1_spot_19	0.040827688	1.146386e-07	1.485595e-07	1.9735289e-08	0.008715749	0.009236883	0.9412194	1.8073093e-08
priorregion1_spot_20	8.966659e-08	9.501235e-08	0.0019772064	2.596296e-08	0.0053230664	0.006746901	0.9859527	1.8187482e-08
priorregion1_spot_21	2.4150898e-08	1.3063077e-08	2.3244194e-08	1.0444036e-08	1.622775e-08	3.306794e-08	0.9999999	9.030366e-09
priorregion1_spot_22	3.4595782e-08	2.3324652e-08	3.311423e-07	1.312475e-08	0.05012917	1.1439338e-07	0.94987035	1.2697623e-08
priorregion1_spot_23	3.4554812e-06	4.472159e-08	9.254161e-08	3.012116e-08	0.021348476	0.11184478	0.8634065	0.003396594
priorregion1_spot_24	0.28722635	8.856108e-08	2.608991e-07	2.7056082e-08	0.0522122	4.5124192e-08	0.65780747	0.0027536077
priorregion1_spot_25	0.08964279	1.2695273e-07	4.514028e-08	2.3710712e-08	0.0011411385	3.0228886e-08	0.9092158	3.116357e-08
priorregion1_spot_26	0.46536222	3.6560158e-07	0.017380469	1.7020563e-08	0.03360779	0.10756019	0.37608895	1.83843e-08
