,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,3.603233415105933e-06,1.8357202691277055e-06,1.88221589070281e-07,3.092860114574432,3.83782280550804e-05,3.1914612037553524e-07,0.00039661529881414027,0.00045122879091650245
priorregion1_spot_2,3.946222705053515e-06,0.00254154751310125,1.409300239174627e-07,1.9299043416976929,0.0015899602556601166,2.3157026816988945e-06,1.516862557764398e-05,0.056413715146481996
priorregion1_spot_3,5.92651699093949e-07,0.00039895029767649247,2.0817712353959905e-07,0.9854952186346054,0.0014247262850403785,1.7088773205387042e-07,4.880814486796226e-07,3.063597250729799e-05
priorregion1_spot_4,0.00020757491220138035,7.802708609006004e-07,1.155914395312152e-08,0.3521904438734054,3.619278322730679e-05,2.3678559557538392e-07,4.4433891766004764e-08,0.03796604238450527
priorregion1_spot_5,1.2146790481892824e-06,7.944030429030136e-08,2.04402639383261e-06,0.9634542167186737,5.291817160468781e-06,6.008955352854173e-07,1.0782692498878532e-07,2.590287252246526e-07
priorregion1_spot_6,4.726032148028026e-05,2.561285526780921e-07,4.523026642111461e-09,0.8858304500579834,7.421675491059432e-07,1.5439243341575093e-07,2.9244197996547435e-08,2.533449023900403e-08
priorregion1_spot_7,5.682463694256512e-07,1.060621166004694e-07,0.00014584925593226215,1.2543382048606873,4.603743327606935e-05,7.358576361582437e-08,1.9199174872142066e-07,7.58130582312333e-07
priorregion1_spot_8,7.57568238896056e-07,3.1380306779738027e-07,1.4573882500812373e-08,0.43720892518758775,0.2091663047671318,6.472059119744245e-08,4.043639361128726e-08,0.01456566620618105
priorregion1_spot_9,3.289078831585357e-05,0.00011108654798590578,0.0002786915458273143,1.3294451832771301,0.5157350540161133,4.782091849619974e-07,7.977793247846421e-05,3.89525082482578e-06
priorregion1_spot_10,5.152249123057118e-05,1.5349257773777934e-05,6.908899869983998e-08,2.2677256703376774,4.1056661211769095e-05,2.342485902318003e-06,4.22318312303105e-06,0.06359184347093105
priorregion1_spot_11,2.785205049349315e-06,0.000563721958315,4.05809056758244e-07,2.5335810661315916,0.29839631021022794,1.2741939841021123e-07,2.3417058491759236e-05,2.0147137547610325e-06
priorregion1_spot_12,0.00016329360587405973,4.039066661789548e-05,0.00023359824626822956,1.3792112886905672,2.8037021729687693e-05,6.123111262468228e-07,1.762819103134916e-07,0.2531939774751663
priorregion1_spot_13,1.2913520595247974e-05,2.0014884057673043e-06,6.047076510640182e-08,4.544788885116577,0.004341005440801383,7.734415021332098e-07,1.383679750688316e-06,6.660398497615462e-07
priorregion1_spot_14,5.804373500950533e-07,0.0005458325205836446,6.681486084403333e-08,2.029173231124878,9.721491733216682e-06,7.236531160970117e-08,3.801370134226545e-08,7.340525286281263e-07
priorregion1_spot_15,0.0022140540531836454,0.008505555754527449,2.5060397547349567e-06,2.9959938645362856,0.6365031212568283,4.7159576439526067e-07,3.606252466852312e-05,0.05808289498090744
