,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,8.636074344394728e-05,0.8879972726106644,3.135063280979011e-07,4.287594677521156e-07,0.3188444197177887,1.1446548402309418,3.491688755730138e-06,3.2830176451170702e-06
priorregion1_spot_2,0.00012722940446110442,0.21775942221283912,2.05354598215024e-08,4.090039851689653e-07,1.2728733241558075,0.6573238790035247,1.1696872206812258e-06,3.6216894727658655e-07
priorregion1_spot_3,5.830046575283632e-06,0.0005279715551296249,3.7325080256778166e-06,1.000605749368333e-06,9.262536821097455e-07,1.163628751039505,2.7505654287551806e-07,1.1913531405838285e-08
priorregion1_spot_4,3.1166244752967033e-06,8.778119052976764e-07,7.24385285089113e-09,4.653706156432236e-07,1.2549422025680543,0.22004655450582505,1.4673863597636228e-05,8.132782127745486e-08
priorregion1_spot_5,3.9782619978723234e-06,6.023617675054993e-06,1.9523357064343826e-08,3.0412754585995572e-05,0.07140771299600601,1.0826127290725707,4.484165145868247e-08,6.451322924760917e-08
priorregion1_spot_6,5.55787828488974e-05,0.19067912772297857,9.577761966284016e-06,4.18331312346254e-07,0.229492823779583,0.5721005439758301,2.735491520411415e-07,1.4849563683583255e-06
priorregion1_spot_7,3.7995162756487845e-06,5.940378487139242e-05,1.1237048695988961e-07,6.342551898796956e-07,0.29283166229724883,1.5095983266830444,0.0011297234217636286,1.204183905656464e-06
priorregion1_spot_8,9.332416823326641e-07,0.001209954806836322,9.986370592685035e-08,6.389552327163983e-05,0.05516430381685496,1.3251684367656709,3.025507865572763e-07,8.160245741350993e-08
priorregion1_spot_9,0.00024212192147388123,3.773781043037161e-06,1.7991012235540893e-08,8.956237763868558e-07,0.26111056953668593,0.5991552472114563,1.1082489415059627e-08,3.2676516070750955e-08
priorregion1_spot_10,6.81268130620083e-07,4.787249054061249e-07,1.2464316370142115e-07,3.0241460393654055e-07,3.3675289159873506e-06,1.0883998155593873,0.01115308776497841,6.981988249776805e-08
priorregion1_spot_11,0.00022377709246939047,5.717008862120565e-05,3.2037068464774164e-08,2.2022873054083902e-06,1.4227368474006654,1.4437774062156676,1.1460340010671643e-05,0.0002828204189427197
priorregion1_spot_12,5.538743948818592e-06,3.1735540869703985e-05,1.0504463716642931e-06,4.0719031676417214e-05,0.1763392820954323,1.250953197479248,0.00027337637293385343,0.0022161150933243333
priorregion1_spot_13,7.390263370155028e-08,7.894563935906262e-08,6.141291275518768e-09,3.1836348597380497e-07,2.566699635053738e-07,0.5803327977657318,8.67902972601087e-08,1.9194688782864236e-09
priorregion1_spot_14,0.00010239971088594757,0.705160117149353,9.200016529575807e-06,3.2538777418267274e-06,0.4414866134524345,1.0201347291469574,0.00011596411641221494,2.8918367888763894e-06
priorregion1_spot_15,5.103761736791059e-07,3.1485944163023305e-07,8.777386675262733e-08,0.00021415654846350664,0.1847116693854332,1.072144663333893,4.4578016300533823e-08,3.165817652472924e-08
priorregion1_spot_16,1.0698592222979642e-05,0.2523733153939247,7.012046182808263e-07,0.004957428527995944,5.227415454100992e-06,1.6273200929164886,5.741643661849594e-07,0.00026535548677202313
priorregion1_spot_17,2.420303308099392e-05,0.31371939778327945,1.1427974833111422e-07,1.967387470358517e-05,0.1449738122522831,1.6407639324665069,1.1494459477034981e-05,0.0005360781186027453
priorregion1_spot_18,0.0007621733850101009,0.855561175942421,6.712372282891012e-07,1.356206013269912e-07,1.923170339068747e-06,0.29937900453805927,8.48834911693075e-08,2.798403597736865e-08
priorregion1_spot_19,0.0007982278533745558,0.2572107955813408,9.413281460979306e-08,6.800595201639226e-06,0.00045848448935430496,1.2785845875740052,4.3338148181248926e-08,0.004464361350983381
priorregion1_spot_20,1.307287810448088e-07,4.979363374957303e-08,1.104905589244254e-08,9.474957316513156e-08,5.186793345046682e-07,0.6031531304121017,4.327320080044216e-09,3.0504517689600174e-09
priorregion1_spot_21,1.0043617173494113e-07,1.784119014303087e-07,1.5614079540426928e-08,2.0981222874638662e-07,0.3003867402672768,0.8415183573961258,1.2736676993085894e-07,0.0013334559567738324
priorregion1_spot_22,2.469531204951636e-06,5.054767598267063e-07,4.3608975985875986e-08,1.8736427946919322e-07,0.02358864825218916,1.1357625901699067,0.0002091854374157265,1.587828579729944e-08
priorregion1_spot_23,1.3193093764130026e-05,0.4145869493484497,2.7968122129351518e-08,1.1272441895471274e-07,3.465440534000664e-06,0.2137525349855423,3.11097663185933e-08,2.0022456226342912e-08
priorregion1_spot_24,0.011224738508462905,0.5213541656732559,7.832985147615545e-06,3.404715116062107e-07,0.13106237575411797,1.0736831665039062,0.002152416994795203,4.4930156093414555e-07
priorregion1_spot_25,1.6365010395702485e-07,1.2498613699563066e-07,2.7918250555813986e-08,7.774088892631428e-08,0.14874839931726458,0.1571105055510998,1.8108833955921e-05,8.562136997625203e-07
priorregion1_spot_26,3.6278955946045243e-07,9.268725079891738e-07,2.3246353908490394e-08,2.404416852641589e-06,1.967566220173467e-06,1.2169264793395997,1.6618069977880623e-07,1.1443090741636298e-08
priorregion1_spot_27,1.4498959535558244e-05,0.460828585922718,3.060696318613054e-08,1.564370549544947e-07,2.222909574811638e-06,0.3328224956989288,5.758309526981975e-08,1.4546339643928266e-08
priorregion1_spot_28,3.418286214582622e-05,0.3156511679291725,3.9879274663690015e-05,4.1247548239198305e-07,0.11356095187366008,0.4294337689876556,1.9031963063298463e-07,2.700821823964361e-07
priorregion1_spot_29,3.236996562350214e-07,2.3635396715349093e-07,1.395006581361713e-08,3.020151737587185e-08,5.498591207242498e-07,0.5897533237934112,2.350380373172811e-06,3.5351740979017166e-09
priorregion1_spot_30,7.666730027722224e-07,9.94531507103602e-07,2.3112291728466517e-06,3.077592211297997e-07,0.23865334615111353,1.2020328998565675,4.822056894226989e-07,0.0014462804945651441
priorregion1_spot_31,2.480529531112552e-07,3.488728140155218e-07,4.5474543952650496e-08,3.5468418388973074e-07,0.05069030188024044,1.6591864168643953,9.875409486994612e-05,6.901615989818312e-08
priorregion1_spot_32,0.00024542403843952343,1.3611622807729874e-05,2.019861460311745e-08,4.107832069166761e-06,0.5498971313238143,1.2967788696289062,2.664838476107434e-07,1.1921183933338854e-07
priorregion1_spot_33,6.46800927484037e-07,1.0183640233663027e-05,1.2584382824698538e-08,3.06178141329383e-07,0.5221537381410599,1.1581682920455934,4.46723195324239e-08,2.45147290343084e-06
priorregion1_spot_34,2.8912723450957856e-06,5.407314984040568e-06,1.7645302019531075e-08,6.773663301373745e-07,0.7986695915460587,1.4615232169628143,9.384787318822418e-07,1.719140652767237e-06
priorregion1_spot_35,9.46808017033618e-05,4.174666287326545e-06,7.801081025604617e-08,1.2597441696016179e-06,1.4814243376255036,1.2771777689456938,3.904591721948237e-05,0.0009018802113132552
priorregion1_spot_36,1.1896097724672929e-07,2.7758306941905178e-08,1.3256411790507628e-08,5.478193898511564e-08,0.044050593674182896,0.43922414034605023,3.3848862912577717e-08,1.094213391006349e-08
priorregion1_spot_37,1.1649911982658522e-06,1.202178577131008e-07,3.0344461832143572e-09,9.715662976361727e-08,0.1193743821233511,0.34444636553525926,7.127488488301026e-09,4.02754205541811e-09
