	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.018391123	0.007322133	0.7006642	8.78684e-06	0.057657357	8.838442e-08	8.864863e-08	0.21595624
priorregion1_spot_2	0.0032968593	8.419032e-08	0.50758547	7.616068e-08	0.053364597	0.0012595385	4.299103e-08	0.4344934
priorregion1_spot_3	1.8141414e-07	0.0015844825	0.5407817	0.00072233565	0.026268225	3.660182e-08	2.495213e-08	0.43064296
priorregion1_spot_4	0.036386304	0.01032995	0.347011	5.824243e-08	0.030488232	6.1902443e-09	1.1149465e-08	0.57578444
priorregion1_spot_5	0.0021027445	1.5746814e-07	0.5342437	8.981941e-08	0.015129422	1.4612407e-07	4.043391e-08	0.44852367
priorregion1_spot_6	0.023745425	0.006672677	0.32313725	0.0038289793	0.002993685	4.1266127e-08	3.7846767e-08	0.63962185
priorregion1_spot_7	7.6720096e-07	2.2375305e-06	0.8075744	5.1492617e-07	0.022536382	1.8410194e-06	0.0008360983	0.16904771
priorregion1_spot_8	1.6415035e-08	1.3057465e-08	0.40633047	3.2246678e-08	0.011900963	4.3042405e-08	0.0003330947	0.5814354
priorregion1_spot_9	0.03318529	0.014973923	0.8323887	0.011125988	0.05254946	5.323138e-07	7.95036e-07	0.055775292
priorregion1_spot_10	0.0009635167	1.3922021e-06	0.8872434	0.00016197735	0.041674826	0.00031552784	4.0458207e-08	0.069639385
priorregion1_spot_11	9.030512e-08	4.0023483e-08	0.6967385	3.337958e-06	0.00016544647	1.1029567e-07	1.4142634e-07	0.30309227
priorregion1_spot_12	1.065367e-08	1.156169e-08	2.8937391e-08	1.1029781e-08	0.011911641	1.5847837e-08	1.2803313e-08	0.98808825
priorregion1_spot_13	1.10648635e-07	0.01028556	0.43571115	4.2031438e-08	0.102521926	7.325372e-08	3.2443936e-08	0.45148104
priorregion1_spot_14	0.027175454	0.029879313	0.58093363	0.001451627	0.0501664	2.5341011e-08	0.0018037569	0.3085898
priorregion1_spot_15	1.4433647e-08	1.1743988e-08	8.322482e-08	1.5716271e-08	0.023283135	2.7766e-08	2.7582205e-08	0.9767167
priorregion1_spot_16	6.7654796e-08	2.0656389e-08	0.25748208	0.004802721	0.043524306	1.6444766e-08	0.0028265095	0.6913643
priorregion1_spot_17	3.2583947e-07	3.0452483e-08	0.89773065	0.017007021	0.07458404	0.0043791127	0.0017344371	0.0045643123
priorregion1_spot_18	6.9676375e-08	3.894128e-08	0.38818	9.92888e-09	0.1797905	1.07715525e-08	1.8686642e-08	0.4320294
priorregion1_spot_19	2.6217787e-08	1.7425656e-08	0.39943802	4.785402e-08	3.7867827e-07	2.520088e-08	3.8467796e-08	0.6005614
priorregion1_spot_20	0.009588422	0.004429815	0.41758007	2.1730488e-08	0.008572335	7.2424086e-08	2.4229257e-08	0.5598293
priorregion1_spot_21	0.031729948	0.024638077	0.47695252	0.0012326995	0.13337457	0.0013392408	6.973674e-08	0.33073288
priorregion1_spot_22	1.1478171e-07	0.0012893403	0.80915403	0.012601439	0.10955656	0.0010795962	0.0070380317	0.059280902
priorregion1_spot_23	0.0065031988	1.4331886e-07	0.8077121	0.016296322	0.06645545	2.9376903e-08	0.005250265	0.09778249
priorregion1_spot_24	0.0066081705	0.011493937	0.58608764	7.642114e-06	0.02565097	3.5326174e-08	0.00017452876	0.36997712
priorregion1_spot_25	0.036729004	0.028655056	0.8869229	0.010977472	0.0321571	0.0032301242	1.4011415e-07	0.0013283144
priorregion1_spot_26	0.0043898597	0.0041721417	0.8560558	0.0077639436	0.07118477	4.773854e-07	0.0023361214	0.05409687
priorregion1_spot_27	0.02052611	0.0021662433	0.70051193	0.027166441	0.11804721	3.3812274e-08	0.00734114	0.12424093
priorregion1_spot_28	0.0050497423	0.019733835	0.9624439	0.004059933	0.0072071203	0.0015053358	4.6629175e-08	5.7655956e-08
priorregion1_spot_29	1.0450775e-08	1.346503e-08	5.86454e-08	1.32384725e-08	2.1127968e-07	1.2006306e-08	1.7754644e-08	0.99999964
priorregion1_spot_30	2.6965965e-05	0.0041698585	0.71683663	2.30913e-06	0.015334439	3.0612444e-08	1.7546457e-08	0.2636297
priorregion1_spot_31	1.1253923e-06	2.2667884e-08	0.74547416	0.00025863003	0.05947537	8.674539e-08	0.0013931065	0.19339755
priorregion1_spot_32	0.00590851	0.046204045	0.67306	0.0046483437	0.2505213	2.6437384e-08	5.4952075e-08	0.019657705
priorregion1_spot_33	1.9886917e-08	3.17931e-08	0.36621192	1.7227426e-07	0.032552563	3.8896722e-08	0.0015808841	0.5996544
priorregion1_spot_34	0.012648897	0.014473558	0.7794808	4.9501375e-07	0.0144008575	9.661647e-08	3.240676e-08	0.17899531
priorregion1_spot_35	0.013655635	1.7171027e-07	0.8014217	4.2918018e-08	0.018000377	0.0017915581	2.2712625e-08	0.16513039
priorregion1_spot_36	0.0045536654	2.508862e-07	0.745327	4.2297474e-06	0.03874371	7.797037e-08	7.756588e-08	0.21137103
priorregion1_spot_37	0.011041933	0.00080577354	0.89999634	0.0016602933	0.061499804	0.0020637584	0.0032479253	0.019684123
priorregion1_spot_38	2.0548194e-08	2.037163e-08	0.18974636	9.58536e-09	4.4375252e-08	8.417753e-09	1.0024241e-08	0.8102535
priorregion1_spot_39	0.018689064	0.0020210685	0.34443614	0.0009106493	0.010935353	1.2073024e-08	2.9796713e-08	0.62300766
priorregion1_spot_40	0.00024964052	4.4683048e-07	0.8118718	0.00011086677	0.042006105	3.174824e-06	0.002340239	0.1434176
priorregion1_spot_41	2.0968274e-08	1.3425076e-08	0.58895177	1.2454971e-07	0.007992229	4.38936e-08	0.0027800181	0.40027574
priorregion1_spot_42	1.0795831e-08	9.262459e-09	0.007101729	1.0824356e-08	3.521001e-08	1.0807655e-08	1.2710374e-08	0.99289817
priorregion1_spot_43	3.545888e-08	0.014835161	0.44235843	1.0408284e-08	1.0196741e-06	2.2919465e-08	4.0209876e-08	0.54280525
priorregion1_spot_44	3.2270343e-08	3.1937997e-08	0.89544165	1.4738501e-07	0.0862351	0.0032491777	0.004200931	0.010872897
priorregion1_spot_45	0.0069200057	2.6544507e-07	0.8152474	0.027337682	0.11403472	5.7828584e-07	0.0069639124	0.029495422
priorregion1_spot_46	5.3676743e-08	4.2429164e-08	0.36698118	0.005717467	0.06458751	2.5304539e-08	0.004010716	0.55870306
priorregion1_spot_47	4.4723724e-06	0.017519226	0.37412903	2.3822633e-08	0.042668935	1.4354031e-08	2.309658e-08	0.5656782
priorregion1_spot_48	4.4709413e-08	3.3248092e-08	0.46742338	1.5134616e-07	0.08776717	8.451979e-08	0.0062358254	0.43857333
priorregion1_spot_49	0.00040745825	1.7794088e-08	0.6435159	1.403456e-07	8.093483e-06	2.6692698e-08	1.2236151e-08	0.3560684
priorregion1_spot_50	6.522296e-08	9.553335e-08	0.82300735	0.00063932576	0.0065215793	9.604886e-07	1.9232498e-08	0.16983066
priorregion1_spot_51	1.2434178e-08	9.619328e-09	2.4745766e-08	2.2293472e-08	7.888136e-08	1.745934e-08	1.4610983e-08	0.9999998
priorregion1_spot_52	4.4039064e-07	3.2496047e-08	0.8270043	0.00092498056	0.03143424	2.0165767e-07	2.0137891e-08	0.1406358
priorregion1_spot_53	0.011355368	9.208911e-07	0.75062346	0.00410429	0.09838321	1.9128576e-08	1.1419979e-08	0.13553274
priorregion1_spot_54	0.0145640485	0.009264586	0.9461178	0.021821845	0.007897532	0.00033381738	3.2870614e-07	4.3708592e-09
priorregion1_spot_55	3.640609e-08	0.0047934987	0.84577394	7.721818e-08	0.014035166	2.3826024e-08	0.0005145204	0.13488267
priorregion1_spot_56	1.4874443e-08	8.675999e-09	0.8640678	0.0018283139	0.0571454	6.543317e-08	8.837808e-09	0.07695848
priorregion1_spot_57	0.042284	0.010804898	0.6510344	6.621763e-08	0.11177115	1.1728153e-08	2.2010418e-08	0.18410547
priorregion1_spot_58	0.008599056	0.008900339	0.40707946	3.720756e-08	0.029005274	5.919986e-07	0.0005897348	0.54582554
priorregion1_spot_59	1.3189897e-07	1.2481986e-07	0.84961015	0.0005416117	0.014328899	9.675998e-08	3.932927e-08	0.13551895
priorregion1_spot_60	1.7241517e-08	1.0818371e-08	0.81905746	2.63254e-07	0.009880501	7.747022e-08	1.4079367e-08	0.17106164
priorregion1_spot_61	3.630984e-07	3.6926696e-08	0.84134	0.005063256	0.024614038	0.0013253152	9.4095834e-05	0.12756296
priorregion1_spot_62	1.8964126e-08	1.747879e-08	0.36219692	4.1074296e-07	1.2641525e-06	1.7701476e-08	1.174893e-07	0.6378013
priorregion1_spot_63	4.1431814e-08	2.8732893e-08	0.08774148	9.2712156e-08	1.1990454e-07	2.1347775e-08	1.8607953e-08	0.9122582
priorregion1_spot_64	1.055883e-06	0.00028587505	0.83445674	0.0047266274	0.04354895	1.6453163e-07	0.002034235	0.11494635
