,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,3.223533633445186e-06,7.667785041576281e-07,2.571331236822516e-07,2.4659724712371824,3.410404478927376e-05,0.06798409447073936,7.348808253482275e-07,1.662748211622238
priorregion1_spot_2,0.0001884216646431014,5.874029807273473e-06,6.042206905476633e-07,0.34648554772138596,2.386119329929352,1.1530875980854034,3.8383790297302775e-06,0.5347196459770203
priorregion1_spot_3,2.0820613357841467e-07,1.1860408877240049e-08,1.1685800593852492e-08,0.13810037225484847,4.8102986511366914e-06,0.5160024851560593,2.1776590219957372e-08,6.572631683354757e-08
priorregion1_spot_4,9.178615698601789e-07,1.270014031717892e-07,1.8074526231259826e-08,0.16233070865273475,0.692672821879387,0.14612683579325675,1.2073657948974417e-07,0.24982648417353628
priorregion1_spot_5,5.648277619911824e-05,6.616200221287727e-06,5.30961989397838e-07,0.3514742597937584,1.6887467563152312,1.5890285909175874,1.3108137227391126e-05,1.4209774434566498
priorregion1_spot_6,2.311643984285183e-05,4.758811905958283e-06,4.780138078785967e-06,0.6634480237960816,1.6672661304473877,0.7256907403469086,3.2355990470023247e-06,1.1050026059150695
priorregion1_spot_7,3.4839269687836353e-06,4.6873310992623375e-07,3.405356938657178e-08,0.7034770965576173,0.258312825858593,0.8900693535804749,1.031227345293928e-07,0.06717727072536946
priorregion1_spot_8,4.85271464640391e-05,0.0004305521419155411,3.141474298473668e-08,0.09268056936562062,0.6498856544494629,2.0735167436214396e-05,8.196919807232916e-05,0.20208147093653678
priorregion1_spot_9,0.0029971434152685104,4.8678341045160785e-05,1.2680769998496544e-06,0.9708818644285202,2.657679772377014,1.0883180379867554,4.675098966799851e-06,0.35480791628360747
priorregion1_spot_10,1.7529466589394365e-07,3.236649597226915e-08,8.80911805722917e-08,0.22337467670440675,0.000359949073754251,1.1871849028466386e-05,4.9666598833653104e-08,0.15172329246997832
priorregion1_spot_11,1.3568896690685508e-06,1.5299641376032016e-07,1.5523489673796574e-05,0.2560713678598404,0.17112356796860695,0.6791796118021012,7.18570445314981e-05,0.058560235612094405
priorregion1_spot_12,0.00046834358217893166,1.0044740383818862e-05,6.500306461987294e-08,0.2963932290673256,0.8827359855175018,0.7398577958345414,9.592386248868935e-07,2.701874816417694
priorregion1_spot_13,1.1187121799594024e-05,9.487711531619425e-06,2.4385993846465225e-08,0.7527671098709107,0.00031854884582571685,0.4499848082661629,0.009512614412233233,0.2058118052780628
priorregion1_spot_14,5.97165617364226e-06,5.937316359450051e-06,3.97012040593836e-06,0.3126238986849785,0.00019635568824014627,1.1626977741718294,2.7153346948693983e-08,0.16738510355353356
priorregion1_spot_15,5.465568868601167e-08,5.915220935293064e-09,5.717988948994447e-09,4.4907354634915464e-07,2.8156311782367992e-05,0.22654178664088248,9.191060401647633e-09,0.04322433099150658
