,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,1.0850030685105594e-05,2.1405938468888054e-06,8.285852146627806e-08,2.69735298275009e-07,2.6482285499572753,3.777055169962296e-07,5.227747891467517e-07,1.4219985268937306e-05
priorregion1_spot_2,9.618195377925078e-07,0.0021559426560997966,1.782947274264757e-08,1.0128520848695643e-07,1.3271012663841246,8.431621303373051e-08,1.7899845339286457e-08,1.066616090383832e-06
priorregion1_spot_3,2.237931255422154e-06,0.00030270913121057676,1.82274991544773e-08,8.365432400125882e-08,0.7956321120262145,6.746106926414086e-08,7.229400353025994e-07,2.1360300905826084e-08
priorregion1_spot_4,5.431071571138091e-07,5.954420373655011e-07,3.5623087413227954e-08,3.9976222296900245e-07,2.860471189022064,1.295801169476363e-07,2.008531900798971e-07,4.5943994422259496e-07
priorregion1_spot_5,8.682540828885978e-06,0.016034114826470613,2.652805379810275e-08,2.4546597501284853e-07,2.3079295992851256,6.465971154057115e-07,7.660491291971994e-07,0.00017620088983676395
priorregion1_spot_6,4.143937406553278e-08,1.7004531116526778e-08,6.191071522110292e-09,3.145435094609184e-08,0.4928930178284645,1.8222334841055955e-08,6.776429639643312e-09,2.5531086180308196e-06
priorregion1_spot_7,7.451698877503077e-07,2.217098506207549e-06,2.0127534298808316e-06,0.00030548725480912254,1.7392630994319915,1.2841564682730678e-07,9.263887044141939e-08,1.142031294421031e-06
priorregion1_spot_8,3.3422068526078877e-07,4.600345100413961e-08,2.3016224440652876e-05,7.037299383227947e-08,0.5401334345340728,1.6591458074088906e-08,1.7592913138742007e-06,9.392709543476486e-09
priorregion1_spot_9,7.35477396318629e-08,2.3677298841562335e-07,1.01359954101099e-06,9.784687229341671e-08,1.5303194344043733,4.2348775686207326e-08,7.30925391323467e-09,1.2261728770113224e-07
priorregion1_spot_10,3.5406373967816765e-06,1.8981597179390518e-06,1.828385833846369e-08,1.6071594899358388e-07,2.6840059757232666,4.109625677983786e-07,1.7256655496566965e-06,0.0002258747503219638
priorregion1_spot_11,1.992714805965079e-06,4.347606909504975e-06,1.4900918898774766e-08,1.0502835614545348e-07,1.486310237646103,7.256522778220641e-08,6.681535182906373e-08,1.92191686210208e-06
priorregion1_spot_12,6.021519254773012e-07,1.5811982848390472e-06,1.3507878350083048e-06,1.9587761954653617e-07,1.7203511714935302,5.219843899340051e-08,1.0549579378960062e-07,6.242834231784401e-08
priorregion1_spot_13,2.0915183363001688e-08,1.3394913489506166e-08,3.2065306188044928e-09,3.518870332896995e-08,0.37066286355257033,3.5287272659445536e-09,3.406837634223337e-09,1.2457218057093656e-08
priorregion1_spot_14,4.2655975221350674e-06,0.005754923052154482,3.849174774472886e-08,6.532567624617514e-07,3.0770655751228335,8.38395280311488e-07,1.7274391481691966e-07,0.00013504991511581468
priorregion1_spot_15,3.0598635748901874e-05,7.619919074386419e-07,6.038283099769615e-05,1.6140335930003856e-07,2.253960430622101,8.41792939354491e-08,7.366126766328307e-07,1.8655707037851245e-06
priorregion1_spot_16,0.000135890775709413,9.383218321090681e-06,3.2373676006614e-08,1.9844776417698997e-07,1.255204689502716,0.012588535854592919,5.946696632008752e-07,2.0353527787619897e-07
priorregion1_spot_17,6.930632662260905e-06,0.005302580818533898,1.2859772141382567e-06,8.617678759037517e-07,3.0168405532836915,1.609091026466558e-06,3.148525047436124e-06,0.0005665626726113261
priorregion1_spot_18,2.235449837826309e-05,7.089137443472282e-06,5.91645470393587e-08,3.323768032714725e-05,4.280503439903259,7.540110658510459e-07,7.077059564153389e-07,0.005187727860175073
priorregion1_spot_19,1.8878453360571258e-07,1.0238473713286568e-07,6.578073752372404e-09,4.1825837371334273e-07,0.3998586297035217,2.6620108606323363e-08,1.0906080172290446e-08,1.733126646641381e-08
priorregion1_spot_20,0.028951803222298622,0.00030923012091079724,6.519360802315078e-08,6.429333348023647e-06,2.7765962123870853,7.903710013579258e-07,1.1403292603517914e-06,0.0022095824126154183
priorregion1_spot_21,2.6342048631278204e-08,1.0447569529503654e-07,5.194431174082581e-09,1.0449782017474263e-07,0.5832836955785752,2.0575065651229352e-08,9.415231172482663e-09,2.3721629638373544e-08
priorregion1_spot_22,1.81093978426361e-06,8.30341177788796e-06,6.78424493116836e-07,5.400296714697107e-07,2.6849735856056216,4.814605347291944e-07,2.677012645335708e-07,1.0663422017387349e-06
priorregion1_spot_23,6.093588763178559e-05,0.0017459338821936398,4.8626722559674816e-08,3.055244505389965e-07,2.379637289047241,2.0036437646808734e-07,1.1536271040313297e-05,8.484530638952493e-07
priorregion1_spot_24,2.309800457567235e-07,1.3933408240518475e-07,4.524327641775017e-06,6.22028519359219e-08,1.7247782170772552,3.591947113079641e-08,2.4390958408559986e-08,5.207504756299386e-08
priorregion1_spot_25,3.192217388203745e-08,8.026899900315243e-09,1.0127837590800937e-08,3.76591158257611e-08,0.3555088624358177,7.2404330087039175e-09,5.636226507732544e-09,2.2807451593998e-09
priorregion1_spot_26,2.953706257358135e-07,1.623973297171233e-07,6.940173602743016e-06,6.876859828253146e-07,1.8609920501708985,1.7313801166096708e-07,1.0129534224745385e-07,5.853664447386109e-06
priorregion1_spot_27,6.586627193883032e-07,0.00017435817353543824,6.498117812725468e-08,6.346762830844456e-08,0.55521941781044,1.4450175598312858e-07,4.6362874650540675e-09,1.1404937305670161e-08
priorregion1_spot_28,1.1761764220352688e-07,1.7293269891638374e-07,4.393421679793619e-08,9.77311557903704e-08,0.9511192589998245,1.2422863022720775e-07,1.534522509061276e-08,1.1734258862361458e-07
priorregion1_spot_29,1.1581945841498965e-06,3.8768023102875304e-07,4.472383263731672e-08,4.21888566393136e-07,2.612260949611664,2.2466603866178048e-07,0.0015824720612727106,0.0023318549268878997
priorregion1_spot_30,8.7497701031225e-07,3.6243191061657853e-05,1.646259617515966e-08,1.4798349070588305e-07,1.562256270647049,4.2699508497889846e-07,5.98367243753728e-08,3.760047189160787e-08
priorregion1_spot_31,0.005565187986940146,1.148632003378225e-06,1.948571446419578e-08,8.131510860209801e-08,1.5897985458374024,4.6262827879672855e-08,7.798113941248631e-08,6.95055001642686e-07
priorregion1_spot_32,5.536325784305519e-06,3.5310670341459624e-06,2.5337996234497952e-08,3.0776803100707185e-06,1.532626533508301,1.1194187550245262e-07,3.711486414204046e-07,3.277832074672915e-05
priorregion1_spot_33,9.518974138700287e-07,3.648142310908043e-07,2.6493430368645932e-06,1.4683520319636047e-07,2.1513680338859555,1.0614698489064268e-07,9.867224619597439e-08,3.984647810284514e-06
priorregion1_spot_34,1.119845245511897e-06,1.924913227924208e-07,3.2104350644601714e-08,1.5699497737386992e-07,2.463584506511688,9.722199543205078e-08,0.001224745623767376,0.00011926321385544727
priorregion1_spot_35,0.0027176648378372196,2.5623314650147224e-05,3.088524085370637e-08,3.1176381440900516e-07,2.897716474533081,6.430625745679209e-07,7.076408155626268e-06,0.0006542316230479627
priorregion1_spot_36,4.599637151159186e-07,2.1886794456804637e-07,9.268965079911597e-08,2.847051212029328e-06,2.04347710609436,3.0382123483718715e-08,6.408342656527567e-08,2.6812664032149772e-06
priorregion1_spot_37,7.690055717830547e-05,1.167276250271243e-05,3.3359781248520905e-08,4.3585306315208076e-07,3.083424389362335,2.018172402529217e-07,7.225710362490645e-07,8.956029489581853e-07
priorregion1_spot_38,0.0007321259618038312,4.713069411081961e-05,4.6495734693507986e-07,5.948069002670309e-07,3.489170563220978,4.079287279523669e-07,1.5802052075741813e-06,5.2424021305341744e-06
priorregion1_spot_39,4.0991241263554916e-07,1.2628293461602882e-06,9.780578302809319e-08,2.3003471767424345e-07,1.5077840507030487,5.202052228980848e-08,2.1492271429224273e-08,7.606419387684583e-08
priorregion1_spot_40,3.431493937000596e-07,2.3603042293984804e-07,1.6405041325384676e-08,1.6027314131861205e-06,2.74057742357254,1.24244024135578e-07,1.2762280334754906e-07,1.777555610260606e-06
priorregion1_spot_41,7.72893008615938e-06,0.004114477219991385,8.211517560994252e-05,4.895235946378307e-07,3.3939601302146913,7.088590308512722e-07,1.24507853911382e-06,2.243164396986686e-06
priorregion1_spot_42,1.0422005686905323e-06,3.1219185672171077e-07,4.928952478167048e-07,1.5552910284100108e-07,2.236121380329132,8.875797945506748e-08,5.110295351329342e-08,4.838159179598733e-06
priorregion1_spot_43,0.002494096744339913,1.669911152930581e-05,2.889430295027751e-08,2.662192684965703e-07,2.4312502026557925,1.83670827880178e-07,1.3280875634791298e-07,0.0001413201818650123
priorregion1_spot_44,1.3018524725794122e-06,2.711823606205144e-06,1.0487584773954952e-07,0.0002795279258862138,3.330577290058136,6.085714431947054e-07,1.7338213922357684e-06,0.0013197354623116554
