,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,2.7264831942375172e-06,1.055690762541417e-06,3.500937584277608e-08,2.862114429473877,0.00088185248314403,6.087153877842866e-07,1.5032826112815202e-07,0.0006554027961101382
priorregion1_spot_2,0.0004927396308630705,0.048819042183458804,9.826751323771536e-07,5.557992315292359,1.7115556538105012,3.325587624658511e-06,0.00048716704768594357,0.0046281076967716215
priorregion1_spot_3,3.1260501032193137e-06,2.266225055791438e-06,6.033277657024883e-07,2.916772496700287,0.00074918118189089,0.001413925999077037,5.4718008323106913e-05,2.2093599270078817e-07
priorregion1_spot_4,2.3658681243432513e-06,3.2624421464788613e-06,4.4205077465164785e-08,3.479841935634613,0.31804798245429994,1.2748111373639403e-06,1.4120704179276804e-07,1.5566314232273725e-06
priorregion1_spot_5,1.534595935481775e-06,0.01579562686383724,1.3326547758651942e-07,3.090444231033325,0.00013636551011586562,1.306022420521913e-06,0.00014265391291701235,0.0010132724943105133
priorregion1_spot_6,1.3375375419855118e-05,1.3332006801647366e-06,1.381011234258267e-08,1.8062643229961397,1.0816679377967375e-05,2.5485762336074916e-07,3.94252751334534e-08,2.367632365718464e-08
priorregion1_spot_7,0.051541111618280414,1.8783568611979722e-05,0.00848040240816772,3.270284926891327,0.6204252421855927,9.13745939215005e-06,0.0027317599742673337,4.365852078080934e-07
priorregion1_spot_8,6.387936882674695e-05,3.711125100380741e-05,0.00026026669220300395,6.921169734001159,1.8976615071296692,6.601632662750491e-06,5.60882658646733e-06,0.0007038094132440165
priorregion1_spot_9,2.0849195152550238e-07,1.872282908266243e-07,1.0230649003517556e-07,1.096670413017273,0.02393196076154709,6.534348273135038e-07,3.479102997516748e-05,3.9731065015757855e-07
priorregion1_spot_10,0.022123437747359278,5.349977654987015e-05,2.4881498887907584e-07,4.24098608493805,1.63314950466156,2.016918563185755e-06,9.190974225248284e-07,2.9780823069813778e-06
priorregion1_spot_11,0.00018744507397059352,3.7045141425551273e-06,2.1362438573646614e-07,2.0124054670333864,1.6295926749706269,6.8295388189199e-07,5.403244330182134e-07,1.4003524483996444e-06
priorregion1_spot_12,5.51659969261209e-08,5.758548748957537e-09,6.011445363718337e-09,0.1943494349718094,0.3868966206908226,1.8463620037323382e-07,1.0426416388042981e-07,4.066096241928108e-08
priorregion1_spot_13,0.0012601484486367553,0.0007366426405496896,6.17091459389485e-06,5.286963224411011,1.343779766559601,3.841281227323634e-06,4.254014447724331e-06,0.0005227474845014513
priorregion1_spot_14,4.396009953779867e-05,0.004103740910068154,1.7517905916974997e-07,4.396440553665161,1.4815132021903992,1.0503314058496471e-06,0.0024700320325791838,7.681234383198899e-05
priorregion1_spot_15,1.2276824037371626e-07,3.3848645486500577e-08,9.073149165317317e-09,0.6444619983434677,0.5677043974399567,2.807789499570391e-07,3.393690715114417e-08,8.153335926408547e-07
priorregion1_spot_16,7.92724244092824e-05,1.444880836061202e-05,9.005451465782243e-06,5.512197709083557,0.000872839437215589,1.4361852208821802e-06,0.0002800513117108494,0.0003816223819740117
