,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.2650419071316719,5.30637731552124,1.5633965460892797e-06,0.00015373087953776123,1.827880746126175,6.821284432589893e-06,7.223404136311729e-05,1.085542730834277e-05
priorregion1_spot_2,0.0531619006767869,1.5096109569072724,3.163479878054432e-08,1.4057952313351052e-07,6.051269956515171e-05,1.058801657904951e-07,1.9624320157163314e-05,1.5778766915275358e-08
priorregion1_spot_3,0.0043554744916036725,1.3534736514091492,1.325546730157612e-08,9.533853351229027e-08,2.400929270152119e-05,8.093393155661488e-08,1.622276322450489e-05,6.904612099845054e-08
priorregion1_spot_4,0.0037712093442678453,3.2105018138885497,0.00014822889497736468,5.65926623607993e-07,0.00325567756081,6.983673046079276e-07,4.13974197499556e-06,0.0019516286498401315
priorregion1_spot_5,0.12144402116537095,2.0575501561164855,1.723578201051623e-07,2.0812767118627567e-07,0.0001833990900195204,1.7732728849750856e-07,3.6212193350593224e-07,0.004014658299274743
priorregion1_spot_6,0.015187322953715922,4.449915981292724,3.5845284628521773e-06,3.5290871892357244e-06,0.37915158420801165,2.7572943395171023e-06,2.2568566691916207e-06,1.6895287501483836e-06
priorregion1_spot_7,0.00022587850617128427,1.7245769560337068,4.87732791043527e-08,1.4833046364515214e-07,7.87728036812041e-05,1.771639908554335e-07,8.280581852204704e-07,2.0928192384417343e-06
priorregion1_spot_8,0.00032709299557609484,1.961709773540497,1.3019194398111724e-07,1.126865004152933e-06,4.463429231691408e-05,1.5288202632746105e-07,1.2784577165803058e-07,7.839382618612944e-08
priorregion1_spot_9,0.002728223451413214,5.40062518119812,1.151744396565846e-06,4.651931021726341e-06,0.0021855325787328186,4.5449311755874085e-06,0.0004148306616116315,2.4011622008401902e-05
priorregion1_spot_10,0.00040895070997066797,1.0847612738609314,1.2533617791632423e-05,1.1683915545290803e-06,2.2469451960205336e-05,2.944622281120246e-07,0.0008280429989099503,4.646729010460149e-07
priorregion1_spot_11,0.008106745686382056,0.7949025422334671,1.4755304356128818e-08,2.3693705273331036e-07,0.2833776637911797,4.9315520733728145e-08,1.29913175328511e-07,1.1092622071373627e-05
priorregion1_spot_12,0.009461585618555547,3.6420223832130434,2.2934143970587683e-07,2.7187997829969395e-06,0.0020596665563061838,8.258441198449873e-07,9.021108562592418e-05,1.7879716835977888e-06
priorregion1_spot_13,0.00045812396274413913,1.8715581476688385,6.214541805604768e-08,5.085071961730137e-07,4.0303820787812585e-05,1.0554262672712867e-07,2.058302015939262e-05,1.0208143876866415e-07
priorregion1_spot_14,5.793771488242783e-05,1.0186183035373688,1.2223782519527049e-08,3.913921329257165e-08,0.0015667800791561604,1.4930542207025608e-07,9.877128803736923e-09,6.0515868982591314e-09
priorregion1_spot_15,0.06253561712801456,7.073274111747741,7.432938491547247e-06,1.4558744805981406e-05,0.5954980522394181,0.003645154426340014,4.7416472625627655e-05,0.00627236922737211
priorregion1_spot_16,0.0319324029609561,5.602969264984131,4.659200681089714e-06,9.920320144374274e-06,0.6778839230537415,4.8926533281701264e-06,1.0808187607835863e-05,0.0010275523993186653
priorregion1_spot_17,0.026641136966645718,4.840343308448792,1.335859582241028e-06,2.8085556095902578e-06,0.002408898319117725,2.5035421003849478e-06,0.018108483124524354,0.00011453409169916996
priorregion1_spot_18,0.005982250068336726,2.125520920753479,3.161722275990542e-07,5.786035046639882e-07,0.0004982847021892667,8.44946097799948e-07,2.152771351404681e-07,2.984817868423306e-07
priorregion1_spot_19,8.098524704109878e-05,0.6860813379287719,8.994646435667165e-07,8.157691659960164e-08,2.018084333030856e-05,1.2839945497944425e-07,3.0129370315989948e-06,3.969802449432791e-07
priorregion1_spot_20,0.0002805718846502714,1.0241363048553467,1.3793225477343186e-07,9.289964353342839e-08,0.23532127737998962,2.1115366166668537e-07,3.482007514321594e-07,1.6901464832130842e-07
