,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.00016462906496599318,0.9685506045818328,1.755825280724821e-07,6.916098811871053e-07,0.3306053414940834,1.2155715584754945,2.9580265959339164e-06,3.457246555171878e-06
priorregion1_spot_2,0.0003512955096084625,0.23636669889092446,1.3582801861034001e-08,1.0097846143253264e-06,1.353077983856201,0.6859850406646728,1.5135342778194173e-06,3.178929077307657e-07
priorregion1_spot_3,6.208896024872957e-06,0.00036641567130573093,2.3014862790660116e-06,1.9222475543756446e-06,2.0661799908339165e-06,1.2307032465934753,4.692676554896025e-07,1.8177715244149797e-08
priorregion1_spot_4,6.694364401482744e-06,1.2821261975659582e-06,8.635222892294794e-09,3.002619379799399e-07,1.3166078507900236,0.2234513320028782,1.0298085862814333e-05,8.570985343681059e-08
priorregion1_spot_5,1.1445615882621497e-06,3.1635425216336444e-06,3.3338297455998145e-08,2.7670125291479053e-05,0.07018865682184697,1.175722473859787,4.8775503103115624e-08,8.309520538318793e-08
priorregion1_spot_6,4.362506970210234e-05,0.20504302233457564,5.445536089609959e-06,8.306183531203714e-07,0.23923598378896713,0.6101550102233887,2.463704646515908e-07,1.0719306260398298e-06
priorregion1_spot_7,4.855138149650884e-06,6.781397023587487e-05,1.7340292615131148e-07,1.9229256906783125e-06,0.3065763145685196,1.6296274662017822,0.0012026977201458067,1.229801318913815e-06
priorregion1_spot_8,1.185012951054887e-06,0.001123084465507418,1.3437188073339712e-07,0.00011304648578516208,0.0512655047699809,1.4008934855461121,1.4286040084243726e-07,7.778555222159868e-08
priorregion1_spot_9,0.0002083621839119587,2.643745494879113e-06,3.555648984132631e-08,3.609385345271221e-07,0.2654261365532875,0.6300459653139114,2.5741638065568397e-08,2.752913195180895e-08
priorregion1_spot_10,3.881604030198105e-07,4.035341319763575e-07,2.98994821434917e-07,8.378517094342897e-07,4.147838671997306e-06,1.1507172405719757,0.012750079110264777,5.427482907549575e-08
priorregion1_spot_11,0.00037391830555861817,5.2087944277445784e-05,3.7788508322478265e-08,1.745425481658458e-06,1.5155064940452576,1.5452516853809355,5.211981874708726e-06,0.00035788803943432863
priorregion1_spot_12,4.461305729819288e-06,1.8714608904701892e-05,1.6073686026629732e-06,2.8158528493804624e-05,0.1943911999464035,1.328656554222107,0.0002981536017614417,0.002280921768397093
priorregion1_spot_13,8.860189097958937e-08,3.202526794865435e-08,1.9829890618439094e-08,1.8762898434943054e-07,2.8299827619093777e-07,0.6187994599342346,1.6880805731034343e-07,2.093140893943968e-09
priorregion1_spot_14,8.041198489081581e-05,0.7541548639535904,5.349465504878026e-06,2.7621506660580056e-06,0.47398247122764586,1.0709798395633696,8.359685089089907e-05,1.4918324211521394e-06
priorregion1_spot_15,2.677474697065918e-07,3.798108465957739e-07,4.051842346086687e-08,8.041796972975135e-05,0.2017001025378704,1.143518257141113,4.111936551254304e-08,1.6062696062135732e-08
priorregion1_spot_16,1.8218985042040005e-05,0.2676244959235191,5.953809761649609e-07,0.0034877856029197573,4.664345647142909e-06,1.7441911160945893,2.624058922151562e-07,0.00024819450482027605
priorregion1_spot_17,2.5101190203713486e-05,0.3323814392089844,1.8216205504018036e-07,9.61901087066508e-06,0.1464892126619816,1.7421955287456512,7.5135719498575795e-06,0.0006318488129181787
priorregion1_spot_18,0.0007539166836068034,0.9357804715633392,5.641972165904008e-07,8.770417174730482e-08,2.8427298047972727e-06,0.3224186629056931,1.863783722910739e-07,1.629994956786618e-08
priorregion1_spot_19,0.000982106980518438,0.26944525092840194,8.036352241447277e-08,6.746429517079378e-06,0.00018579056340968237,1.3247195005416872,1.3606544015942746e-07,0.004611715255305172
priorregion1_spot_20,4.9773043642176165e-08,4.4309095059702486e-08,6.426451371055464e-09,1.0679159530013752e-07,9.995502978199511e-07,0.6447356969118119,5.5180925162545704e-09,2.5367914768814615e-09
priorregion1_spot_21,1.6092051851046566e-07,1.1551526881703467e-07,1.2581212649465103e-08,4.268107119287379e-07,0.3211076766252518,0.8806153416633606,4.5507140100653484e-08,0.0014158678648527711
