,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,2.287243378304993e-05,9.81036640723687e-07,1.757221028242384e-07,3.234141695429571e-05,1.1256016671657563,1.0081162214279176,0.0006398673373041675,2.734038517360205e-07
priorregion1_spot_2,1.8694132322139013e-07,2.3239221533799536e-07,5.8673900182881775e-09,4.666763672389607e-07,0.6477611988782882,0.053231210075318815,1.818416723864402e-08,3.0696050004053175e-07
priorregion1_spot_3,7.005423526607047e-07,1.191014973755955e-07,2.036406909766697e-08,1.5454630286626528e-07,0.6685084521770477,0.10584174320101739,8.991396185820123e-07,5.4058980822446754e-06
priorregion1_spot_4,4.559850822261069e-06,7.700190303694399e-06,5.593479659182776e-06,1.705822779740629e-06,2.372685301303864,0.5933213472366333,0.001419424620689824,0.00039893759967526423
priorregion1_spot_5,0.0012494718539528549,1.0456008203618694e-05,8.152823696150336e-08,0.0004472759697819129,3.3257249832153324,0.04647701364010572,3.911888939001075e-07,0.009024075977504252
priorregion1_spot_6,0.00016457184246974066,3.955854954256211e-05,1.5313532458094416e-06,1.0867239666367822e-06,2.4969080567359923,0.5270844161510467,3.4265494718965786e-06,9.282747186034612e-07
priorregion1_spot_7,5.126129480004238e-07,6.789256552508505e-08,6.5231107100771625e-06,1.2420344930319518e-07,0.1571803756058216,0.3536246001720429,9.079930762823096e-08,2.1916279067113467e-07
priorregion1_spot_8,8.512534805049654e-06,0.00027833808562718334,3.970614219639401e-08,3.675158632177045e-06,1.929793733358383,0.9795810431241989,7.817853031610866e-07,8.673991771956934e-07
priorregion1_spot_9,4.054512814377632e-07,2.1267009344683175e-07,2.536631626970376e-09,1.9289842612124633e-07,0.3479403525590896,0.3049616381525993,1.1039063219087099e-08,3.879508234660989e-08
priorregion1_spot_10,7.409371755784377e-06,8.536000251524457e-07,1.4883837422985382e-06,2.721169585129246e-06,2.5023245096206663,1.206913596391678,0.0007071044645272195,5.78063783905236e-05
priorregion1_spot_11,2.4314601091646187e-06,8.525662337888207e-07,2.569761264226145e-07,9.749549150228631e-07,0.9569729208946227,0.7726511180400849,2.709829132641063e-07,4.2077997264300396e-08
priorregion1_spot_12,8.065398560574977e-06,0.001325147645547986,1.838362024386697e-07,5.301440487528453e-05,1.7173608601093293,0.850922253727913,0.003620734519790858,2.8765385013684864e-05
priorregion1_spot_13,0.00019027207745239138,1.3509498603525572e-05,2.2111960831239233e-07,5.4602635646006096e-05,2.8025437712669374,1.673013736080975e-06,1.066695822373731e-05,5.797621861347579e-06
priorregion1_spot_14,0.00012025746000290383,0.00011776382016250864,1.9442129826074963e-07,4.619932724381215e-06,2.800691533088684,0.8037943243980408,2.4628499159007333e-05,0.0006917756341863424
priorregion1_spot_15,1.6765804957685764e-06,1.9968697961303407e-05,3.5502260864461735e-08,1.1740827801531852e-06,1.1703078508377076,1.113763725757599,0.00035388037940720096,6.115357223279717e-07
priorregion1_spot_16,1.3601752016256796e-06,4.115243973501492e-05,6.251553968468215e-05,2.533312294872303e-06,1.1811907052993773,0.23961894661188124,6.145632536203038e-08,2.1867924999696696e-07
priorregion1_spot_17,0.05376713648438454,0.0010702426196075975,3.024568556497797e-07,0.00016397278086515142,0.8691079884767532,0.24535464644432067,0.15301235541701316,2.873353963650516e-07
priorregion1_spot_18,0.00017414605390513317,0.0010451930633280425,1.549300634451356e-07,3.2228148143076394e-06,2.07529296875,1.0821132719516753,2.745985818819463e-06,4.907226611976512e-05
priorregion1_spot_19,3.217635480723402e-07,6.333500159882988e-08,8.05426267902476e-09,1.1458830954325095e-06,0.574743640422821,0.48406274765729906,2.9279484170530168e-08,1.4681969378216308e-05
priorregion1_spot_20,3.8820589054466836e-07,7.628638201140348e-08,1.1388387743949125e-08,5.98409334884309e-07,0.951848715543747,0.8000574052333832,2.7328723717801046e-06,1.052992479344539e-06
priorregion1_spot_21,8.01060345111182e-05,1.5198071969280137e-05,2.144783287860719e-07,0.0014215344737749547,2.2477540016174316,1.121121871471405,0.0015028038702439518,1.2586488594479305e-06
priorregion1_spot_22,0.0017260829859878867,3.971341884607682e-05,1.0471602713835182e-07,9.949395462172106e-06,1.6661947429180146,0.9396288275718689,1.42154159675556e-05,8.663043075785027e-07
priorregion1_spot_23,3.005872855510461e-07,1.516657022193613e-07,2.651218764526675e-08,2.3460172826617054e-07,1.5350325286388398,0.14755345433950423,0.0004939818027196452,0.00032975526410154997
priorregion1_spot_24,6.568471690115985e-05,2.5988190827774814e-06,4.4405777543943264e-07,1.316369122150718e-06,2.4949617624282836,1.4061842441558838,5.240837026576628e-06,4.804711556971598e-06
priorregion1_spot_25,3.9605884694537964e-06,2.642652958684266e-07,8.429419864341981e-08,1.9298521328892095e-05,1.5034235775470732,1.034703814983368,4.052575533819436e-07,0.0018579427618533374
priorregion1_spot_26,2.1038838622189362e-05,0.0001607234102266375,2.3577618932790755e-07,0.0021628934890031816,2.2236572384834288,0.9953238666057587,1.1826983154605842e-06,6.363813772622962e-05
priorregion1_spot_27,1.879505003898885e-06,3.8636284216408967e-07,3.519628073433978e-08,1.5614624942372758e-06,2.2379282951354984,0.13738275468349456,1.389954100261548e-07,1.4749318211215725e-06
priorregion1_spot_28,2.6338819111515473e-06,5.846692761224404e-06,4.506432720319254e-08,8.831078012008221e-05,1.1277823746204376,0.8950346678495407,3.9036812466974884e-07,6.209683562019564e-07
priorregion1_spot_29,7.455523950739007e-06,7.548576661520201e-07,1.3471842450485385e-07,1.231297223966976e-05,1.9333586037158965,0.9228679478168487,1.244826790980369e-06,8.987713044916746e-07
priorregion1_spot_30,6.008379784816498e-07,2.134536480014049e-07,9.716107784996097e-09,5.430851871324194e-07,0.2234210439026356,0.5830788254737854,8.748159219251761e-09,1.0041864006993252e-08
priorregion1_spot_31,9.41144268296057e-08,4.6628042404961435e-08,3.914064605758938e-09,5.157989704684951e-07,0.7610784381628037,8.728830671600462e-08,5.766364719050898e-08,2.0116053622842857e-08
