	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	2.8087873e-08	2.4641192e-08	7.797456e-08	4.9787708e-08	0.083680704	4.338534e-07	0.9126531	0.0036656046
priorregion1_spot_2	3.3861422e-08	4.8636224e-08	4.5981157e-08	4.7563113e-08	9.429568e-06	3.736814e-08	0.9999902	7.9445755e-08
priorregion1_spot_3	0.0119469715	2.1436414e-07	4.493513e-08	1.3817104e-08	0.09069717	0.009398391	0.8879571	9.5956054e-08
priorregion1_spot_4	0.0043493207	0.0006989005	1.4235971e-07	1.2754216e-08	2.572311e-08	7.1843154e-08	0.99495155	1.3891799e-08
priorregion1_spot_5	3.1037327e-08	2.3371149e-08	3.5577845e-08	2.4660169e-08	0.009483246	3.51424e-08	0.99051654	3.713576e-08
priorregion1_spot_6	0.05315901	1.3565922e-07	5.0365973e-08	1.9993255e-08	0.08100121	1.2350966e-07	0.8658395	1.8775244e-08
priorregion1_spot_7	0.0029359208	7.441138e-08	7.7002895e-08	2.5238174e-08	0.044820365	5.7045288e-08	0.9522435	3.1221138e-08
priorregion1_spot_8	4.411398e-08	5.9507737e-08	1.5641426e-07	3.9302797e-08	0.047696523	3.5686778e-08	0.89780724	0.054495927
priorregion1_spot_9	0.010427419	8.4356735e-08	7.206236e-08	1.2262134e-08	0.0048565934	1.4304174e-08	0.9710308	0.013684985
priorregion1_spot_10	1.6945073e-08	3.6565837e-08	1.5477685e-08	9.933362e-09	0.32659408	2.0455493e-08	0.669495	0.003910825
priorregion1_spot_11	0.026202472	0.010903869	0.0072110975	1.2320151e-08	0.026533727	1.5095668e-07	0.7507091	0.17843954
priorregion1_spot_12	0.13371934	0.03952009	2.0927878e-07	6.673669e-08	0.44985127	0.027202424	0.3123421	0.03736452
priorregion1_spot_13	4.0143014e-08	2.1516222e-08	5.564832e-08	1.3505659e-08	0.0467945	1.919727e-07	0.9532051	6.7172266e-08
priorregion1_spot_14	0.1389876	0.09143329	0.15930685	0.0076839607	0.44382146	0.00043316215	0.11902622	0.03930747
priorregion1_spot_15	0.0013031478	2.7783083e-08	3.067617e-08	1.9622673e-08	0.060199305	4.8181413e-08	0.38389173	0.55460566
priorregion1_spot_16	1.037956e-07	1.6043566e-07	1.902679e-07	3.1649083e-08	0.05113224	7.197003e-08	0.94886714	7.887634e-08
priorregion1_spot_17	0.019467125	0.003832511	0.015749073	2.5997753e-08	0.047585357	1.6767464e-07	0.9026889	0.010676839
priorregion1_spot_18	1.8726084e-08	1.5895472e-08	9.33208e-08	2.1096223e-08	0.105420716	1.034679e-07	0.894579	2.824386e-08
priorregion1_spot_19	0.019961761	1.6211182e-07	0.0020685417	1.8375044e-08	0.049172938	0.004643145	0.92415345	1.8685123e-08
priorregion1_spot_20	1.7134505e-08	1.2626812e-08	2.3569264e-08	1.7710205e-08	0.040488843	1.8018683e-08	0.959511	5.033783e-08
priorregion1_spot_21	1.443313e-08	1.8200694e-08	2.5902759e-08	1.1877976e-08	2.1329232e-08	1.7345409e-08	0.9999999	1.9895579e-08
priorregion1_spot_22	5.1471133e-08	3.1856036e-08	2.3875424e-08	1.7056168e-08	0.013239543	3.5359843e-08	0.8282656	0.15849464
priorregion1_spot_23	5.1693096e-08	4.2514984e-08	4.1896385e-08	2.574653e-08	5.8375335e-08	3.8332647e-08	0.9999997	3.9139312e-08
priorregion1_spot_24	1.6720325e-08	1.1629793e-08	2.0200472e-08	9.364242e-09	0.039686467	2.3846527e-08	0.96031344	1.9727226e-08
priorregion1_spot_25	0.05072566	1.3308514e-07	6.999172e-08	3.3443058e-08	1.0282739e-07	3.777856e-08	0.9492738	1.3291478e-07
priorregion1_spot_26	3.1542967e-08	2.3188106e-08	4.8714682e-08	1.4868483e-08	0.13015938	3.0131773e-08	0.86984044	5.9810326e-08
priorregion1_spot_27	1.548885e-08	1.3343698e-08	2.1452472e-08	1.1635218e-08	2.4643837e-08	1.4782653e-08	0.9999999	1.1331263e-08
priorregion1_spot_28	1.3515864e-08	1.3315396e-08	2.106187e-08	1.0759511e-08	0.0018361551	7.991332e-09	0.7403153	0.25784847
priorregion1_spot_29	6.6574715e-09	1.0578151e-08	2.5219325e-08	1.2412317e-08	2.2624834e-08	6.6426753e-07	0.9999992	1.43267656e-08
priorregion1_spot_30	4.1282664e-08	6.660374e-08	7.793422e-08	8.918959e-09	0.14275926	3.3972903e-08	0.8572405	4.9876814e-08
priorregion1_spot_31	1.3639989e-08	1.8132036e-08	2.8365257e-08	1.5417177e-08	1.7979577e-08	1.4745152e-08	0.9999999	2.5948475e-08
priorregion1_spot_32	0.0033487787	2.7503765e-07	5.2956455e-07	2.0014372e-08	1.3486831e-06	4.262521e-08	0.57811415	0.4185349
priorregion1_spot_33	1.6741248e-08	1.0796643e-08	2.5310872e-08	2.1423674e-08	4.328623e-08	2.6961882e-07	0.7572949	0.24270466
priorregion1_spot_34	1.9628192e-08	1.1256872e-08	2.9524616e-08	2.348365e-08	2.5003791e-08	1.7078593e-08	0.9907333	0.009266556
priorregion1_spot_35	3.3010224e-08	3.7398838e-08	4.1870358e-08	1.1980505e-08	0.0063560847	3.4635715e-08	0.9936391	4.706803e-06
priorregion1_spot_36	1.6654335e-08	2.7035103e-08	4.3519717e-07	2.7044875e-08	0.062265657	2.9606174e-08	0.11491676	0.822817
priorregion1_spot_37	5.617588e-08	1.6100076e-07	4.0215305e-08	4.8382606e-08	0.4111829	0.0017609989	0.57632035	0.010735483
priorregion1_spot_38	0.03463842	2.4166005e-07	0.007423463	3.1065404e-08	0.15576498	6.962711e-08	0.80084795	0.0013248225
priorregion1_spot_39	1.5641064e-08	1.8805267e-08	4.307629e-08	0.07739632	0.2247524	0.00073967077	0.6693175	0.027794112
priorregion1_spot_40	0.018949537	8.291894e-07	2.823663e-06	5.4832537e-08	0.019896375	5.739466e-08	0.7274022	0.23374803
priorregion1_spot_41	0.021891383	5.7769974e-08	0.0025546276	2.4580531e-08	0.1010108	0.0038415792	0.8244102	0.04629137
priorregion1_spot_42	1.310822e-08	9.770232e-09	5.2805223e-08	1.3097962e-08	2.2521496e-08	0.0037534889	0.9962464	1.9239076e-08
priorregion1_spot_43	0.14461799	7.617505e-07	1.4534022e-07	4.1919293e-08	0.3266392	3.2875723e-06	0.5037969	0.02494172
priorregion1_spot_44	3.160469e-08	4.478905e-08	1.9394307e-07	1.2187496e-08	0.34133282	0.012884326	0.48641616	0.15936646
priorregion1_spot_45	0.028815806	4.8951673e-08	1.1882419e-07	1.1582226e-08	1.6269236e-07	2.7991812e-08	0.63746136	0.33372244
priorregion1_spot_46	1.4883082e-08	1.39210234e-08	4.567015e-08	1.1550494e-08	0.12123511	2.1302357e-08	0.6940705	0.18469426
priorregion1_spot_47	7.099715e-06	0.008863738	7.11207e-08	5.5956527e-08	0.09220623	9.6989346e-08	0.89773166	0.0011911261
priorregion1_spot_48	0.0067449734	0.00455681	0.008062509	6.0056124e-08	0.022499066	0.0178473	0.9402892	1.3755302e-07
priorregion1_spot_49	1.3756889e-08	9.273644e-09	2.1504896e-08	9.325285e-09	3.0142683e-08	1.0596046e-08	0.99999994	1.2691909e-08
priorregion1_spot_50	5.2532056e-07	0.00052184676	9.007041e-07	2.0097414e-08	3.9448824e-07	4.8277734e-08	0.35764268	0.64183354
priorregion1_spot_51	4.9913982e-08	1.2953467e-07	0.003037529	7.472681e-08	0.060990337	4.218887e-08	0.93322587	0.002746029
priorregion1_spot_52	5.138743e-08	0.0032271235	5.493039e-08	9.567015e-09	0.06663313	3.10119e-08	0.9301396	1.9746603e-08
priorregion1_spot_53	0.020763671	0.0029869494	0.02140118	0.0021212983	0.018472234	1.663298e-08	0.52278835	0.41146627
priorregion1_spot_54	2.3070529e-08	1.4791804e-08	5.0703534e-08	1.5884538e-08	0.13099378	9.3480075e-08	0.8686059	0.00040010252
priorregion1_spot_55	2.074063e-08	2.231007e-08	3.88228e-08	1.0489675e-08	4.748486e-08	1.72956e-08	0.9063981	0.0936017
priorregion1_spot_56	7.468275e-07	2.5201421e-08	1.0494811e-07	6.6574124e-09	2.3167293e-06	1.498479e-08	0.8424147	0.15758216
priorregion1_spot_57	1.933862e-08	1.8760588e-08	4.4173913e-08	1.2530941e-08	0.06452539	2.8957608e-08	0.93547446	2.8341596e-08
priorregion1_spot_58	7.6916905e-08	2.4669113e-08	3.7260815e-08	8.178718e-09	0.2272714	3.016507e-08	0.7727284	5.612262e-08
priorregion1_spot_59	2.1461194e-08	1.8508084e-08	2.3347795e-08	1.6757218e-08	0.03863814	5.8027428e-08	0.9535424	0.0078192875
priorregion1_spot_60	0.002052496	0.0063332636	1.6951185e-07	2.2715264e-08	0.15010068	7.930886e-08	0.79717404	0.04433926
priorregion1_spot_61	1.144178e-08	8.929345e-09	1.3941272e-08	8.152366e-09	0.11059218	1.2766661e-08	0.88714755	0.0022602582
priorregion1_spot_62	2.9736029e-08	2.2221338e-08	4.4065754e-08	1.6097339e-08	0.20749708	2.2403055e-08	0.7925026	1.5547513e-07
priorregion1_spot_63	0.015036632	3.8082877e-08	6.729089e-08	3.1797967e-08	0.37959102	6.09899e-07	0.5948983	0.01047334
priorregion1_spot_64	3.4754746e-07	3.451751e-08	1.015082e-07	9.9665955e-09	0.14763147	0.005413465	0.3989964	0.44795814
priorregion1_spot_65	1.4918706e-08	1.2006982e-08	1.9043389e-08	1.7915047e-08	3.452962e-08	3.3533933e-08	0.9999999	1.7527839e-08
priorregion1_spot_66	0.13020073	6.419747e-08	9.852979e-07	3.7182758e-08	0.06621313	3.6022552e-08	0.79583585	0.00774914
priorregion1_spot_67	2.425479e-08	1.2504104e-08	0.011142165	7.3601787e-09	0.010570334	0.00017826787	0.7708323	0.20727691
priorregion1_spot_68	2.937091e-08	4.7080228e-08	2.506032e-08	1.773359e-08	4.8651952e-08	3.6335877e-08	0.9803697	0.01963009
priorregion1_spot_69	2.8982097e-07	5.1089856e-08	2.348923e-07	2.374049e-08	0.09009122	1.4506328e-07	0.9099076	4.861728e-07
priorregion1_spot_70	2.360885e-08	1.8817436e-08	7.122628e-08	1.40229455e-08	4.9695604e-08	1.2881776e-07	0.9999997	3.908129e-08
priorregion1_spot_71	1.3553676e-08	8.401502e-09	0.0018901752	1.0037852e-08	0.028450796	2.5297203e-08	0.969659	1.2297073e-08
priorregion1_spot_72	7.643371e-08	0.001078608	3.24424e-08	3.6091706e-08	2.062212e-08	7.1280006e-08	0.99892116	3.861016e-08
priorregion1_spot_73	1.2920954e-08	1.0953184e-08	3.0224555e-08	9.771582e-09	0.103537634	3.4695663e-08	0.8150427	0.081419654
priorregion1_spot_74	3.742351e-08	0.00088858476	6.604231e-08	0.085171655	6.3912324e-08	1.046613e-07	0.91114867	0.0027908124
priorregion1_spot_75	5.7753674e-08	0.0020436798	4.851567e-08	2.263406e-08	7.3781464e-08	2.9135025e-08	0.9979561	2.259354e-08
priorregion1_spot_76	2.1044952e-08	1.609149e-08	6.351201e-08	3.6864805e-08	0.00012454436	5.4262262e-08	0.3743257	0.62554955
priorregion1_spot_77	6.7061663e-09	4.374953e-09	7.711422e-09	1.508762e-08	0.55950725	7.1009514e-09	0.4404856	7.144392e-06
priorregion1_spot_78	1.7512944e-07	1.7060382e-08	2.7036879e-06	1.8336518e-08	0.0805972	4.7256052e-07	0.7068866	0.21251285
priorregion1_spot_79	0.0023747426	1.1211568e-07	8.72099e-08	0.004628422	0.23222043	4.2672845e-08	0.76077604	8.6895916e-08
priorregion1_spot_80	0.012462634	0.05459346	3.2206077e-07	1.1950353e-07	0.11890177	2.4632312e-08	0.7844448	0.029596843
priorregion1_spot_81	2.2364361e-08	5.4725336e-07	2.6780597e-08	2.2451207e-08	2.3331582e-08	0.006226406	0.9937729	1.9627743e-08
priorregion1_spot_82	3.1481378e-08	1.8182028e-08	2.7228088e-08	1.1715083e-08	0.12297076	1.7401213e-08	0.87702906	1.2862866e-07
priorregion1_spot_83	1.9823823e-08	2.4751499e-08	8.3554696e-08	1.2601876e-08	0.015413527	5.9347332e-08	0.9845862	6.7367594e-08
