	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.0054469057	4.8994654e-08	0.011425454	0.9607297	2.240767e-06	6.457548e-08	0.02239549	4.46631e-08
priorregion1_spot_2	6.718723e-07	1.7567848e-07	4.0714184e-07	0.98181987	7.756258e-08	9.531063e-08	0.0104902005	0.0076885116
priorregion1_spot_3	1.813094e-06	0.0030023349	3.89056e-07	0.9825821	6.620158e-08	1.9024924e-07	0.014413063	1.2477976e-08
priorregion1_spot_4	6.719033e-06	2.8305703e-06	0.7203926	0.27251893	2.362745e-06	9.991812e-06	0.0058879727	0.0011785873
priorregion1_spot_5	0.00025510322	1.848948e-05	0.7937532	0.16316275	0.03295995	4.1182693e-06	0.005975472	0.0038709335
priorregion1_spot_6	1.5777391e-07	5.3324637e-08	2.3661725e-07	0.99944496	0.00024630362	6.2227144e-08	0.00030816853	9.288632e-09
priorregion1_spot_7	0.06426943	1.4675409e-06	0.37839055	0.42744052	0.11813591	1.5613364e-06	0.0117605245	5.8296052e-08
priorregion1_spot_8	0.00030255588	0.014870564	0.08852517	0.84759456	0.036944985	7.6728224e-07	0.011761366	6.46023e-08
priorregion1_spot_9	0.0014213773	4.3625388e-08	3.1226523e-07	0.99857676	4.1645272e-08	5.397772e-08	1.3441905e-06	3.550802e-08
priorregion1_spot_10	1.6680249e-06	5.43201e-08	0.3082748	0.6917228	1.7247278e-07	9.207743e-08	2.6556955e-07	3.9232752e-08
priorregion1_spot_11	0.005562797	4.147265e-07	0.046746705	0.88953865	0.041262724	1.6997216e-06	0.016886884	9.532149e-08
priorregion1_spot_12	3.1195341e-07	2.209739e-07	0.017034112	0.9725676	0.0069742594	1.6304612e-07	5.023351e-07	0.0034227562
priorregion1_spot_13	0.070602834	0.019924507	0.5748886	0.3184764	0.0095172385	0.000621376	9.798059e-07	0.0059682527
priorregion1_spot_14	0.021205163	0.0120529	0.027951712	0.92659885	0.012189407	1.5941185e-06	4.818243e-07	2.3175367e-08
priorregion1_spot_15	0.0020601936	6.912032e-05	0.79489976	0.16592522	0.0075154966	0.00020083622	0.029329244	5.0166076e-08
priorregion1_spot_16	2.6644872e-07	6.8980904e-07	0.10777705	0.6268646	0.25753215	2.3972865e-07	0.007824956	1.9461588e-08
priorregion1_spot_17	4.7186653e-08	3.843661e-07	0.04081293	0.9591221	3.33844e-08	6.438282e-05	1.8055238e-07	1.6085876e-08
priorregion1_spot_18	2.688011e-08	2.6864322e-08	6.451473e-08	0.9999999	9.404154e-09	4.8461143e-08	3.3710087e-08	8.85468e-09
priorregion1_spot_19	4.1186496e-07	3.9178518e-05	0.012259943	0.79346937	0.13697386	4.1021895e-07	0.057256922	7.7994e-09
priorregion1_spot_20	4.6549346e-08	4.8165226e-08	1.317275e-07	0.99999946	2.6787067e-08	7.90802e-08	9.049596e-08	5.2752597e-08
priorregion1_spot_21	2.4253524e-07	8.064731e-08	0.30948156	0.6807046	0.004233853	1.5154606e-07	3.8604682e-07	0.0055791643
priorregion1_spot_22	2.394141e-07	1.0208679e-07	0.3890631	0.55957216	0.042379178	7.275776e-07	0.008601671	0.00038292515
priorregion1_spot_23	3.0711246e-07	0.003956333	4.3799125e-07	0.9960423	7.481304e-08	1.2068023e-07	3.2599223e-07	9.0232255e-08
priorregion1_spot_24	0.00455853	1.5785638e-07	0.0122296605	0.834158	0.14223698	2.293417e-06	0.006814453	2.247214e-08
priorregion1_spot_25	0.0023683207	2.6553445e-07	0.018945843	0.84769815	0.09603956	1.2150446e-07	0.034947753	1.719482e-08
priorregion1_spot_26	3.0467874e-08	4.1015873e-08	1.9925793e-07	0.9999994	2.1286189e-08	6.8517274e-08	2.3830239e-07	1.6279435e-08
priorregion1_spot_27	7.986188e-08	0.02139406	2.039795e-06	0.9478023	5.487943e-08	0.030800402	1.8958724e-07	8.5275434e-07
priorregion1_spot_28	0.0010180768	0.0185038	0.20507893	0.7112291	0.060693562	1.6177424e-07	0.0034763073	1.8191825e-08
priorregion1_spot_29	4.7209287e-08	0.0011068189	0.053102292	0.9457906	2.0391383e-08	1.4821647e-07	7.008276e-08	1.8387311e-08
priorregion1_spot_30	3.1975683e-06	1.9055316e-06	0.7809038	0.21432212	0.004765496	1.6219252e-06	1.8733964e-06	1.4968231e-08
priorregion1_spot_31	0.006843555	4.6614656e-07	0.27509674	0.666976	0.021308882	4.6176815e-06	0.029769683	2.6622585e-08
priorregion1_spot_32	0.005825896	0.037450563	8.0866505e-07	0.7121298	0.2404273	1.6044598e-05	1.594767e-05	0.004133693
priorregion1_spot_33	0.00018525223	6.071814e-08	2.5268656e-07	0.98386824	0.015944375	7.954739e-08	1.7260815e-06	1.2423708e-08
priorregion1_spot_34	0.006462546	5.3093873e-07	0.02434309	0.82421243	0.14266287	3.660978e-07	0.0023181958	7.990583e-08
priorregion1_spot_35	2.0807839e-07	9.3781544e-08	1.5936471e-06	0.8308043	0.16803636	3.4152882e-07	1.0965376e-06	0.0011559858
priorregion1_spot_36	0.0041813413	1.5493444e-07	2.435174e-06	0.8188179	0.1426414	1.7331047e-07	0.034356628	3.0140292e-08
priorregion1_spot_37	0.0018082155	1.1853956e-07	0.27142853	0.5968485	0.11393399	1.4889448e-06	0.015979161	3.340613e-08
priorregion1_spot_38	2.9437834e-08	2.7975597e-08	0.025497342	0.792237	0.13428317	1.06350306e-07	0.047982346	6.4433263e-09
priorregion1_spot_39	0.011683681	2.1501788e-07	2.3823695e-07	0.97835165	1.9107613e-07	1.3888796e-07	0.0052026985	0.0047611753
priorregion1_spot_40	0.009059559	2.6070984e-07	7.318458e-07	0.7111777	0.27976102	1.621655e-07	3.8173397e-07	1.13321875e-07
priorregion1_spot_41	0.017335461	7.908836e-08	3.759335e-07	0.97737604	9.1854766e-08	1.0830589e-07	5.515291e-08	0.0052877436
priorregion1_spot_42	6.919937e-06	3.3514957e-06	0.7125813	0.28695425	9.367964e-08	3.2688827e-06	7.1740005e-06	0.00044369124
priorregion1_spot_43	5.718557e-08	0.0022622352	1.1962542e-05	0.96444213	1.7105554e-08	1.2600329e-07	0.033283535	8.001586e-09
priorregion1_spot_44	7.84776e-08	5.3246584e-08	5.826956e-06	0.5991667	0.37421745	1.0391526e-06	0.015213042	0.011395873
priorregion1_spot_45	0.0045479303	0.032359853	1.2302404e-05	0.96140933	2.855308e-08	0.0006174256	2.9343218e-07	0.0010529804
priorregion1_spot_46	5.116096e-08	8.365274e-08	8.358659e-06	0.960772	0.039218422	4.2572864e-07	6.6273304e-07	1.555718e-08
priorregion1_spot_47	3.3942328e-07	1.3844254e-07	0.0044857273	0.8852678	0.09268355	1.8677311e-07	0.017562224	3.2529698e-08
priorregion1_spot_48	8.744139e-08	9.887507e-08	1.2866872e-07	0.99999875	3.0590485e-07	4.255499e-07	1.1361457e-07	4.80285e-08
priorregion1_spot_49	9.917583e-08	0.0019094374	7.352492e-07	0.92120457	0.07688489	1.6033091e-07	6.3152655e-08	1.7991445e-08
priorregion1_spot_50	2.330029e-08	2.1779073e-08	3.8145706e-07	0.99999934	5.479389e-08	1.5476212e-07	9.111109e-08	1.133402e-08
priorregion1_spot_51	1.0175459e-05	1.5055059e-06	0.59938926	0.31006423	0.075004004	6.5986396e-06	0.013624838	0.0018993383
priorregion1_spot_52	2.3444938e-08	3.041419e-08	1.07825784e-07	0.99999934	1.755011e-08	5.4566957e-08	4.0503616e-07	2.802811e-08
priorregion1_spot_53	0.017597973	0.02101258	0.30193856	0.5509599	0.07334161	7.1567854e-08	0.035149366	1.1000688e-08
priorregion1_spot_54	2.3587677e-07	4.4629164e-07	6.488048e-07	0.9311916	0.068803705	1.0376759e-06	2.1912217e-06	8.428742e-08
priorregion1_spot_55	4.9095938e-08	3.7325854e-08	0.265925	0.7340744	1.8881634e-08	3.4799527e-07	2.0389531e-07	1.1775422e-08
priorregion1_spot_56	2.677346e-08	6.018391e-08	1.899066e-07	0.9999995	1.9654296e-08	5.6548345e-08	8.688625e-08	9.582828e-09
priorregion1_spot_57	0.010947354	0.027945459	0.18643075	0.70131356	0.07300395	7.8551764e-08	1.16550574e-07	0.0003586941
priorregion1_spot_58	2.649776e-08	3.464508e-08	4.019757e-07	0.99999875	2.1330921e-08	7.999335e-08	2.273012e-07	4.886867e-07
priorregion1_spot_59	1.6023661e-07	6.5130145e-08	0.022396598	0.9388575	0.0065007587	2.9403816e-07	0.032244544	4.411999e-09
priorregion1_spot_60	1.18952634e-07	1.07319885e-07	2.5716884e-07	0.9824609	1.6279657e-07	1.5047546e-07	0.015695484	0.001842742
priorregion1_spot_61	3.446156e-08	0.001382443	3.061294e-06	0.9986141	2.30381e-08	5.9043384e-08	3.442127e-07	3.2819948e-08
priorregion1_spot_62	7.470664e-08	4.8933543e-08	0.01477838	0.9852214	2.283916e-08	4.5691884e-08	6.980973e-08	1.264643e-08
priorregion1_spot_63	1.6957335e-07	0.010648392	1.3466761e-06	0.8370964	0.11672183	3.3011005e-07	0.028303629	0.007227833
priorregion1_spot_64	5.5792217e-08	5.3039166e-08	2.2380425e-07	0.931435	0.04792966	4.743947e-07	0.020634513	1.3526093e-08
priorregion1_spot_65	1.2408071e-07	4.273372e-08	0.24493274	0.7355884	7.097893e-08	1.2372197e-07	0.0189658	0.00051282055
priorregion1_spot_66	9.4241265e-08	9.24466e-08	3.234962e-07	0.9999993	5.3764246e-08	1.02259115e-07	4.8039876e-08	7.15278e-09
priorregion1_spot_67	1.403359e-07	2.4800817e-08	0.002351543	0.9976478	3.528485e-08	1.733283e-07	1.8703707e-07	1.4184888e-08
priorregion1_spot_68	1.5764783e-07	0.0054530236	4.5145734e-07	0.9535169	0.041018754	1.0062899e-05	6.732463e-07	1.7655337e-08
priorregion1_spot_69	1.3550634e-07	9.922798e-08	3.0954544e-07	0.9999993	4.0404906e-08	7.820556e-08	1.1753393e-07	1.8851697e-08
priorregion1_spot_70	4.5380066e-08	4.780873e-08	7.5074956e-07	0.97381324	0.018557727	3.889264e-07	0.007627861	1.899784e-08
priorregion1_spot_71	0.023512263	0.009901371	0.001828767	0.7505781	0.1656454	3.4779578e-06	0.048530485	3.2954578e-08
priorregion1_spot_72	4.9379427e-08	7.682142e-08	2.6046243e-07	0.9604356	2.00186e-07	1.2905171e-07	0.028379831	0.01118389
priorregion1_spot_73	1.014609e-06	0.019940121	6.8964584e-07	0.78280455	0.19725269	1.3889864e-07	7.786699e-07	1.879468e-08
priorregion1_spot_74	2.5487856e-07	0.007821532	1.0831441e-06	0.539765	0.45123345	7.279536e-07	9.4857725e-08	0.0011778665
priorregion1_spot_75	0.048970193	2.2838426e-06	0.25296348	0.61688256	0.0720527	1.0248633e-07	1.3855325e-07	0.009128541
priorregion1_spot_76	1.1996092e-07	1.8455448e-07	0.029981688	0.9157506	2.3606101e-07	0.004281703	0.04541042	0.004574946
priorregion1_spot_77	2.7395167e-08	2.7047951e-08	6.39118e-07	0.99999875	1.790921e-07	2.0681621e-07	1.49168e-07	3.3270204e-08
priorregion1_spot_78	1.99851e-08	1.7150285e-08	2.305127e-07	0.839739	0.16026007	5.2732736e-07	6.393528e-08	1.1623903e-08
priorregion1_spot_79	1.7317477e-07	0.0028384665	7.621889e-06	0.82254803	0.17460288	2.2302233e-06	5.6547486e-07	3.0006284e-08
priorregion1_spot_80	0.0046403017	0.0014838648	0.43856174	0.48186833	0.067942865	4.3368514e-06	0.0035953317	0.0019032367
priorregion1_spot_81	4.984639e-08	2.0447361e-07	3.8729056e-07	0.999999	2.5519123e-08	1.7157524e-07	1.1107857e-07	4.312161e-08
priorregion1_spot_82	2.1578177e-08	4.147358e-08	1.3347604e-07	0.9999996	1.2584126e-08	1.1012901e-07	6.356528e-08	1.6355823e-08
priorregion1_spot_83	1.4157146e-07	0.006051631	5.180112e-07	0.9828965	7.7648686e-08	7.827852e-08	0.01105105	4.1524693e-08
priorregion1_spot_84	7.9869814e-08	0.0056541953	7.0341713e-07	0.9943449	2.848885e-08	9.097709e-08	1.9741087e-08	4.1464703e-09
priorregion1_spot_85	5.6574684e-08	1.00802076e-07	0.06644189	0.93355757	2.7137364e-08	1.3600943e-07	1.9214147e-07	1.5481255e-08
priorregion1_spot_86	0.062108893	0.02158758	0.49664778	0.41238853	4.5281883e-08	5.611929e-08	7.526472e-08	0.0072669233
priorregion1_spot_87	2.0053528e-06	2.736014e-07	0.5983718	0.23512508	0.122847475	0.0024435539	0.041209735	8.847356e-08
priorregion1_spot_88	1.2315404e-07	0.005851109	2.6544902e-07	0.9094764	0.081651725	2.277181e-07	0.0030201282	6.044194e-08
priorregion1_spot_89	0.028602244	6.630466e-08	0.024178395	0.9449105	3.669203e-08	1.2659854e-07	0.0023086406	4.4500695e-08
priorregion1_spot_90	0.0013374073	0.0024469118	0.5355822	0.3809065	0.059901007	2.0045393e-08	0.019825934	9.244699e-08
priorregion1_spot_91	1.3590481e-07	7.3892956e-08	1.2172098e-06	0.8555835	0.14441428	3.56022e-07	3.0016918e-07	4.112703e-08
priorregion1_spot_92	0.0040493575	0.045605186	0.23005785	0.615913	0.10437446	1.06513255e-07	1.7450984e-07	2.9089023e-08
priorregion1_spot_93	5.3443852e-08	6.962566e-08	1.9166073e-07	0.9994017	1.5920708e-08	6.468232e-08	0.00059792097	8.20436e-09
priorregion1_spot_94	0.015025317	6.5073186e-06	0.4845007	0.45418003	0.03639905	2.9761175e-05	0.009858581	5.8331704e-08
priorregion1_spot_95	1.0756672e-06	0.01706981	0.0479122	0.7921904	0.14220226	0.0006236687	6.0401237e-07	3.796388e-08
priorregion1_spot_96	7.206787e-08	6.197989e-08	2.4301798e-07	0.92999923	0.064109735	2.1820625e-07	0.005890438	3.6605154e-08
