,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,2.0051414140187523e-10,8.875733953361832e-10,1.1792990056713749e-10,1.2736772358417512,2.708483486912883e-06,3.3255814546606644e-09,6.149963788226743e-10,0.0001875789021141827
priorregion1_spot_2,3.106510177985911e-08,0.0004995250696083531,1.1395854704332467e-09,0.2037924237549305,0.01029216879978776,5.5425753764382085e-09,1.3722319458508994e-08,0.10765726044774056
priorregion1_spot_3,9.536088055028812e-06,3.2017669013839622e-06,2.9312377228052357e-05,8.081501118795132e-06,0.3540835693478584,0.0009149719931883738,0.0010527841455768793,3.9453858852386476
priorregion1_spot_4,1.7162647907298378e-06,9.504327778131485e-07,4.170352667642875e-08,3.01962830917546e-07,0.3260678514838219,2.5648777040032656e-07,6.222682571888072e-07,2.72488751411438
priorregion1_spot_5,1.643962285413636e-07,2.4789776276179513e-08,2.5352967614189483e-09,1.2149217321066887e-08,0.0009584769693901763,1.716726503175892e-08,7.979007410341411e-09,0.2000868409872055
priorregion1_spot_6,9.244580478906527e-09,4.255090702010023e-09,7.94737062270734e-10,5.14156975328639e-10,0.39307482391595844,6.134822849723776e-09,1.6731626750754458e-09,0.009422674961388112
priorregion1_spot_7,1.3939897502979193e-08,1.3214399041672211e-08,1.0723928481337631e-10,0.0241073165088892,7.678008046241303e-06,0.5238450050354004,1.4551494176284763e-09,0.0005845365056302399
priorregion1_spot_8,0.00021671682698070073,2.3623976903763833e-05,1.4753693960756208e-06,0.3065205797553062,0.018149587512016296,0.353342741727829,6.568847993548843e-06,3.9361040353775025
priorregion1_spot_9,3.562486383668074e-09,1.333752225329832e-09,7.669360979623008e-10,2.333035431512088e-09,0.00020040103772771544,3.637683554380544e-09,3.6610361076050427e-09,0.1125865813344717
priorregion1_spot_10,5.411003485278344e-06,2.4665363525855354e-06,9.139299891103292e-06,2.6900632292381486e-06,0.09859148152172566,0.0012366615352220835,2.5136906174338947e-06,4.370767879486084
priorregion1_spot_11,0.0002968961183796637,4.4293416294749485e-06,4.907336716541977e-07,3.3210342849088197e-06,0.309254664182663,0.002139126183465123,5.563521585827403e-06,3.7953821063041686
priorregion1_spot_12,2.144233185390476e-05,7.059099698381033e-05,1.5237938200129977e-07,2.7771203576776314e-07,0.008535193046554923,0.2610826462507248,0.0018871843756642192,2.0725546717643737
priorregion1_spot_13,1.4618316799897003e-05,6.612538163608406e-06,1.3772401598544092e-05,0.1764815889298916,0.01789527861401439,1.6848350014697644e-06,4.85074067455571e-06,4.399801635742187
priorregion1_spot_14,4.3642346838623783e-07,4.87870406118418e-07,2.5590536409936256e-07,8.859842033359655e-08,0.5466492652893067,2.6092926042053932e-08,4.86511051889238e-08,0.512008062005043
priorregion1_spot_15,5.6389028713965675e-06,1.0394755634024477e-06,7.042300396165046e-08,2.4491985755048518e-06,0.22674404457211494,1.0234123010377517e-06,7.215240799496314e-07,2.9890381932258605
priorregion1_spot_16,3.4181061778326696e-06,1.19980156227939e-06,2.1782998089747706e-07,1.1841860271033512e-06,0.015234347293153407,7.636491091034259e-07,1.046743147981033e-06,3.6545046091079714
priorregion1_spot_17,1.1404464572706274e-07,7.143727316361039e-08,5.5594369996470055e-09,4.4554470690627573e-07,0.09926178269088268,2.03165294720975e-07,2.841398881514579e-07,0.9076465398073196
priorregion1_spot_18,0.0001270069282327313,5.11877192366228e-06,4.5367422814024393e-07,0.0003793516356381588,0.016175154224038125,5.291061853540669e-07,6.456218130779235e-07,2.5333563446998597
priorregion1_spot_19,2.6203321431239603e-05,1.9769423215620918e-05,8.959219758253312e-06,4.287248139007715e-05,0.24608295634388921,7.150044330046512e-05,5.2983250134275296e-05,6.3249678134918215
priorregion1_spot_20,3.6324306584845095e-08,3.273368687217726e-08,2.211537675211872e-09,1.5136468300980258e-08,0.00026370299892732876,1.9535827355809945e-08,1.6828876958641107e-08,0.6318322777748108
priorregion1_spot_21,5.014607580733355e-07,7.389716500938449e-07,5.106713413249864e-10,1.7181924150122545e-08,1.404516190290451,5.136666505478615e-08,2.4133114720825687e-06,0.09244568832218647
priorregion1_spot_22,0.0008245928154792637,5.8920500123349484e-05,0.000101424262902583,2.746265849395968e-07,0.0030080595519393683,5.774357390464502e-07,2.1324017254187314e-07,1.9267424643039703
priorregion1_spot_23,0.004596720077097416,6.675256408925634e-05,1.1169337632566112e-07,0.22128156945109367,0.16736421436071397,0.24711877554655076,0.0003433386780670844,1.9987921476364137
priorregion1_spot_24,6.651394244272524e-07,5.178921327342324e-07,2.099701646329777e-06,2.294965995019993e-07,0.0023893468896858394,1.800912805549615e-07,3.4376887612097564e-07,2.457303249835968
priorregion1_spot_25,3.389398364106455e-06,7.368756513415065e-07,1.3051475704628502e-07,9.168740490395067e-07,0.05455334279686213,0.0498862324282527,4.923819702185029e-07,2.725342810153961
priorregion1_spot_26,5.330890559207547e-07,5.410483822743117e-06,1.9611438688116325e-06,0.13629650324583054,0.022958939149975776,2.0928777715312212e-07,0.00021307442366378385,1.334937220811844
priorregion1_spot_27,2.111892445100239e-06,4.7179294000443405e-07,7.309808189859268e-08,2.448979870450785e-07,0.0019109697488602251,3.415761241853943e-07,2.6497723553120523e-07,2.8515328288078305
priorregion1_spot_28,6.634385408688106e-06,1.7495700660674628e-06,7.417772025064551e-07,0.08660688251256943,0.11878899112343788,2.90063381953587e-06,0.0019586805952712893,3.170289373397827
priorregion1_spot_29,9.585081727436774e-07,2.920684636364968e-07,5.7384507101687634e-08,2.8448403384118136e-07,0.005608487105928361,2.0453917386475952e-07,1.0167370646740895e-06,2.479573094844818
priorregion1_spot_30,1.2527932028660872e-06,3.3380838090124597e-06,5.430427592045817e-07,1.1670152133547163e-07,0.0021205878816545013,2.3541503111346176e-07,1.1027071877833806e-07,1.4768628418445588
priorregion1_spot_31,1.7987581202305594e-06,7.797959739264116e-07,5.507824334927136e-06,3.5252223938186946e-06,0.11977442055940628,7.42839137046758e-07,7.927616252345617e-07,2.8646877884864805
priorregion1_spot_32,2.5273425762861734e-05,8.279613120976137e-06,2.5345972630930192e-06,1.183750623567903e-05,1.538666307926178,5.429621660368867e-06,0.00021519929214264266,4.400330543518066
priorregion1_spot_33,8.232681511799455e-06,1.6851099189807428e-06,4.4045067113529515e-07,0.28893763124942784,0.04639331325888634,2.430250560792047e-06,5.443531645141775e-05,3.1727895975112914
priorregion1_spot_34,2.586263448733916e-07,1.4749323611340516e-07,1.6490505849731107e-08,3.3261090493397207e-06,0.7934783130884171,2.4290118432190867e-07,3.141826240948831e-07,0.979251179099083
priorregion1_spot_35,1.0128695112143759e-05,5.619383250632382e-06,1.8309700138274821e-07,1.9502270220073115e-06,0.5672324597835541,8.104560123456396e-07,0.30953249335289,2.643330800533295
priorregion1_spot_36,1.0358633346641e-07,8.434894382958192e-09,1.3146157440413478e-09,4.610483284039902e-09,0.00019941408027079888,1.5373759687520307e-08,1.4130463732442423e-08,0.4606097310781479
priorregion1_spot_37,1.7524007216707108e-05,6.24380504632427e-06,1.1433058375587282e-06,0.38776431083679197,0.6689259320497513,5.321024605109415e-06,6.918900589880651e-06,3.5282275676727295
priorregion1_spot_38,8.369287115783663e-06,5.130659360474965e-06,2.432155461065122e-05,1.7722079633131218e-06,0.016638260055333375,1.6376854659938546e-06,0.00039977092819754034,4.088761401176453
priorregion1_spot_39,3.5967814983450805e-05,0.00013814803751301954,2.8385698556121497e-06,5.228288591752062e-06,0.15436823591589927,0.000846446433570236,0.00041558366792742167,4.588957047462463
priorregion1_spot_40,1.9326260371599346e-05,1.2493879557951006e-05,1.5850788429361275e-06,3.112599131327443e-06,0.23527830988168716,3.4396027899674665e-06,8.399585595952886e-07,2.9680782079696657
priorregion1_spot_41,1.0226907988908353e-05,8.799816241662483e-05,4.018947123540784e-07,2.1217370999693233e-06,0.26062055975198745,0.0010875194275286049,1.145029960980537e-06,3.0432745814323425
priorregion1_spot_42,1.3764224471302102e-08,3.5313289181715394e-09,4.3159836399242484e-10,7.204408980499011e-09,0.000124402469737106,8.821664287950172e-09,6.057639323486796e-09,0.16521478295326233
priorregion1_spot_43,4.2052187609442624e-06,8.321652359200016e-07,1.485848741822338e-07,9.06364857655717e-07,1.0226726233959198,0.08722272329032421,3.9576779613526015e-07,2.305891680717468
priorregion1_spot_44,1.6202673066345596e-06,4.8575459459243575e-06,7.360993370397751e-09,0.3828805357217789,0.0019951472990214826,3.893918076869341e-08,6.10270223688758e-08,0.856651222705841
priorregion1_spot_45,0.0021612965036183597,1.634059799471288e-06,2.4866690839786548e-08,8.030256211100096e-08,0.0006331416516331956,8.896831964477769e-08,1.8632809517526994e-08,0.4934227466583252
priorregion1_spot_46,0.025148612074553964,1.3317951606950374e-05,7.194736753035613e-07,0.42798584997653966,0.012039706064388157,3.955202646466205e-06,0.002241887175478041,2.112341010570526
priorregion1_spot_47,9.102262310989317e-07,1.76846113930651e-07,5.499311743761837e-08,4.2770323744889537e-07,0.0012152253941167146,1.053571018871935e-07,5.853830714386277e-07,1.7223663508892058
priorregion1_spot_48,5.952879973847303e-06,1.7456862224207726e-06,6.814352559558756e-06,1.9276745661045425e-06,0.15212434977293013,0.0015438707836437971,1.1511648324358251e-06,3.227202606201172
priorregion1_spot_49,8.108231595542748e-05,1.5599565267621073e-05,6.994174583496715e-07,2.3827587483538084e-06,0.05382051952183246,1.2740865656724055e-06,9.168009427185098e-07,3.6184167385101316
priorregion1_spot_50,2.0927664046155316e-10,2.344566617240584e-10,1.4335801851173003e-10,1.2230391630008163e-10,3.434936360235952e-07,5.13116368838773e-10,2.4980908452931774e-10,0.00015184983858489433
priorregion1_spot_51,1.744138116919203e-05,1.0279268553858856e-05,3.0938038798922206e-05,1.9308311311760918e-05,0.4678203657269478,0.0009753435326274485,0.41669686138629913,4.357114648818969
