	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	2.6720915e-08	4.576906e-08	3.8702333e-07	0.9867104	2.7413472e-08	0.013288974	2.1259694e-07	1.5501382e-09
priorregion1_spot_2	7.4171516e-07	0.017797062	1.368172e-06	0.3626225	0.250223	6.0898094e-07	0.034865666	0.33448908
priorregion1_spot_3	5.9590718e-08	3.1033487e-08	2.799274e-07	2.2245807e-07	0.14444181	0.007884213	5.7499656e-06	0.84766763
priorregion1_spot_4	2.0616042e-08	4.024886e-08	3.4558077e-08	4.5251138e-08	0.29858112	3.0296133e-07	0.015565156	0.6858533
priorregion1_spot_5	1.394597e-07	5.459275e-08	0.0976845	0.0007415031	0.37256336	0.023144716	0.00029649827	0.5055692
priorregion1_spot_6	4.3352202e-08	3.9642057e-08	8.1795736e-07	1.6579503e-07	0.7406787	0.009442641	7.721828e-07	0.24987674
priorregion1_spot_7	5.924574e-07	4.5180533e-07	0.095032044	0.12824059	0.21535689	0.46425873	1.3929662e-06	0.097109385
priorregion1_spot_8	1.5705614e-07	2.2205002e-07	4.2700768e-07	0.02974476	0.22513847	0.0806331	0.017552571	0.64693034
priorregion1_spot_9	2.4755657e-08	1.9421027e-08	0.011413268	2.5899408e-07	0.44038606	0.0029409218	4.1840485e-06	0.5452553
priorregion1_spot_10	6.087352e-08	4.0307086e-08	2.9567065e-07	4.221359e-07	0.26945707	0.005992444	0.021528412	0.70302117
priorregion1_spot_11	0.0029019045	3.525749e-08	1.315424e-07	1.97679e-07	0.15920015	0.014140168	0.002522469	0.8212349
priorregion1_spot_12	1.6312973e-07	9.085487e-08	3.8147564e-07	4.095563e-06	0.29218256	0.0999078	0.02256101	0.58534396
priorregion1_spot_13	5.6113155e-08	4.44089e-08	9.2612886e-08	0.041783273	0.118729435	4.555233e-07	0.013154939	0.82633173
priorregion1_spot_14	8.623729e-08	0.0042355414	0.030192096	2.9599818e-07	0.57320577	0.011343277	0.007302706	0.37372023
priorregion1_spot_15	3.7940283e-06	5.999878e-08	4.2458637e-07	3.7117252e-07	0.22321394	4.6198764e-07	3.0817673e-06	0.7767779
priorregion1_spot_16	2.6534163e-08	2.0368594e-08	3.5098058e-08	0.002453224	0.2682715	3.551231e-07	0.009766791	0.719508
priorregion1_spot_17	2.902814e-08	3.7999882e-08	7.31549e-08	0.013248781	0.31926003	0.0032450887	0.03162578	0.6326202
priorregion1_spot_18	0.00020383412	3.3480103e-07	4.1609354e-07	0.0037038529	1.6126527e-06	1.0132904e-06	3.6904186e-07	0.9960886
priorregion1_spot_19	5.2265914e-08	3.834068e-08	1.9427273e-06	0.008607734	0.21629319	9.657909e-06	5.0045816e-07	0.77508694
priorregion1_spot_20	2.2796823e-07	0.0063843685	5.557125e-08	6.029797e-08	0.1964206	1.9745336e-07	9.8024515e-08	0.79719436
priorregion1_spot_21	0.009159394	1.4056037e-07	0.0061162324	8.3970053e-07	0.7727796	0.030925335	0.025936197	0.15508218
priorregion1_spot_22	5.027455e-08	0.00684564	3.4511285e-07	5.056994e-08	0.30544162	0.026497114	0.043423515	0.61779165
priorregion1_spot_23	0.005380035	0.0044505578	2.1099657e-07	0.05116663	0.31597355	0.08464299	0.008606162	0.52977985
priorregion1_spot_24	4.578452e-08	9.177802e-08	7.724358e-08	7.742111e-07	0.19170862	3.4177604e-06	0.010254366	0.7980325
priorregion1_spot_25	2.6320555e-08	1.4051342e-08	3.6978697e-08	5.497212e-08	0.186462	0.017740572	1.243883e-07	0.79579717
priorregion1_spot_26	1.1802725e-07	0.0027906583	8.269385e-06	0.062775776	0.0022748003	6.8118798e-06	0.06024929	0.8718943
priorregion1_spot_27	0.00018164147	3.752624e-08	5.2511663e-08	5.2794917e-08	0.1013445	5.3669584e-07	0.0026710865	0.8958021
