,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,1.6099448442459108,0.11396971009671687,0.0003102837566984817,0.010781938070431351,0.0008377964055398479,2.784828140534046e-07,5.590120849774394e-06,0.0030311442678794265
priorregion1_spot_2,3.7254518151283262,0.3518637582659721,1.6945881270657993e-06,3.0895658028384786e-06,0.14970915466547013,9.346388395670146e-07,0.001463196019176394,1.141029986229114e-06
priorregion1_spot_3,0.7036130011081696,0.000575626245699823,1.0313796439120892e-08,4.4661872777851384e-08,3.2638139941809645e-07,1.4374474632816716e-08,3.240185311170762e-08,7.061291240617607e-09
priorregion1_spot_4,3.5750069618225098,0.34104661345481874,0.010264981165528299,5.896448419662193e-06,0.9828057259321212,1.168491507996805e-05,0.00012180278426967563,6.2380209328694035e-06
priorregion1_spot_5,0.5611791908740997,0.0014239291136618703,7.182578087849835e-07,4.5201545795237055e-08,8.642322399055048e-07,2.658119754528343e-07,0.001093192578991875,5.224841648221457e-09
priorregion1_spot_6,1.5306681513786318,0.045443965867161755,2.8774404881914965e-06,1.3676968464437777e-07,0.29924100637435913,9.749487510646304e-08,5.14195153300534e-06,1.9931028077735394e-06
priorregion1_spot_7,1.7204513788223268,0.12194276377558708,1.0150726446056525e-07,2.389853420936561e-07,2.3101758301891095e-06,5.584929212432145e-08,4.98714248919896e-07,5.270970234505512e-07
priorregion1_spot_8,2.4108668327331544,0.10980573482811451,9.550249373546648e-08,4.6937207827113535e-07,1.1985738638031764e-05,5.122951336034022e-07,0.0037501155165955424,1.5107119182289354e-07
priorregion1_spot_9,1.5106128215789794,0.093208097666502,1.6900074442105507e-07,1.4596340420780506e-07,1.1517383597947628e-06,1.0976069546586588e-07,0.0002369893998547923,4.902432291231663e-08
priorregion1_spot_10,0.7458621263504028,0.024578529130667447,3.937251608476799e-06,6.517188850807543e-08,1.8830622423138266e-06,1.924979455836251e-08,3.7861620256762767e-07,5.573120454016589e-08
priorregion1_spot_11,0.8836720347404481,0.03008033959195018,3.211640002831473e-08,4.5038261298202545e-08,1.460507968431557e-06,1.7314265576828802e-08,8.109574366699235e-07,2.2749224903861893e-08
priorregion1_spot_12,2.131077492237091,0.13447467833757398,5.695021741303207e-07,0.0006100733793573454,0.20433635190129282,0.0009793372242711484,5.914524695072032e-06,3.1271992156689524e-06
