	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	6.6232303e-07	5.387935e-08	5.287882e-08	8.339326e-09	8.95361e-08	1.633515e-08	2.3699249e-08	0.9999991
priorregion1_spot_2	0.008278916	9.5831794e-08	1.6627959e-05	1.4007175e-08	0.0043275533	4.3809447e-08	2.6768666e-08	0.98737675
priorregion1_spot_3	0.07963797	7.9430855e-08	3.6940325e-08	8.904716e-09	0.04295944	3.2925985e-08	2.6732492e-08	0.87740237
priorregion1_spot_4	9.235866e-08	3.6524398e-08	6.5920545e-08	1.4831912e-08	0.038195584	3.38515e-08	2.7705639e-08	0.9618041
priorregion1_spot_5	0.12959379	0.004289984	0.022391066	0.00020941322	0.017714998	6.6251715e-08	7.476876e-08	0.8258006
priorregion1_spot_6	0.019483825	2.2604292e-08	3.3543966e-08	4.0810098e-09	1.0937802e-07	1.0473927e-08	2.8004038e-08	0.980516
priorregion1_spot_7	0.04209485	0.0011338253	4.538391e-08	4.5738943e-08	9.214774e-06	4.9823644e-08	7.146135e-08	0.9567619
priorregion1_spot_8	0.4008834	0.008059527	6.750651e-08	2.4555186e-08	1.1144939e-07	1.6867148e-08	1.5352232e-07	0.5910566
priorregion1_spot_9	0.31901675	1.4763818e-07	5.6547563e-08	1.6094088e-08	7.777637e-08	4.1034777e-08	6.273556e-08	0.6809828
priorregion1_spot_10	0.83455616	0.043658413	4.638045e-08	6.114891e-09	1.2591232e-08	1.4742516e-08	0.029027533	0.09275781
priorregion1_spot_11	5.6716765e-09	4.444089e-09	1.1393354e-08	3.094986e-09	3.114214e-08	5.322628e-09	1.3218209e-08	0.9999999
priorregion1_spot_12	0.064114384	8.091739e-08	2.385206e-08	3.2919725e-09	4.0604263e-08	6.6407506e-09	1.4747144e-08	0.9358854
priorregion1_spot_13	5.928129e-09	5.0981535e-09	1.1951745e-08	3.3631888e-09	3.347168e-08	8.42929e-09	7.1483157e-09	0.99999994
priorregion1_spot_14	0.29560468	0.026605276	5.710941e-08	1.0312807e-08	0.078015365	2.0204372e-08	3.0870968e-08	0.5997746
priorregion1_spot_15	0.36473957	0.01486872	0.01397193	1.0324266e-08	5.294827e-08	2.7490227e-08	2.9747502e-08	0.6064197
priorregion1_spot_16	0.4996705	1.3929837e-06	2.7504505e-08	8.738421e-09	3.008973e-08	4.1194042e-08	1.4790654e-08	0.5003279
priorregion1_spot_17	0.003765186	4.2615048e-07	1.7597597e-07	7.776271e-09	5.9070423e-08	1.2799996e-08	1.9696188e-08	0.99623406
priorregion1_spot_18	0.049112096	5.832944e-07	5.6711205e-08	9.147951e-09	6.8136764e-08	2.059161e-08	0.000739821	0.9501474
priorregion1_spot_19	0.12013494	2.120329e-08	3.9621877e-08	7.851652e-09	7.901476e-08	1.5389857e-08	1.5537847e-08	0.8798649
priorregion1_spot_20	0.8036502	0.09880406	0.06599678	8.596976e-08	1.2664672e-08	1.225483e-07	0.03154875	5.0237077e-09
priorregion1_spot_21	0.08474139	4.9796437e-08	4.3637588e-08	2.7324166e-08	0.016157014	0.00074799906	6.900147e-08	0.8983534
priorregion1_spot_22	1.2662325e-08	5.0817617e-09	1.9642837e-08	8.601974e-09	3.902222e-08	8.684377e-09	9.896063e-09	0.9999999
priorregion1_spot_23	5.4918137e-09	2.5283566e-09	9.762162e-09	3.792383e-09	3.647108e-08	7.87337e-09	9.670971e-09	0.99999994
priorregion1_spot_24	0.438529	0.017241605	0.030761953	3.0861273e-07	8.7911026e-08	0.002792893	2.4125793e-08	0.51067406
priorregion1_spot_25	0.546923	0.062334046	2.1389263e-07	3.7991043e-08	1.1434331e-07	9.203598e-08	6.475639e-08	0.39074242
priorregion1_spot_26	0.44186777	0.029341351	0.02943395	1.2456502e-08	5.451409e-08	0.005156494	2.9817766e-08	0.49420035
priorregion1_spot_27	0.059222538	1.0630073e-07	3.7220744e-08	9.9621325e-09	0.022004837	2.2104404e-08	5.773392e-08	0.91877234
priorregion1_spot_28	0.10286369	1.2660989e-07	5.6906416e-08	7.896401e-09	1.791632e-07	1.5108448e-08	1.7821632e-08	0.89713585
priorregion1_spot_29	0.04710935	1.2670093e-07	3.8684647e-08	8.769692e-09	9.463671e-08	2.820526e-08	3.6244753e-08	0.95289034
priorregion1_spot_30	0.08723959	1.4277103e-07	4.7817185e-08	1.098954e-08	0.023399262	4.2534122e-08	0.004409615	0.88495123
priorregion1_spot_31	0.6164877	0.047491282	0.01004133	1.2072085e-08	2.515592e-08	7.940871e-09	2.6069609e-08	0.32597977
priorregion1_spot_32	0.08486549	3.719456e-07	7.585119e-08	2.8205235e-08	5.818991e-08	2.6494373e-08	1.5992422e-08	0.91513395
priorregion1_spot_33	0.42242894	2.0840882e-07	1.9637645e-07	0.0016951588	0.25385278	2.1416026e-08	6.1881536e-08	0.32202262
priorregion1_spot_34	0.84587175	0.06578196	0.0075777923	0.0014071874	0.05832583	6.467948e-08	0.01840276	0.0026327092
priorregion1_spot_35	0.17681079	0.012474964	0.02627617	6.4580337e-09	4.9911062e-08	1.21830555e-08	1.440321e-08	0.784438
priorregion1_spot_36	6.684848e-09	7.719363e-09	1.4027526e-08	4.5678528e-09	4.3938922e-08	1.3502148e-08	1.0373755e-08	0.9999999
priorregion1_spot_37	7.76565e-09	6.319146e-09	1.7916454e-08	7.961012e-09	1.4145593e-07	9.427547e-09	1.14037855e-08	0.99999976
priorregion1_spot_38	0.78772956	0.050086588	4.283644e-07	4.5065594e-08	0.118968666	7.3785216e-08	2.306378e-08	0.043214604
priorregion1_spot_39	0.6288843	0.021066077	2.1490273e-08	9.151772e-09	5.1969e-08	8.745276e-09	1.2953258e-08	0.35004953
priorregion1_spot_40	6.672503e-09	4.3398445e-09	1.3565168e-08	3.808748e-09	3.214016e-08	5.2997207e-09	6.638514e-09	0.9999999
