,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.01157236360013485,2.7248785499978115e-05,2.0641469109250466e-05,2.0862930893898013,0.4635608226060867,6.791088651425525e-07,0.000684958032798022,1.0986910183419241e-06
priorregion1_spot_2,1.1090669829627588e-06,0.008712698379531503,3.70746082722917e-08,0.651313641667366,0.2237744078040123,2.5460791164277913e-08,1.1720349266397535e-05,0.0005023783101933077
priorregion1_spot_3,9.363376148030512e-06,7.895240960351658e-05,2.5632254255469886e-05,1.4042764961719512,0.01447684532031417,1.918426171698684e-07,0.6835189014673233,1.749267323702952e-06
priorregion1_spot_4,3.568302759049402e-07,2.838585373865499e-07,1.936169020666512e-08,0.5081740289926528,3.554240663561359e-06,6.755003738589948e-08,0.00011621093399298843,4.165139522172012e-08
priorregion1_spot_5,1.5834848727536156e-05,0.012657113233581187,5.573811108661176e-07,1.4109162986278534,0.6160291314125061,7.63711739182327e-07,0.3956671521067619,7.987992921698605e-06
priorregion1_spot_6,6.255922500031376e-07,0.0004648061090847477,2.3922116820784824e-08,0.33779292404651645,1.06792568203673e-05,4.356030629537599e-08,1.0991350352764129,1.4988114793723643e-08
priorregion1_spot_7,3.58951926671125e-07,7.337601637402714e-08,1.1888384587876999e-08,0.3864645525813103,2.7532129251994775e-06,4.9821268532923576e-08,0.00011068297790188808,3.2954670814433484e-07
priorregion1_spot_8,1.7437870792491597e-05,0.014711771439760922,5.857326442537669e-07,0.7398925065994263,0.4448294922709465,3.371204627455881e-07,0.6590215742588043,0.0010902307694777846
priorregion1_spot_9,1.129041834246891e-06,7.062951976877231e-06,3.9227329118318724e-08,1.247789031267166,2.2171833006723318e-05,7.68430680864185e-08,0.35037186890840527,1.4122329474730578e-07
priorregion1_spot_10,4.33044085639267e-06,0.0009738557331729681,3.819773453983544e-07,2.336486625671387,0.4481473878026009,1.0423021237215835e-07,0.0003787948749959469,2.8631427255731985e-07
priorregion1_spot_11,2.0804692439924112e-07,2.927540663222317e-07,1.159889664315017e-08,0.5640474438667297,1.7667275005806005e-05,1.4394950440532738e-07,0.15056836158037185,0.00021970418820274062
priorregion1_spot_12,1.1111608387182059e-06,1.0334799526390271e-06,1.4142437703412724e-05,2.532496201992035,0.00879935915581882,3.3235276077903107e-07,0.2182412840425968,0.002249754255171865
priorregion1_spot_13,1.7304321104916205e-07,3.328586171136294e-08,6.873386548811311e-09,3.4460941265024307e-06,5.958096517133527e-06,1.1124706755794023e-08,0.7134360283613205,3.946807847210465e-09
