,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.011211290722712876,0.22155337780714035,0.05363004617393016,4.149919433871219e-07,4.505808919930133e-06,1.439968599470376e-07,6.068393645364268e-08,9.207105611253043e-09
priorregion1_spot_2,0.0008646187256090344,0.482351353764534,1.5863632500171663,7.584884230027456e-07,0.03905645180493593,6.238344752773629e-07,9.551540500751799e-08,0.0008786159305600449
priorregion1_spot_3,0.03524251338094473,2.8005778312683107,1.8653960287570954,2.3356446718025837e-06,0.003338315163273364,1.8250712798817403e-06,1.9360965950454556e-06,0.0019188739359378814
priorregion1_spot_4,0.0008018241613171994,0.7119147300720216,3.602648259715125e-08,1.6577370374193378e-07,0.4223249673843384,2.8054213618844418e-08,5.576268108598016e-07,6.342694928207493e-06
priorregion1_spot_5,0.4401424050331116,1.257814121246338,2.1348206162452694,7.276517935679294e-05,0.19375216662883757,3.6324899838291463e-06,0.00014449619993683882,1.62585160069284e-05
priorregion1_spot_6,3.479548229279317e-06,1.7632249296184455e-06,1.5176908075809479,4.248613393542656e-07,0.04795827027410269,3.167040787843689e-07,0.00013958722993265838,2.5740686737663054e-07
priorregion1_spot_7,0.000986675638705492,0.9842425644397735,7.404158282042772e-08,1.0302171098430791e-07,1.4342186716476135e-06,9.202250694784199e-08,1.4695818393306589e-07,3.865355395760162e-08
priorregion1_spot_8,0.0969259012490511,0.8315912753343582,0.17426124587655067,2.1443304945023556e-07,0.13668384850025175,2.159551115710201e-07,1.0989358315782739e-06,3.746710277141575e-07
priorregion1_spot_9,0.003936440777033568,3.3008976340293885,4.289133727297667e-07,0.000713018883834593,2.8788381541744456e-06,3.549801181179646e-06,0.0003523446663166396,2.935071904630604e-06
priorregion1_spot_10,1.1097344304289437e-05,0.2957586467266083,9.041092896566742e-09,3.763853051452771e-08,4.044021281401911e-07,2.3690156591982263e-08,1.0426689955878034e-08,2.1637853642175744e-08
priorregion1_spot_11,0.019303632900118828,0.9037357091903686,1.836733877658844,4.234505490785523e-06,0.8939882218837738,7.85995831620312e-07,9.510826612313395e-06,0.00023264292613021099
priorregion1_spot_12,0.018116803839802742,2.0633792996406557,1.1901198983192443,1.4144450005915133e-06,0.5658263146877288,3.3671492928988303e-06,3.9878355693190317e-07,6.025654897712229e-06
priorregion1_spot_13,3.9751524309394884e-05,0.6753830641508103,0.1535719446837902,1.438985627544298e-07,3.2617454598948827e-05,8.647190306021457e-08,5.2659810201305396e-08,7.753858426440274e-08
priorregion1_spot_14,0.001957443979335949,1.5087571918964386,1.860091227712246e-08,1.1338369425573091e-07,2.0645989138756706e-06,2.029431172445584e-07,2.2533277572733825e-07,0.0008959551254520194
