,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.39671390503644943,5.456407416204457e-06,1.0328276758286848e-07,4.792569413325509e-07,0.5718569189310074,1.8251259348289753e-08,1.2012018624218968e-08,2.043298479748046e-07
priorregion1_spot_2,6.205118052093895e-06,2.91907489327059e-06,2.4731844746384016e-06,6.768835248749383e-07,4.580501127243042,6.94224746666805e-07,9.443777287287957e-07,3.6838067217104255e-06
priorregion1_spot_3,0.30798462182283404,0.01251014950685203,0.0025997549993917344,3.2421730679743635e-06,5.613956570625305,0.0005597361421678216,4.235121468809667e-05,0.001778268301859498
priorregion1_spot_4,0.7372358024120331,2.8539664344862108e-05,2.851616358157117e-07,2.09345263101568e-05,1.8292639255523682,1.6145520902455247e-07,3.043763157961621e-07,0.0003057127905776724
priorregion1_spot_5,5.187310580367921e-06,4.661769889935386e-06,4.4520501205624905e-06,2.406632503948458e-07,2.0893012762069705,5.496705028917859e-08,2.3427275266385553e-07,7.538079984215073e-07
priorregion1_spot_6,1.0282945694939372e-07,1.566063927427308e-08,3.057814081941502e-08,1.2805598075260606e-07,1.4711024820804597,3.410783770974037e-08,5.0274090002133686e-09,0.00015022759180283174
priorregion1_spot_7,1.0831007838249205,0.003178172314073891,1.0001912187362905e-06,2.500505718217028e-06,6.324475908279419,6.922235047568393e-06,0.009677541675046086,2.133200268872315e-05
priorregion1_spot_8,5.428534706197752e-07,2.749567457271951e-07,2.7364896748593995e-08,2.0417912978132334e-07,1.493276208639145,6.884174332810743e-08,3.608793495146756e-08,5.590684713752126e-06
priorregion1_spot_9,0.0007301410398213193,0.284043575823307,2.3351120148618068e-07,1.8617638204432298e-06,4.428023362159729,1.9495634830946078e-06,0.00048688323440728717,0.0006423073209589347
priorregion1_spot_10,1.108250695466995,0.01208771294914186,5.532941202091025e-07,7.24518392871687e-06,4.27614164352417,3.4868408874899615e-06,3.669585805710085e-06,0.0010305959032848478
priorregion1_spot_11,0.9999497443437576,0.06738984994590283,2.9163219096517423e-05,3.341417163937877e-06,4.647542953491211,3.851555879919033e-06,0.012425367906689645,0.0001239519304363057
priorregion1_spot_12,0.33761237412691114,3.039536761662021e-06,1.4353089667906717e-07,1.7935386892986572e-06,1.8941872894763947,6.219296295739696e-08,0.00012890265497844666,3.474234489431183e-07
priorregion1_spot_13,0.5907673299312591,0.009413149720057844,1.6127576031976787e-06,4.3308703243383204e-05,3.653825545310974,2.0047147927471092e-06,0.008107673935592174,0.00017214756808243693
