	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	3.5271106e-07	0.0017805861	0.9982187	8.312036e-08	5.8837532e-08	5.755047e-08	5.7680477e-08	7.25123e-08
priorregion1_spot_2	0.021766229	3.2830783e-07	0.978233	1.3158984e-07	1.0812974e-07	3.075036e-08	2.6558376e-07	1.362016e-08
priorregion1_spot_3	0.022410069	5.072206e-07	0.9653669	1.5023504e-07	0.012221963	5.9510203e-08	2.6964446e-07	3.4983096e-08
priorregion1_spot_4	8.9658975e-08	8.518189e-08	0.99999905	3.0726687e-07	3.2700154e-07	1.0669802e-07	7.5790524e-08	7.650663e-08
priorregion1_spot_5	3.026166e-07	2.0481885e-07	0.9980582	1.7841728e-07	0.0019406708	1.199442e-07	2.7152174e-07	5.5855114e-08
priorregion1_spot_6	4.5263377e-08	3.9857724e-08	0.9999997	6.73681e-08	3.7370917e-08	4.2123563e-08	3.6921197e-08	6.744685e-08
priorregion1_spot_7	1.5532568e-07	9.790887e-08	0.9999993	1.176376e-07	9.224005e-08	5.1715862e-08	7.16651e-08	1.4183831e-07
priorregion1_spot_8	0.012279735	3.0026226e-06	0.98771703	7.492051e-08	3.5358823e-08	3.546625e-08	6.128432e-08	2.2904002e-08
priorregion1_spot_9	1.5892267e-07	1.4352224e-07	0.99999774	6.127552e-07	6.792982e-07	2.564466e-07	1.9420112e-07	1.888589e-07
priorregion1_spot_10	1.68683e-07	1.461527e-07	0.9999991	1.365398e-07	7.772914e-08	1.07212166e-07	1.18224115e-07	1.5171858e-07
priorregion1_spot_11	0.01592275	0.05785452	0.9262168	1.2850468e-07	5.471365e-06	7.7955114e-08	8.001578e-08	6.492559e-08
priorregion1_spot_12	7.549327e-08	6.568842e-08	0.9999992	1.6489149e-07	1.7149843e-07	7.099537e-08	9.813637e-08	1.873727e-07
priorregion1_spot_13	0.010001554	4.5701975e-07	0.9899963	1.6673741e-07	1.0254071e-06	5.98871e-08	2.3720497e-07	4.204226e-08
priorregion1_spot_14	1.467699e-07	7.969075e-08	0.9999992	1.640464e-07	1.4026924e-07	1.5623752e-07	1.0172266e-07	7.771068e-08
priorregion1_spot_15	3.0536012e-07	0.007471101	0.9925285	6.710539e-08	2.0543995e-08	2.678614e-08	2.8724289e-08	2.1208121e-08
priorregion1_spot_16	5.9313116e-08	6.904103e-08	0.99999964	6.7623255e-08	3.9435452e-08	4.8004257e-08	4.0907366e-08	2.930659e-08
priorregion1_spot_17	9.10271e-08	8.0374136e-08	0.99999934	1.6049003e-07	5.0550447e-08	7.559235e-08	7.617978e-08	9.112846e-08
priorregion1_spot_18	0.057581782	1.0224596e-06	0.9424171	4.4218105e-08	3.4724536e-08	2.3765233e-08	3.9947086e-08	1.6148427e-08
