	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.9059482	0.090277925	9.683384e-07	1.17915535e-08	7.67241e-08	4.9411714e-08	0.0037727144	5.0067737e-08
priorregion1_spot_2	0.85008025	0.053993143	0.035166897	1.4685495e-08	0.05889274	3.2595256e-08	0.0018668189	2.7359786e-08
priorregion1_spot_3	0.8153829	0.09989878	2.1239296e-07	9.454132e-09	0.08471781	1.7441305e-08	2.4753797e-07	1.1903096e-08
priorregion1_spot_4	0.7956916	0.062178455	1.1296474e-06	1.4451191e-08	0.14123309	1.9763759e-08	0.000895522	5.0070796e-08
priorregion1_spot_5	0.799444	0.07584091	0.028458789	1.2411959e-08	0.09501257	9.32614e-08	1.7341913e-08	0.0012435833
priorregion1_spot_6	0.89168876	0.06410082	0.043838013	4.1514916e-08	2.139189e-08	0.0003722862	1.9600422e-07	2.9820946e-08
priorregion1_spot_7	0.9036806	0.09122375	4.778425e-07	9.444687e-09	9.710541e-08	1.7374001e-08	3.5879914e-08	0.005095007
priorregion1_spot_8	0.8938734	0.06135338	0.005099584	9.530075e-09	0.039673585	2.1080307e-08	5.791435e-08	9.1398825e-08
priorregion1_spot_9	0.8840662	0.11463089	8.1547495e-07	0.0013020801	1.390689e-08	1.6431937e-08	1.21227375e-08	3.810543e-09
priorregion1_spot_10	0.84146416	0.15853545	1.9699662e-07	3.1486906e-08	1.5563842e-08	7.152786e-08	5.8661456e-08	1.0577072e-08
priorregion1_spot_11	0.92188007	0.074368246	6.53457e-05	1.7604377e-08	1.4753165e-08	5.004403e-08	0.0036862732	1.1016079e-08
priorregion1_spot_12	0.8875477	0.0679812	6.8331838e-06	0.0061113713	0.03254995	0.0025754862	4.2662556e-08	0.0032274954
priorregion1_spot_13	0.8358537	0.087297454	0.0032083946	2.2025427e-08	0.05998285	0.0023139068	0.010039286	0.0013044914
priorregion1_spot_14	0.8522946	0.1262872	0.01144915	0.0071444274	1.5059864e-07	1.6305933e-08	0.0028244164	3.1255034e-08
priorregion1_spot_15	0.65690506	0.010672822	9.9826465e-08	1.247559e-08	0.31864217	1.7109008e-08	5.367967e-08	0.013779761
priorregion1_spot_16	0.8236674	0.11686838	0.056934983	1.3135346e-08	2.1736078e-08	3.7820197e-08	2.3262439e-07	0.002529023
priorregion1_spot_17	0.496182	0.07423366	0.05778782	1.8452505e-08	0.37179574	7.6397737e-07	2.869858e-08	1.5147181e-08
priorregion1_spot_18	0.79170084	0.074904814	0.030210052	5.375695e-09	0.07678893	8.432713e-09	0.015258232	0.0111371325
priorregion1_spot_19	0.93762964	0.04221897	0.014063814	2.468324e-08	0.0031714658	6.471167e-08	0.0029158634	9.51185e-09
priorregion1_spot_20	0.8710627	0.09799365	0.030942682	1.576314e-08	4.5868585e-08	9.329906e-07	1.14782575e-08	1.04798765e-08
priorregion1_spot_21	0.9084182	0.082015306	5.3177733e-05	0.0005471562	1.7189283e-08	1.1373275e-08	0.0060903346	0.0028757565
priorregion1_spot_22	0.762009	0.13791686	0.020389728	3.7592375e-08	0.07968442	2.2987175e-08	1.1897282e-08	1.721998e-08
priorregion1_spot_23	0.85617775	0.043749828	0.0045626485	1.4434601e-08	0.077002585	1.7639302e-08	0.018507103	4.548723e-08
priorregion1_spot_24	0.8944651	0.07676953	0.02105284	1.3738815e-08	1.9615916e-08	0.0058574197	0.0018549714	1.1963009e-08
priorregion1_spot_25	0.91003245	0.08466342	6.4012835e-07	0.0020695275	9.80375e-09	6.780872e-08	1.4213014e-08	0.0032338256
priorregion1_spot_26	0.66239744	0.029496068	2.1824691e-07	2.3281034e-08	0.29359272	9.977991e-09	0.0145136	1.9708901e-08
priorregion1_spot_27	0.71476614	0.0547389	1.5941854e-06	7.8815106e-09	0.21522973	1.1518123e-08	0.015263651	1.574234e-08
priorregion1_spot_28	0.8017509	0.10591356	0.07649294	2.4046898e-08	1.8605341e-08	3.576345e-07	0.015842218	4.1827564e-09
priorregion1_spot_29	0.9263101	0.045008745	0.018370714	1.1418915e-08	1.9414685e-08	1.6825021e-08	1.6209766e-08	0.010310407
priorregion1_spot_30	0.76489186	0.036280446	2.2256705e-07	5.549468e-09	0.18599798	1.3360197e-08	0.0043931445	0.008436317
priorregion1_spot_31	0.92579734	0.07027957	1.019899e-05	0.003912866	1.5384607e-08	6.9442976e-08	1.3063423e-08	2.9762885e-08
priorregion1_spot_32	0.82629687	0.13106644	0.04033845	8.331637e-05	2.0422767e-08	2.116202e-08	0.0022148928	2.5655224e-08
priorregion1_spot_33	0.86111766	0.13061778	3.4564457e-07	1.2332491e-07	3.8914397e-08	1.9201652e-08	2.8829842e-08	0.00826407
priorregion1_spot_34	0.7671719	0.073301695	2.3316775e-07	7.3570385e-09	0.15803619	1.7393218e-08	2.0899902e-08	0.0014899764
priorregion1_spot_35	0.94073147	0.049570635	0.0040756357	1.0138875e-08	1.0944896e-08	0.0017437614	8.999479e-09	0.0038784107
