	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.8887889	0.09386598	1.6287596e-07	1.0572258e-07	0.0090781655	1.0617664e-07	0.008266649	2.8828294e-08
priorregion1_spot_2	0.89360327	9.971014e-07	5.5413715e-08	9.4725635e-08	6.683624e-08	7.1521974e-08	0.10639539	1.1223978e-08
priorregion1_spot_3	0.9130274	0.0869712	6.763198e-08	7.919613e-08	9.522508e-07	1.6134517e-07	2.0235926e-07	1.6398028e-08
priorregion1_spot_4	0.6273426	0.3726572	3.8258232e-08	5.2425026e-08	2.8056904e-08	7.218741e-08	7.649684e-08	8.168287e-09
priorregion1_spot_5	0.99999756	2.3688249e-06	3.0285374e-08	2.3153495e-08	3.214258e-08	3.1319615e-08	5.6478417e-08	8.597721e-09
priorregion1_spot_6	0.6540968	0.34531868	9.796113e-08	6.8574735e-08	1.1549669e-06	7.3034634e-08	0.00058305566	2.0172562e-08
priorregion1_spot_7	0.99999565	3.1566692e-06	9.9553645e-08	8.291464e-08	6.934195e-07	7.928882e-08	2.60876e-07	1.7775193e-08
priorregion1_spot_8	0.76680374	0.031299192	4.729925e-08	1.10244365e-07	0.19942948	1.1875496e-07	0.0024672765	3.141067e-08
priorregion1_spot_9	0.69108456	0.30796522	0.0009496275	7.856504e-08	1.9983587e-07	1.0387321e-07	1.808345e-07	2.029194e-08
priorregion1_spot_10	0.8631283	0.119977005	8.935994e-08	2.367884e-07	0.011902479	0.0016711042	0.0033207585	3.469675e-08
priorregion1_spot_11	0.9658743	5.992893e-06	0.0009081907	8.1886675e-08	0.015959011	4.1645322e-08	0.01725239	1.600616e-08
priorregion1_spot_12	0.99999535	4.439077e-06	6.363923e-08	4.4641933e-08	2.6176668e-08	3.8156177e-08	4.573595e-08	7.4981e-09
priorregion1_spot_13	0.99999624	3.0972565e-06	1.0618287e-07	5.635939e-08	2.0832893e-08	3.1151075e-08	4.865767e-07	7.572441e-09
priorregion1_spot_14	0.65540093	0.34459797	6.400123e-08	9.489016e-08	7.169951e-07	7.479687e-08	1.5780363e-07	2.3077597e-08
priorregion1_spot_15	0.95073265	0.04848662	0.0007802678	5.1712213e-08	4.334442e-08	1.584599e-07	1.9863946e-07	1.3247656e-08
priorregion1_spot_16	0.89594156	5.3755584e-06	0.0005445081	8.253404e-08	0.09645396	5.9677404e-08	0.007054508	1.5877385e-08
priorregion1_spot_17	0.96028084	0.037498377	0.0022203766	1.2802032e-07	3.175696e-08	2.0347952e-07	7.237978e-08	4.0904208e-08
priorregion1_spot_18	0.9309013	0.06721253	3.6448483e-08	3.8609592e-08	5.089858e-08	3.1101328e-07	0.0018858411	1.1032534e-08
priorregion1_spot_19	0.6814091	0.31858963	9.609975e-08	9.4156945e-08	5.307838e-08	9.7157915e-08	8.344977e-07	1.9692102e-08
priorregion1_spot_20	0.9702779	4.372458e-06	1.4171862e-07	7.826583e-08	0.029717268	1.980939e-07	1.1301538e-07	9.106875e-09
priorregion1_spot_21	0.9757772	0.024222601	7.333166e-08	3.721835e-08	2.4151335e-08	9.0328555e-08	4.6169152e-08	7.8576905e-09
priorregion1_spot_22	0.9951118	0.0028463735	0.0016540792	7.006287e-08	4.1052218e-08	9.176152e-08	0.00038746095	2.1051298e-08
priorregion1_spot_23	0.9999975	2.0018233e-06	5.4594757e-08	6.2925594e-08	1.8953555e-08	7.727481e-08	2.4014653e-07	8.651067e-09
priorregion1_spot_24	0.5754115	0.42108148	1.7004587e-07	1.3328682e-07	1.0512905e-07	1.399957e-07	0.0035065112	1.9162265e-08
priorregion1_spot_25	0.99005604	0.009942327	1.5565412e-07	1.1017197e-06	6.05263e-08	2.0013304e-07	1.01586764e-07	3.4691464e-08
priorregion1_spot_26	0.8274386	0.17094155	6.1734625e-08	8.688902e-08	5.3189343e-08	8.946609e-08	0.0016196052	1.33066775e-08
priorregion1_spot_27	0.9616183	0.038381353	4.18802e-08	4.7611696e-08	4.2608903e-08	1.5703488e-07	3.009037e-08	7.987786e-09
priorregion1_spot_28	0.98080206	6.5096774e-06	0.0025033955	3.5893706e-08	2.1222444e-08	5.0605127e-08	0.016687918	7.979122e-09
priorregion1_spot_29	0.99959016	0.00040970964	2.9744253e-08	3.7602675e-08	1.1209221e-07	5.070819e-08	4.0270972e-08	1.2424406e-08
priorregion1_spot_30	0.7990692	1.9804083e-06	0.0016172067	7.0650565e-08	0.18804298	9.362495e-08	0.011268484	3.0370416e-08
priorregion1_spot_31	0.94114435	0.058855478	2.4020332e-08	4.4150916e-08	1.8130882e-08	4.0376843e-08	3.6346673e-08	3.803771e-09
priorregion1_spot_32	0.8191634	0.12825069	5.96943e-08	4.9295053e-08	0.052584957	3.2245478e-07	5.478709e-07	1.5611887e-08
priorregion1_spot_33	0.7937683	0.20622976	8.059588e-08	1.710141e-07	1.4655856e-06	9.633673e-08	1.9803787e-07	2.838215e-08
priorregion1_spot_34	0.83154577	0.08793213	5.404513e-08	1.5366227e-07	0.080521606	8.220467e-08	1.5180083e-07	2.3789218e-08
