	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.3801462	3.155824e-07	1.0238807e-07	0.08561356	0.04332883	2.3160878e-07	0.4909108	8.597449e-09
priorregion1_spot_2	0.35661352	1.2428271e-06	1.1303763e-07	0.34292397	0.10438976	7.436589e-07	0.19607064	3.149081e-08
priorregion1_spot_3	0.18564057	1.1693561e-06	1.1923364e-05	0.17552726	0.08822161	3.321279e-07	0.55059713	1.7903474e-08
priorregion1_spot_4	0.6871639	2.3366345e-06	2.9976775e-07	0.13103114	0.044533074	1.540359e-07	0.13726898	1.6790885e-08
priorregion1_spot_5	0.34165367	4.7776516e-06	1.9100864e-07	0.28556302	1.2460198e-07	2.928937e-07	0.37277785	1.7181163e-08
priorregion1_spot_6	5.4549783e-08	3.9352813e-08	5.6442204e-08	0.96671224	1.133472e-07	0.03328751	3.6984066e-08	3.0796702e-08
priorregion1_spot_7	0.59680474	1.8027554e-06	2.8143631e-07	7.048231e-08	3.3269142e-08	8.064709e-08	0.403193	1.6742234e-08
priorregion1_spot_8	0.4081626	3.009872e-07	8.199588e-08	0.08936418	2.6459455e-08	3.5595207e-08	0.5024728	8.192272e-09
priorregion1_spot_9	0.2713219	6.3365934e-07	9.030811e-08	5.2697807e-08	7.6116315e-08	7.0705276e-08	0.72867715	1.1375279e-08
priorregion1_spot_10	0.58868283	8.946066e-07	4.632814e-07	1.3016047e-07	0.18782674	1.15327836e-07	0.22348882	3.12668e-08
priorregion1_spot_11	0.70369923	9.70891e-07	1.5289227e-07	2.825824e-07	7.623664e-07	1.7462878e-07	0.29629827	6.3741275e-08
priorregion1_spot_12	0.34034464	1.6829581e-07	9.3422656e-08	6.055671e-08	2.1038705e-08	6.170404e-08	0.6596549	6.345642e-09
priorregion1_spot_13	0.6280566	2.619279e-06	2.033902e-07	0.0014085415	2.98931e-08	5.6286634e-08	0.37053198	7.546318e-09
priorregion1_spot_14	4.9364648e-05	0.091339685	1.391205e-07	0.59073144	0.26459816	0.053280137	9.405075e-07	5.206253e-08
priorregion1_spot_15	0.11282932	9.866297e-07	7.434766e-08	2.2458471e-07	0.12960969	2.5521987e-07	0.7575594	6.8705406e-09
priorregion1_spot_16	0.38000274	7.2332846e-06	2.584946e-07	0.3157674	1.6369704e-05	9.0198625e-07	0.30420512	1.8224727e-08
