,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,8.371280500796276e-07,1.6775366304955244e-06,7.1096289389061e-07,0.37990047186613085,0.00041931140585802493,9.696252277535679e-07,0.7556972861289978,1.6325005617545685e-05
priorregion1_spot_2,3.6148850813333415e-05,0.0001356658118311316,1.9217072448896037e-07,0.05140987616032362,8.556672446502489e-06,5.002433141498842e-07,1.099822771549225,6.926951044761154e-07
priorregion1_spot_3,2.5884983870128055e-06,0.0017737183021381499,9.894103634167096e-08,0.9178384870290757,0.04554343782365322,1.5540437402705723e-06,0.40291778147220614,3.0627279556938447e-06
priorregion1_spot_4,1.0518401586523397e-05,0.005887223500758409,1.832804798596044e-07,1.0054247558116913,0.027150530368089676,3.080308306380175e-05,0.012577217910438776,0.001052116835489869
priorregion1_spot_5,5.19413742949837e-06,0.00017743542484822684,2.210345201092423e-07,0.7742606848478317,0.02005911888554692,1.278492925393948e-06,0.655746003985405,2.085721882849612e-06
priorregion1_spot_6,2.6553422048891662e-05,0.006142595177516342,2.2418937390966675e-07,1.1235753953456877,0.24088146686553955,3.2327061376236095e-06,0.6405741930007934,0.0005278664262732491
priorregion1_spot_7,6.455449943132408e-06,0.004313394473865628,4.353590608019431e-08,0.11243211925029754,0.1383573517203331,1.2338352405549812e-06,0.16618398874998092,9.609390154707854e-08
priorregion1_spot_8,0.008297746209427715,1.618642381799873e-05,0.0002814336257870309,9.995920748906429e-08,0.2866968035697937,1.901934609804812e-07,1.3259971499443055,1.387899651206226e-07
priorregion1_spot_9,0.003916405374184251,0.011044403398409485,3.01494561938398e-07,0.14371210485696795,0.02137343669310212,0.001198420173022896,0.0013119828538037837,2.7676513241203793e-06
priorregion1_spot_10,1.0650940566847567e-05,1.2964595907760669e-05,1.1740803564919138e-07,0.9015645325183868,0.04464194849133491,2.6022866109087774e-06,1.2332886755466461,4.624997086466465e-06
