,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.1594649486243725,0.8105380296707153,7.199732117157967e-08,3.618674533356625e-08,0.0033146885223686692,3.8543523146472585e-07,1.5096956218485502e-07,0.1146468587219715
priorregion1_spot_2,0.4881815776228905,2.3073529243469237,7.515181408734861e-07,2.518419975672259e-07,0.0007239956263219938,6.371285621753487e-07,1.0332716158245602e-07,0.06881763599812984
priorregion1_spot_3,0.19445602744817733,1.8514208436012267,0.8519803017377854,8.127240889166387e-08,0.015646574925631287,6.279176005818954e-07,4.546538676208911e-07,0.8183229774236679
priorregion1_spot_4,0.1366086982190609,0.5494895309209824,3.4114653573169563e-07,4.470170260617579e-08,0.171044397354126,2.6807844847098753e-06,1.1797021457482517e-07,5.530649556106937e-08
priorregion1_spot_5,2.0602731466293336,6.524921941757202,2.0571536333591214e-05,2.4950452029770535e-06,0.11187756434082985,6.430339362850646e-06,2.6896543317889158e-06,0.03500190433114767
priorregion1_spot_6,0.8164542376995086,4.378456377983094,0.0005009899934520945,3.633704227468115e-06,0.00011071903209085577,4.0033941149886236e-05,1.592869097066796e-06,1.8035111608583066e-07
priorregion1_spot_7,0.2394380308687687,2.336011397838593,2.978326534730513e-07,1.5339296766114785e-07,0.16171093136072157,2.1552530142798787e-06,9.017668780586519e-08,9.876479089143686e-06
priorregion1_spot_8,0.1512287549674511,0.8264046102762223,8.985853924059484e-07,3.011685665299524e-08,1.1336994202792995e-05,2.1560690921518246e-08,8.68667160602854e-07,1.9500768910774015e-08
priorregion1_spot_9,0.5008440911769867,1.7148390650749206,0.03182550277560949,3.2849945910129466e-07,0.000949792459141463,3.1979038794816006e-07,3.953603496142933e-07,0.11344756707549095
priorregion1_spot_10,0.46921198219060894,4.251605153083801,1.078521296449253e-06,2.0598658579729093e-06,0.00021722403544117698,5.3449047641152e-07,1.2049324560337027e-07,1.0446666465213639e-06
priorregion1_spot_11,1.209025263786316,2.9944631576538083,0.0041133186779916285,0.00020992486824980008,0.00012224408637848683,6.237948866782973e-07,0.005166233773343265,0.050561817735433584
priorregion1_spot_12,0.6992292732000351,3.773776590824127,4.021943504994852e-06,0.023357535153627394,0.00136752063408494,6.66358508283338e-07,4.377972572910949e-07,8.185512433556141e-06
priorregion1_spot_13,1.3195582270622253,5.212151122093201,0.0013652672234456987,1.74714376043994e-05,1.2541002810001374,7.201994922070299e-05,5.0318749345024125e-06,3.0265378200056147e-06
priorregion1_spot_14,0.1102695994079113,1.3104642570018767,4.956448975690364e-07,6.448831757488449e-09,0.020694608427584173,2.6516900675233046e-07,4.8941796926271765e-08,1.0021455585956573
priorregion1_spot_15,1.0994201242923736,3.782671642303467,0.00022056183370295913,5.875108541886221e-07,0.0009209714567987249,6.875255451177509e-07,1.4320836589831744e-05,1.7606239964607086e-06
priorregion1_spot_16,0.9719518214464188,4.932764148712159,0.7007427603006363,5.143270954022227e-07,0.0003728622890776023,3.866850818212698e-07,4.201798424219306e-06,1.3882993698643987e-06
priorregion1_spot_17,0.12422584667801856,0.4875008821487427,0.0021681121783331037,1.0044341047787953e-08,0.00010536255722399801,2.7588928475097425e-08,5.550812378629644e-08,0.7600176721811294
priorregion1_spot_18,1.0798559844493867,5.250728249549866,0.00031691388285253196,7.257338756971877e-06,0.049255264922976494,4.448507115739631e-06,2.0040360823259108e-06,0.6448807090520859
priorregion1_spot_19,0.7488353490829468,3.3877561688423157,3.760924573725788e-05,5.348769491320127e-07,0.04322835151106119,5.572837267209252e-07,0.002919822616968304,1.3635970219638696e-07
priorregion1_spot_20,0.2839349776506424,0.8979946315288544,3.332303606384812e-07,5.4786521452854236e-08,3.3872680774038605e-06,4.357323390991042e-08,2.1512250683031198e-07,8.828448372355525e-09
priorregion1_spot_21,0.20616478845477104,1.3981765687465666,8.263258706620036e-07,3.780575799083863e-08,7.191091481217882e-06,5.299564893590515e-08,4.03510703961274e-08,1.802282461937921e-07
priorregion1_spot_22,0.024121885560452937,0.6753585964441299,7.580109659954815e-08,7.93556806932827e-09,0.043612975254654886,4.936681733624938e-07,8.050962598815659e-08,0.8890912055969238
priorregion1_spot_23,1.1728580832481386,4.536574983596802,0.09589488096535206,1.679538809185033e-06,0.000494231263292022,1.7660549360698499e-06,1.5183884897851388e-06,0.03760751336812973
priorregion1_spot_24,0.8996098846197128,2.625548577308655,3.7478671629287422e-06,5.146701539615606e-07,0.43255063444375996,0.0006990362075157464,1.1183706533302028e-06,0.10198003835976124
priorregion1_spot_25,0.48566794097423555,3.118879222869873,0.0004575352664687671,1.7639513458789227e-07,0.0022841726546175777,3.188427854183829e-07,3.423466054641722e-07,0.04149402640759945
priorregion1_spot_26,1.0513077735900878,3.924023306369781,0.15350658297538758,7.492973986700236e-06,0.0033290782244876026,2.0791842416656436e-06,4.2859059163902207e-07,0.10278949923813344
priorregion1_spot_27,0.7793723404407501,2.826968216896057,0.0007375976070761681,2.519901201480934e-07,0.17253104895353316,1.9331205976413914e-06,9.323902304458899e-07,2.362495941099496e-07
priorregion1_spot_28,0.08331138268113136,0.5004511564970017,0.00022395170090021564,3.3695542533962455e-08,0.15175437703728675,2.758811353942292e-06,5.191201722709593e-07,0.0004737615105113946
priorregion1_spot_29,0.8459270268678665,2.3571856260299686,0.0006707496620947496,0.00026676269189920273,0.062325583398342134,1.689839803020732e-06,7.904374882627963e-07,1.3100313154268405e-07
priorregion1_spot_30,2.2265905141830444,7.821384119987488,4.891825647064252e-05,0.0006768806604668499,0.32485783398151397,0.0005922488373471424,6.528121866722359e-06,0.00014863065734971315
priorregion1_spot_31,0.9939569205045701,4.041053700447082,0.0004661997430957854,1.6180710318280947e-07,3.316715410619509e-05,1.7772474407706796e-07,1.446894643208907e-07,2.56723481015797e-06
priorregion1_spot_32,0.6066041648387909,3.000464951992035,2.0571115328493764e-05,1.3926309918588231e-06,0.01980316461995244,4.02846665110701e-06,2.2578859329769333e-06,0.7375362813472748
priorregion1_spot_33,0.17264472991228103,1.9009347140789032,1.4762442731353075e-06,2.517052253097063e-05,3.0651878114440484e-05,1.507541128376033e-07,6.439530864099652e-07,5.459564818011131e-07
priorregion1_spot_34,0.47001003623008725,1.831996101140976,8.383708845940418e-05,1.2504026543069812e-07,0.29623158276081085,6.489603697446001e-06,1.5066393856955074e-07,0.02286544665694237
priorregion1_spot_35,0.3221622839570045,2.1696126103401183,3.6681045571640427e-06,1.4184563710273323e-07,5.266989064693916e-05,6.621709864873538e-08,2.1299755061932047e-07,1.463153234126935e-08
priorregion1_spot_36,0.06475658603012562,1.539022034406662,5.380131333367899e-05,8.708083285569047e-08,0.00019798409921349957,8.941283162755553e-08,4.881967356595851e-07,0.23341620564460755
priorregion1_spot_37,0.4725040227174759,1.1729637265205382,8.904411401999823e-07,1.9630964089856207e-07,1.3559396438722616e-05,2.7213765019240558e-08,1.626717427427593e-07,1.896152737046464e-08
priorregion1_spot_38,0.33038965165615086,2.3144404888153076,2.190807128954475e-06,2.826362049290765e-07,0.08926536850631236,1.7209986992838822e-06,1.1367010692708845e-07,0.4364789456129074
priorregion1_spot_39,1.0656664669513702,4.446229839324951,8.640620544611012e-05,8.560082449093898e-07,0.5415842294692993,3.529837122187018e-05,1.0658863857315738e-06,5.156256065674824e-07
priorregion1_spot_40,1.8713683724403383,5.638876366615295,1.734541665427969e-05,0.0008323593647219241,0.2647832095623016,1.4860736973787425e-05,2.1840536078343575e-06,1.1624176158875343e-05
