	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.24429044	5.0181706e-07	0.7265093	0.029199043	1.6603612e-07	5.4623195e-07	1.1982677e-07	3.136555e-08
priorregion1_spot_2	0.0067514624	1.5269767e-07	0.9932476	3.2996456e-07	7.8712084e-08	1.10192715e-07	2.0402271e-07	2.394028e-08
priorregion1_spot_3	5.1167507e-07	3.026931e-07	0.9999985	3.3395034e-07	9.733293e-08	1.2420088e-07	2.0708336e-07	3.8103906e-08
priorregion1_spot_4	0.2299951	8.4658685e-05	0.76759577	0.0023228915	3.9471817e-07	7.623888e-07	2.669672e-07	1.59565e-07
priorregion1_spot_5	4.9829686e-07	2.7535236e-07	0.9999975	9.128676e-07	2.4440413e-07	2.0498729e-07	2.7001926e-07	4.682897e-08
priorregion1_spot_6	8.4652704e-08	4.3076486e-08	0.99999946	1.0041363e-07	6.588928e-08	7.040601e-08	8.0771734e-08	1.9328466e-08
priorregion1_spot_7	0.2264418	0.014537914	0.7546864	0.0043327264	2.8468833e-07	4.5212076e-07	3.1618117e-07	6.810595e-08
priorregion1_spot_8	4.1112103e-06	4.657271e-05	0.99994826	3.9823672e-07	8.6758845e-08	1.4566885e-07	3.190659e-07	3.2147067e-08
priorregion1_spot_9	0.061259437	5.029817e-06	0.93316644	0.0030070206	0.0025596188	1.1048945e-06	1.3558144e-06	1.1553951e-07
priorregion1_spot_10	0.2137425	3.748177e-06	0.7693592	0.008470775	1.8046575e-06	6.7649944e-07	0.008421302	4.762638e-08
priorregion1_spot_11	7.733585e-07	2.2583153e-07	0.999797	3.2496416e-07	1.5777387e-07	1.996063e-07	0.00020124498	5.0691646e-08
priorregion1_spot_12	1.392435e-07	6.988345e-08	0.99999934	1.5965963e-07	5.5574965e-08	1.02823236e-07	8.712172e-08	2.636861e-08
priorregion1_spot_13	5.807604e-07	1.8052414e-07	0.9942394	1.8365712e-07	1.7815475e-07	8.1888935e-08	0.005759234	1.9163162e-08
priorregion1_spot_14	0.040162906	3.2488805e-07	0.9513656	1.5619732e-07	1.18243285e-07	7.941825e-08	0.008470797	2.1312452e-08
priorregion1_spot_15	2.8476066e-07	1.7360446e-07	0.9999987	2.9065066e-07	1.08180544e-07	1.8834987e-07	2.0217917e-07	5.6047732e-08
priorregion1_spot_16	7.81642e-06	0.0018073659	0.9981843	1.4853595e-07	8.477319e-08	1.0675703e-07	2.4248925e-07	3.3978488e-08
priorregion1_spot_17	0.11738303	6.356416e-07	0.842317	0.009194068	0.01493385	1.1456273e-06	0.01617014	1.2066555e-07
priorregion1_spot_18	3.327504e-07	2.3729812e-07	0.99999887	1.4177857e-07	8.657069e-08	1.14151696e-07	1.7573211e-07	3.4985185e-08
priorregion1_spot_19	0.13023165	2.7753518e-07	0.86634094	2.6028002e-07	1.10969204e-07	0.0034266065	1.360184e-07	6.5280716e-08
priorregion1_spot_20	0.0040530562	2.2546478e-06	0.9942401	1.6802105e-06	0.0017005141	6.704816e-07	1.6022134e-06	1.0055689e-07
priorregion1_spot_21	1.4496179e-07	7.4309405e-08	0.9999991	1.9503273e-07	1.13425024e-07	1.297457e-07	2.6603712e-07	5.279168e-08
priorregion1_spot_22	0.06820526	1.0275628e-06	0.92549235	1.0252587e-06	4.185832e-07	2.4998337e-07	0.0062994957	4.4326512e-08
priorregion1_spot_23	0.013345817	0.009223623	0.9774289	8.2795424e-07	4.4670037e-07	1.5280659e-07	1.9358245e-07	4.0959883e-08
priorregion1_spot_24	1.8444271e-07	8.8578965e-08	0.99999917	1.6434612e-07	6.249492e-08	1.0668038e-07	8.148202e-08	2.5873991e-08
priorregion1_spot_25	0.024657547	1.599483e-07	0.97534174	2.6598232e-07	7.667398e-08	9.936892e-08	1.2117083e-07	2.3566725e-08
priorregion1_spot_26	2.9598428e-07	9.610994e-08	0.9999988	3.301915e-07	8.06614e-08	1.3943621e-07	1.7196218e-07	2.161117e-08
priorregion1_spot_27	0.009927214	2.6805606e-07	0.9900719	1.9307232e-07	8.207737e-08	9.828539e-08	2.623758e-07	2.4907552e-08
priorregion1_spot_28	0.14976229	0.0052803727	0.8337628	1.0784674e-06	3.1479533e-06	3.1440413e-07	0.011189907	4.718468e-08
priorregion1_spot_29	7.260014e-07	0.009010863	0.9909875	2.1872088e-07	1.9835524e-07	1.3245462e-07	3.732772e-07	4.1205208e-08
priorregion1_spot_30	1.0051031e-07	4.1945505e-08	0.9999995	9.2611636e-08	5.2712352e-08	7.508008e-08	8.4071694e-08	2.2466795e-08
priorregion1_spot_31	5.0606036e-07	1.6318663e-07	0.9985098	2.3997785e-07	9.084132e-08	8.154082e-08	0.0014891267	2.4621931e-08
priorregion1_spot_32	1.17188826e-07	8.41049e-08	0.99999934	9.9208904e-08	6.49233e-08	6.298713e-08	9.7161156e-08	1.9034745e-08
priorregion1_spot_33	0.031282626	2.3940422e-07	0.9687164	4.774264e-07	7.559795e-08	1.0948746e-07	9.4710735e-08	3.153213e-08
priorregion1_spot_34	0.012916976	2.1347937e-07	0.987082	3.3649025e-07	1.1018486e-07	2.8995578e-07	1.18606145e-07	3.3944595e-08
priorregion1_spot_35	0.047708225	2.5053478e-06	0.9518974	0.00038145605	9.307227e-06	4.125812e-07	5.1619327e-07	8.656247e-08
priorregion1_spot_36	1.0301379e-06	0.0018627341	0.9981355	3.0965765e-07	1.1737646e-07	1.3097375e-07	2.6170585e-07	4.3583366e-08
priorregion1_spot_37	1.864889e-07	1.526886e-07	0.99999857	3.4302266e-07	3.6535195e-07	1.6229518e-07	1.8806428e-07	4.1632568e-08
priorregion1_spot_38	0.025213499	6.193705e-07	0.9747831	1.2445598e-06	2.4527066e-07	3.7099193e-07	7.599805e-07	5.210057e-08
priorregion1_spot_39	5.5827985e-07	1.4766806e-07	0.99999696	9.4319313e-07	2.441906e-07	1.9697733e-07	9.944547e-07	4.2149125e-08
priorregion1_spot_40	2.561607e-06	3.1674014e-07	0.9999961	3.0495764e-07	1.5568939e-07	1.416449e-07	2.794205e-07	5.1484218e-08
priorregion1_spot_41	5.7036114e-06	0.0037392753	0.9962541	3.4052437e-07	1.225051e-07	1.4448581e-07	2.3827903e-07	4.3329575e-08
priorregion1_spot_42	0.014609777	0.014286908	0.9496246	5.3170055e-07	0.021477921	1.3146452e-07	1.2791936e-07	5.6283625e-08
priorregion1_spot_43	5.325337e-07	7.147072e-08	0.99999905	1.2583463e-07	5.6822262e-08	6.81255e-08	9.808004e-08	2.33081e-08
priorregion1_spot_44	0.08938488	7.304261e-07	0.9095745	0.0010382215	4.6004908e-07	5.942189e-07	5.747361e-07	9.9277784e-08
priorregion1_spot_45	5.811272e-07	2.8212528e-06	0.99999505	4.467937e-07	3.4482704e-07	3.002697e-07	4.4325262e-07	5.1603735e-08
priorregion1_spot_46	1.1312612e-07	5.1638406e-08	0.9999992	2.0578895e-07	6.00256e-08	6.689825e-08	1.4440535e-07	2.0711978e-08
priorregion1_spot_47	0.02806854	2.018526e-06	0.97192883	2.286287e-07	6.269778e-08	9.888378e-08	1.4383487e-07	1.7841263e-08
priorregion1_spot_48	1.0392492e-07	1.0536877e-07	0.99999934	1.11324894e-07	8.286666e-08	1.01113265e-07	1.7046042e-07	2.9506849e-08
priorregion1_spot_49	0.026685959	0.0032863233	0.94079816	8.189825e-07	0.02383213	2.5185537e-07	0.005396339	4.1478355e-08
priorregion1_spot_50	0.032757	3.7382986e-07	0.96724033	1.1538234e-06	1.7353626e-07	5.534023e-07	3.3249995e-07	4.5806125e-08
priorregion1_spot_51	5.485277e-08	2.6664502e-08	0.99999964	9.1237325e-08	3.7936765e-08	5.1867193e-08	7.35075e-08	1.4704226e-08
priorregion1_spot_52	0.030169811	0.0024239274	0.96740574	1.5061411e-07	9.395158e-08	1.7618413e-07	9.910241e-08	2.9593563e-08
priorregion1_spot_53	0.0016979128	3.2956032e-07	0.9983	3.5209683e-07	1.8362077e-07	2.255673e-07	9.297756e-07	5.1512416e-08
priorregion1_spot_54	0.60896945	1.4179691e-06	0.3134029	0.077625565	1.8258986e-07	2.9771633e-07	1.509851e-07	7.001269e-08
priorregion1_spot_55	0.07247115	1.4067919e-06	0.9275261	6.846636e-07	1.6349131e-07	2.3032736e-07	1.7521252e-07	4.190898e-08
priorregion1_spot_56	0.06532397	1.2119219e-06	0.9145197	6.0395627e-07	2.239533e-06	1.9256392e-07	0.020152014	5.8558904e-08
priorregion1_spot_57	6.940598e-07	0.001290494	0.9987076	4.5268214e-07	1.5504945e-07	1.7579296e-07	3.5428724e-07	5.770084e-08
priorregion1_spot_58	0.005859927	0.0034343416	0.9907042	4.0570862e-07	1.7993496e-07	2.5164334e-07	5.281859e-07	5.1814368e-08
priorregion1_spot_59	4.7316556e-07	0.00012952817	0.99986935	2.0169047e-07	7.702405e-08	9.3107666e-08	1.7433081e-07	2.7492122e-08
priorregion1_spot_60	0.06948731	1.6428403e-06	0.9245196	0.0059781894	2.1934586e-06	9.3350377e-07	9.904793e-06	1.2210103e-07
priorregion1_spot_61	0.094848916	7.7488386e-07	0.89709294	1.5028492e-06	6.043203e-07	3.439736e-07	0.008054871	5.6800967e-08
priorregion1_spot_62	0.017675838	8.251662e-06	0.9823147	5.194958e-07	2.0322668e-07	2.2498749e-07	2.8084764e-07	5.764187e-08
priorregion1_spot_63	5.5313052e-08	3.455472e-08	0.99999964	9.260643e-08	3.1215627e-08	5.3035148e-08	6.667254e-08	1.5319474e-08
priorregion1_spot_64	0.03328221	0.0070319683	0.95968413	3.1290176e-07	1.0259234e-07	1.5605711e-07	1.1565679e-06	2.7923871e-08
priorregion1_spot_65	5.8654155e-07	1.0821464e-06	0.9999975	3.001136e-07	1.15503255e-07	2.067081e-07	2.3562643e-07	5.7193084e-08
priorregion1_spot_66	3.1839056e-07	9.690422e-08	0.99999875	2.3897937e-07	1.07094856e-07	2.316055e-07	1.6203741e-07	3.323149e-08
priorregion1_spot_67	0.1060333	0.004018958	0.88768464	0.0016112546	0.0006503559	1.1258752e-06	3.0242103e-07	6.066519e-08
priorregion1_spot_68	9.9563964e-05	0.0014995141	0.9984004	1.6930896e-07	8.7922935e-08	1.1714433e-07	1.13537816e-07	3.606647e-08
priorregion1_spot_69	2.5094943e-07	1.7972694e-07	0.9999989	2.7912992e-07	1.1502177e-07	1.2412282e-07	1.4084645e-07	2.9499837e-08
priorregion1_spot_70	0.024657747	4.533413e-07	0.97533894	1.2350309e-06	9.70703e-07	3.1824777e-07	2.2117274e-07	6.0157795e-08
priorregion1_spot_71	1.545139e-07	7.495971e-08	0.99999934	1.8440937e-07	4.40937e-08	7.1465756e-08	6.183297e-08	2.1685707e-08
priorregion1_spot_72	3.6578095e-07	1.3100839e-07	0.9999988	1.8655585e-07	1.1814635e-07	1.3089387e-07	1.8158781e-07	5.190741e-08
priorregion1_spot_73	1.5981091e-07	1.7132936e-07	0.9999992	1.3014748e-07	9.211127e-08	9.1288456e-08	1.0935018e-07	2.5671753e-08
priorregion1_spot_74	0.02682685	6.3822085e-07	0.97317135	6.774967e-07	9.7118495e-08	1.3220821e-07	2.97176e-07	2.9363473e-08
priorregion1_spot_75	0.06167138	1.616134e-06	0.93832564	4.7429026e-07	1.8711845e-07	2.3163301e-07	3.5332667e-07	7.061632e-08
priorregion1_spot_76	1.8425848e-06	4.500502e-07	0.99999696	2.3938995e-07	1.038397e-07	1.8107053e-07	1.5875445e-07	3.659739e-08
priorregion1_spot_77	0.099563986	4.864496e-07	0.8850711	4.66482e-07	6.9814274e-07	1.4087696e-07	0.01536309	2.6635258e-08
priorregion1_spot_78	0.019815264	9.634842e-07	0.98018044	2.2711984e-06	6.4293545e-07	2.0788131e-07	1.2016226e-07	6.037953e-08
priorregion1_spot_79	0.018047556	3.3752448e-07	0.98195153	2.9304672e-07	1.0985549e-07	1.00934244e-07	1.1658219e-07	4.467712e-08
priorregion1_spot_80	1.7996598e-07	1.250351e-07	0.99999934	1.2301143e-07	9.990369e-08	1.0838003e-07	1.4272398e-07	2.9291481e-08
priorregion1_spot_81	0.045359842	0.0019063903	0.952733	2.1549454e-07	1.4801158e-07	1.4457947e-07	1.4135576e-07	3.871964e-08
