,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,7.742463253634923e-07,5.186279196323086e-07,1.1335137699575172e-07,0.00013411620966508053,0.991588106751442,1.0440992772579192,4.822255846193003e-07,1.5491328440475629e-06
priorregion1_spot_2,1.448928010461259e-07,1.29456184083665e-07,1.174636485856695e-08,2.551082388890791e-07,0.5287768930196762,0.03274818938225508,9.036745041157702e-08,1.5881241637316638e-07
priorregion1_spot_3,8.80007601011812e-08,1.3617404803767386e-07,1.0518114468283105e-08,3.55955156905452e-08,0.5768706053495407,0.11242135167121887,1.1870644300415734e-06,8.071493948591525e-06
priorregion1_spot_4,3.346810501625441e-07,2.197291337324714e-07,3.389720699686905e-08,4.7054132181756356e-07,2.1943432092666626,0.646073904633522,0.00025794171961024404,2.6782256441038046e-06
priorregion1_spot_5,9.135410837188829e-05,6.127676060714293e-05,2.4209066573632754e-08,4.700606837104715e-06,3.1460814595222475,0.03523172624409199,4.0634078857237915e-07,0.0055384249193593865
priorregion1_spot_6,7.668625983114908e-07,4.6521355869799666e-07,1.152641637247598e-07,3.5530735260635997e-07,2.219098651409149,0.5490560501813888,5.011951088818023e-07,8.284855709916884e-07
priorregion1_spot_7,1.3308770974163056e-07,1.6910416817950137e-07,9.072339750559877e-08,9.901132962397696e-08,0.12411574721336364,0.34502702206373215,1.503835598271053e-07,2.1769340960986485e-07
priorregion1_spot_8,6.147509878928759e-07,3.5072512076794733e-07,3.0420707464173804e-08,5.136061844268624e-07,1.6797379732131958,1.0913238167762758,1.0996873101021265e-07,4.5620337374430164e-07
priorregion1_spot_9,9.474096138717415e-08,2.427769572932448e-07,7.677311941733934e-09,4.383637257632246e-08,0.30867825746536254,0.2732865959405899,3.0157872110692095e-08,3.473202454529201e-08
priorregion1_spot_10,2.0313774058422497e-07,1.1420479140156203e-07,5.224750747601092e-08,5.545494985881306e-07,2.317853677272797,1.328110086917877,4.35558901301647e-07,4.023406290798448e-06
priorregion1_spot_11,4.322655769328776e-07,4.1045068002176775e-07,4.5339185916759564e-08,5.920888526134149e-07,0.8359016686677933,0.7663944512605667,8.208608335280587e-08,3.140119332556424e-07
priorregion1_spot_12,2.8173663054076316e-06,3.972038502979558e-05,2.8139089902623485e-08,2.4241303080430044e-07,1.4405501067638398,0.9540897101163864,0.005787080968730152,3.2032131571213543e-06
priorregion1_spot_13,3.610332058201493e-07,3.6431365856515186e-06,6.622939920930549e-08,6.359867157357258e-08,2.5141469717025755,0.0002842701898771338,9.336063612863656e-06,2.257564456158434e-05
priorregion1_spot_14,4.797984070137318e-06,2.0763168322446295e-06,1.9983582006943833e-07,5.1899447271352985e-06,2.595202851295471,0.8040646433830262,4.0067093686957377e-05,0.0005046489008236676
priorregion1_spot_15,7.458898664935987e-07,4.281019442942125e-07,1.6891899878856975e-08,1.518037159087271e-07,0.9691491603851319,1.2694898307323454,1.2909916762282593e-07,8.848089237289969e-06
priorregion1_spot_16,1.5490218800096048e-06,2.1580386260211526e-06,1.368460999628951e-06,1.5104681892808004e-06,1.0112456202507019,0.24018493145704267,9.204782145388892e-08,1.626325257575445e-07
priorregion1_spot_17,0.040509605780243874,0.00019532611113390886,3.0510586412901835e-08,1.1737907641418134e-07,0.7531751185655594,0.22156651541590688,0.12190123796463012,3.13215154790214e-07
priorregion1_spot_18,7.09170399204595e-05,1.1170427342221957e-06,6.077645249291664e-08,9.766565256086324e-07,1.750424826145172,1.2298385322093963,3.87098924647944e-07,7.727430202066899e-05
priorregion1_spot_19,8.835703475540413e-08,1.7665176343939493e-07,1.1047429193666858e-08,6.358376140269685e-07,0.47439350187778473,0.477061553299427,2.1736115840553794e-08,0.00013137934656697324
priorregion1_spot_20,1.1821306600268144e-07,8.38278833015238e-08,1.4286095106896825e-08,4.266587563250823e-08,0.7776555836200714,0.8722939640283585,1.5927629775092101e-07,6.524276017216835e-07
priorregion1_spot_21,5.684916516202066e-07,8.623060949730645e-07,5.28641866281987e-08,3.795694669861405e-06,2.074513006210327,1.1994865536689758,2.401178983291175e-06,2.5857959712993764e-06
priorregion1_spot_22,1.2571276465678239e-05,3.893823213729775e-06,4.512501963205295e-08,5.055637279838266e-06,1.5405679643154144,0.9377037554979325,8.251899828337627e-07,1.3638240432101159e-06
priorregion1_spot_23,1.7536811895979552e-07,1.9729878246721456e-07,3.74844528749918e-08,9.293763874040905e-08,1.3149308025836945,0.12813968434929848,0.0011243017041124403,0.00036775413173018023
priorregion1_spot_24,3.348067650676967e-07,4.592649190726661e-07,4.085264571074276e-08,6.075341246969402e-07,2.201491904258728,1.6387355387210845,6.161786217262488e-07,3.092179508712434e-06
priorregion1_spot_25,5.276861315905992e-07,2.0416299690850794e-07,4.067376355720854e-08,0.00035041351220570504,1.3628976106643678,1.0919302046298982,3.464127019014996e-07,0.0015923038183245808
priorregion1_spot_26,1.249355045729317e-06,1.5431214421823827e-06,9.088670651635767e-08,0.0003017004215507768,2.056542181968689,1.0109257757663728,1.0586725920802564e-06,1.8616620036482345e-05
priorregion1_spot_27,5.544458730355472e-07,2.8956731341622803e-07,1.1687345597977128e-07,2.2220792814664494e-07,2.0063042998313905,0.0998165089637041,1.404425248097141e-07,1.27590992065052e-06
priorregion1_spot_28,5.597853515837414e-07,4.33305331171141e-07,4.907023711808734e-08,0.0017994981724768877,0.9744428068399429,0.8917366623878479,3.46684674923381e-07,1.876308836301632e-07
priorregion1_spot_29,6.328560004931206e-07,3.7304728977005653e-07,7.975522215986075e-08,7.592639158247038e-05,1.8151360690593719,0.9603585451841354,6.959186180210964e-07,9.625309985494822e-07
priorregion1_spot_30,2.4225791364074215e-07,2.746742239878586e-07,9.514614918160192e-09,7.24358404369241e-08,0.15209145247936248,0.6351567149162293,4.671484052920505e-08,2.2860241433164674e-08
priorregion1_spot_31,3.487277062674821e-08,1.1754953916920386e-07,4.021041077884036e-09,4.847555556963812e-09,0.6406835228204727,9.543218766339123e-06,1.3163160828000287e-08,7.737548806119322e-08
priorregion1_spot_32,1.912614145282987e-07,3.315743896337153e-07,1.608522914864352e-08,7.527448140365323e-08,0.20476895198225975,0.6936423301696777,4.406144356039477e-08,4.256893024745523e-08
priorregion1_spot_33,6.285174265485695e-08,4.8926205664656675e-08,4.481809767753475e-09,1.2070791584051223e-07,0.23735258877277376,0.02787070693448186,2.9563976600144315e-08,3.022765353577484e-08
priorregion1_spot_34,1.7968954921343539e-06,8.212357698766936e-07,4.250558891527591e-08,1.627016143856963e-06,3.2386597752571107,0.3842149257659912,1.3651950837356707e-06,0.0001038407106534578
priorregion1_spot_35,3.376833703327975e-07,3.7925310891750996e-07,8.563842079922779e-08,2.5432773895772698e-06,1.5719470024108886,0.8747478634119034,1.759156418756902e-07,0.0002632448420627043
priorregion1_spot_36,4.580341828841484e-06,4.21625202307041e-06,8.107512883270829e-08,0.001427155762212351,0.9101572960615159,0.8909907311201096,7.938063149026676e-08,2.635302834619324e-07
priorregion1_spot_37,0.022354795504361393,1.5847347094677387e-05,8.723420137357607e-07,8.228868719015737e-05,0.42306315749883655,0.8281960010528564,0.09367358312010765,0.003293356113135815
priorregion1_spot_38,1.03981085999294e-06,6.569546428636386e-07,3.38051943060691e-07,1.798319881345378e-05,1.402806109189987,1.3730548322200775,5.916988015997049e-06,0.0004725675375084393
priorregion1_spot_39,3.3563683246029544e-07,4.901383874766907e-07,2.5922466040384508e-08,2.088531296351448e-07,2.1258179545402527,0.28680156022310255,1.2107752013434948e-06,2.8531732914416354e-05
priorregion1_spot_40,0.0004577291663736105,7.144765618249949e-06,2.2867004361160071e-07,8.097697464108933e-05,5.063418006896973,0.5203788071870804,1.1160957183165011e-05,0.007160581462085247
priorregion1_spot_41,3.6998140195976256e-08,4.524699388497311e-08,1.7117082473649958e-09,3.56414491253787e-09,0.3001107037067413,1.534002365133347e-06,7.132844914714554e-09,4.475512334067844e-08
priorregion1_spot_42,3.809462086223903e-07,2.3171822363110548e-07,1.728100684772471e-08,2.6986123771166607e-07,2.592251253128052,0.34855451285839084,3.212422598153353e-07,1.9954358776885785e-06
priorregion1_spot_43,2.6683905048230374e-06,4.5869751232885395e-07,5.662600823796993e-08,0.0009542308369418607,0.7538755804300308,1.503021478652954,3.6338514064482297e-07,6.29061733548042e-07
priorregion1_spot_44,6.157768657431007e-05,0.0026662942371331157,7.583146199863222e-08,4.5158073049833545e-07,2.891032254695892,0.34836716651916505,1.8603526996230358e-06,0.0018267766747158021
priorregion1_spot_45,9.093792016301449e-07,2.376886250488042e-07,3.598828527628939e-07,0.00010092328011523932,2.606157875061035,0.7902756869792938,1.4338104449507228e-06,5.5096237520047e-05
priorregion1_spot_46,1.961636246505805e-06,6.652632237091895e-07,3.84382498452851e-07,2.5198351750077565e-06,1.938455021381378,0.6095558911561966,4.996095412934665e-07,0.001222310500452295
priorregion1_spot_47,1.7144036661420615e-07,2.1655537807419026e-07,7.048402683729193e-09,5.744796993667478e-08,0.8221380442380904,0.4362966313958168,4.4384760222726526e-08,7.152315788516716e-08
priorregion1_spot_48,4.571510075379593e-07,6.869335379633413e-07,9.696431817474149e-08,2.6296670966985406e-05,1.2330237329006195,0.3037908777594566,5.89456290001067e-08,2.9457630432716544e-07
priorregion1_spot_49,2.3233059138760835e-07,4.962712580436346e-07,2.9230768205934512e-08,1.8787823350407964e-07,0.8862284153699874,0.2701589733362198,3.806220684055007e-05,0.001667764357989654
priorregion1_spot_50,9.046505255128069e-07,2.4141341214090063e-06,2.5905981027030128e-09,2.2543372502070728e-08,0.1357026681303978,0.5925402134656906,3.892656437187725e-08,2.5395089142676855e-08
priorregion1_spot_51,5.280434879750829e-06,2.1850853727301e-06,3.23923718781316e-07,6.931717416591709e-06,2.9073105573654177,0.8025129914283753,4.4146461505079055e-06,1.2956749287695858e-06
priorregion1_spot_52,6.929184792170418e-07,4.125626404061222e-07,7.510287964862528e-08,0.0001178565034933854,2.2665087938308712,1.1394648909568788,2.5186869123672295e-07,1.0432436738483375e-06
priorregion1_spot_53,1.4518919684292085e-07,2.9419177849376865e-06,7.141827818024638e-09,3.9294562448333184e-08,1.0753637731075285,4.162273253314197e-05,3.898921604559291e-05,5.6031290895930406e-08
priorregion1_spot_54,5.76490182879752e-07,3.071726141001818e-07,7.4788717085994e-08,4.598294992774754e-07,2.0217564702033997,0.5251944273710251,2.49708405419824e-07,2.6803597734215144e-06
priorregion1_spot_55,1.22713749419745e-06,5.6875582231441525e-06,5.762773920281461e-08,3.631046709529073e-07,0.7589766651391984,1.8167903244495394,0.006171813537366688,0.0039914205437526105
priorregion1_spot_56,3.411528923606966e-05,1.3467561802826822e-05,8.105303983541035e-08,0.00014964720976422542,1.226924365758896,1.352621078491211,4.024229028232184e-07,5.1519083717721516e-05
priorregion1_spot_57,8.41140123952755e-07,5.612095236529059e-07,4.495903365153709e-08,6.0735071201634134e-05,1.728151547908783,0.7352295517921448,1.5078750129760012e-05,1.1855342290800763e-05
priorregion1_spot_58,1.1683910621229643e-07,9.413919457301745e-08,1.3399516474166263e-08,1.2279336907283781e-07,0.8933717370033264,0.24183600693941118,1.28471109661632e-07,6.0338586808939e-05
priorregion1_spot_59,5.011192698134438e-07,1.8338015905783323e-07,6.18657484352525e-08,1.0666550110727259e-06,2.101046359539032,0.7931440562009812,6.114748885011068e-07,2.2564803657587618e-05
priorregion1_spot_60,3.902548610312806e-06,1.2794491169643153e-06,9.23598250324176e-08,2.391986561178783e-06,2.4195139646530155,1.051155287027359,3.971182493955894e-07,3.866632209792442e-06
priorregion1_spot_61,5.39786350373106e-07,3.4055212125849723e-07,4.70788764417307e-08,1.9704688227761838e-07,1.4180546879768372,0.6597009807825088,2.0336701567202908e-07,0.0002389368681178894
priorregion1_spot_62,7.861803823061564e-07,2.1147635251850263e-07,1.5827692356751304e-08,8.411537091888022e-05,0.28003534525632856,1.003861838579178,3.8307717744601186e-07,1.5136289448491878e-07
priorregion1_spot_63,4.2304144329818885e-07,3.245089857273342e-07,1.1142179445755575e-07,6.295398839029076e-06,1.2636562168598173,0.7839277923107147,8.781593088258433e-08,3.744106311387441e-06
priorregion1_spot_64,1.0381557842720212e-06,2.614282959712e-06,5.067626158705707e-08,1.0091325702887843e-05,1.310595154762268,1.5554868876934052,7.450879053294556e-07,2.5363241434206427e-06
priorregion1_spot_65,4.653399674481307e-08,5.049670885881596e-08,9.00151055915899e-09,8.343233703911324e-09,0.14111962616443635,0.23314967676997184,3.112851736375433e-08,1.1693521628330928e-06
priorregion1_spot_66,4.6554707182622225e-07,2.4735797126140825e-07,1.0620217416601463e-07,2.313609718385124e-06,2.4645215749740603,0.9616877675056458,9.436198297407827e-07,0.0017366272863000632
priorregion1_spot_67,1.2022932729394143e-07,1.0018605642869716e-07,4.957555610474174e-09,7.184977128815717e-08,0.057362128794193265,0.14617953598499298,3.6521390178734234e-08,5.376861889061502e-08
priorregion1_spot_68,1.515538792773441e-06,2.152981508629637e-07,7.305223235221092e-08,5.277591640151513e-06,1.396718293428421,0.8921025902032852,2.703651958313458e-07,2.374307285890609e-07
priorregion1_spot_69,5.109119683766039e-07,3.1049497408730534e-07,1.0213324763697074e-08,3.098445056082255e-08,0.8218885302543639,0.3020222783088684,1.5238353370250482e-07,2.9263145279401224e-06
priorregion1_spot_70,3.3958183820459453e-07,1.0586778785182107e-06,4.382991232176892e-08,4.736801588478557e-06,0.8964447438716888,0.792302605509758,6.900023308276104e-08,1.0437604260005174e-06
priorregion1_spot_71,4.679365332549423e-07,1.1944851110001764e-06,8.484450901846686e-08,4.279678273633181e-06,0.29388243108987805,1.5545334339141845,0.008702136250212789,0.0002418100215436425
priorregion1_spot_72,0.000341970931913238,0.007693413156084716,4.9490008002806006e-08,2.4962452442878203e-07,0.9887797981500626,0.6850401312112808,1.3092430890537797e-07,4.652250231629295e-06
priorregion1_spot_73,1.7447388316327307e-07,1.0471160258873625e-07,1.3742767679403302e-08,3.7345447445602535e-08,0.7120472580194473,1.1754704415798187,7.315410357477959e-08,2.9979987488104597e-07
priorregion1_spot_74,3.5849849382429966e-06,0.0193534561432898,3.342768124525719e-08,1.8533129969000582e-05,0.5002697318792343,1.1807713925838472,3.6533009364347894e-07,0.0016602253599558026
priorregion1_spot_75,1.1888455310327119e-05,2.038157908827998e-05,5.002668885367712e-07,5.68090417800704e-06,1.2039005994796752,0.7068796455860138,2.0290510320819522e-07,0.0008717876829905436
priorregion1_spot_76,4.4833082597506295e-07,3.5863648122358433e-07,5.6652549140778785e-08,1.0208046978732456e-05,0.6134348809719086,1.3041177809238436,0.006983901676721872,0.0019506145326886326
priorregion1_spot_77,1.3994807375183884e-07,2.004362379182112e-07,2.0911548315183385e-08,9.032511734119453e-08,1.9096968710422515,0.1386902928352356,5.384501378102869e-06,1.4052833492428362e-07
priorregion1_spot_78,3.9861674139274333e-07,2.0280609192013801e-07,5.97298109639155e-08,9.188184922095389e-05,1.354046070575714,0.9072968423366548,8.37949596643739e-07,3.6937480558663083e-06
