,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.20376516282558443,2.1461088061332703,1.072296118736267,2.740106965575251e-05,0.11475890576839448,1.9465304255485534,1.280532401324308e-05,2.03997126845934e-05
priorregion1_spot_2,0.17115549221634865,2.1919039368629454,0.554034560918808,8.333457662956789e-06,0.32213688790798184,1.0963729083538056,0.010457011684775353,1.70314355273149e-05
priorregion1_spot_3,0.05933461170643568,0.6512376487255096,1.1501743733882903,5.03250552341683e-08,0.004508023569360376,0.3371047332882881,8.348524751511377e-08,1.935980412781646e-06
priorregion1_spot_4,0.0005172179749934003,0.31046928018331527,0.7156258642673493,1.8064938345219163e-08,0.00015003179651102984,4.074767332440388e-07,1.190771032888449e-08,1.848839019658044e-08
priorregion1_spot_5,0.19218354746699332,1.765953320264816,0.27212900519371036,0.0004820546586415731,0.05315372366458178,1.4725760936737062,1.3372749390327955e-05,1.0362864145463392e-06
priorregion1_spot_6,1.1389482870072244e-05,2.218746573134922e-07,0.37172648757696153,6.693183340900077e-09,0.12661979719996452,0.08295999392867089,3.222004441028048e-08,2.0424793092388427e-07
priorregion1_spot_7,0.720815795660019,3.9084394097328183,0.050284660793840884,6.887901872687507e-05,8.469252725262778e-06,0.9456703901290894,5.051594712313091e-06,4.646720626055867e-08
priorregion1_spot_8,0.013467615097761154,0.905048543214798,2.4864480376243594,3.0133212636229704e-08,0.002239294012542814,2.897742058394215e-06,2.058352961853416e-07,8.819718942731925e-07
priorregion1_spot_9,0.438115169107914,1.010718649625778,0.0012871987768448888,0.010465298499912025,0.49885415136814115,1.2768498241901398,2.1411689658634712e-06,1.3336145343600947e-07
priorregion1_spot_10,0.012084018252789975,0.11186829879879952,1.7106763184070588,9.626744770230291e-08,0.01648821048438549,0.5162500560283662,0.0009930668340530247,3.6133689377493284e-06
priorregion1_spot_11,0.1531926929950714,1.1141234278678895,0.10857909172773361,1.8148240769733093e-06,1.4204980288923252e-05,1.1873435378074646,1.0311317339528614e-06,1.4286494609550007e-08
priorregion1_spot_12,0.09810336045920848,2.146707832813263,1.542821431159973,2.4839134539433872e-06,0.03595371935516596,0.44564894437789915,9.833066940245772e-07,6.57197929854192e-07
priorregion1_spot_13,0.02929067965596914,0.39297495931386944,0.6341961771249771,4.601526910619214e-07,0.000600302268867381,0.27177500128746035,0.007799452962353825,2.8899107462621037e-07
priorregion1_spot_14,0.09372083693742753,0.202554415166378,2.1777227878570558,6.540739286720055e-06,0.24172987639904023,0.7099473387002945,8.936563062889037e-07,0.002698851237073541
priorregion1_spot_15,0.04767573568969965,0.0978393729776144,0.1818741612136364,3.5690154760459335e-07,7.243065665534232e-05,0.3986697778105736,4.7370361855314513e-08,1.179177070298465e-05
priorregion1_spot_16,0.011053986195474864,1.5336281538009644,0.2370175391435623,2.638144948718946e-07,1.342424247923191e-05,1.7876159654406367e-05,0.00027759035729104655,1.0505357250778502e-08
