	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	7.1643896e-08	4.7739835e-08	0.9999996	6.633876e-08	5.9241938e-08	9.5627485e-08	7.252976e-08	2.8122859e-08
priorregion1_spot_2	0.4224483	0.26129848	0.2900239	0.02622636	6.770373e-07	1.2248053e-06	9.634979e-07	7.648366e-08
priorregion1_spot_3	1.4928622e-07	2.0416337e-07	0.9999991	1.7297226e-07	1.2554446e-07	1.1684095e-07	1.3334493e-07	3.0032297e-08
priorregion1_spot_4	0.07759437	0.31983784	0.6025673	2.0747393e-07	5.9155006e-08	8.019261e-08	1.5623309e-07	1.4784457e-08
priorregion1_spot_5	4.985963e-05	0.0003473052	0.9996012	6.241764e-07	1.8275645e-07	2.1052047e-07	5.4973515e-07	5.564071e-08
priorregion1_spot_6	0.08042114	0.12320438	0.78915626	0.00029782453	5.2036495e-07	2.1556443e-06	0.0069176145	5.4571107e-08
priorregion1_spot_7	0.17199211	0.09900704	0.7187698	0.0029202003	6.009327e-07	9.63805e-07	0.007309304	4.9102812e-08
priorregion1_spot_8	0.0038299072	7.4053173e-07	0.9961684	3.9359105e-07	1.1791927e-07	1.5050946e-07	2.9330437e-07	4.267691e-08
priorregion1_spot_9	0.0063492274	2.4997155e-07	0.99364984	2.1996985e-07	7.755096e-08	1.2390379e-07	1.51183e-07	5.0213657e-08
priorregion1_spot_10	4.9925216e-06	5.780176e-07	0.97009766	1.4195051e-07	0.016371481	1.2213492e-07	0.013524958	3.8546602e-08
priorregion1_spot_11	0.021088103	0.08148852	0.8954597	2.4236653e-07	1.1126748e-07	9.962201e-08	0.0019633018	3.079716e-08
priorregion1_spot_12	0.01975176	2.1005671e-07	0.98024756	2.0768215e-07	5.4408634e-08	6.607339e-08	1.2957207e-07	1.5546021e-08
priorregion1_spot_13	0.025230028	1.7707067e-07	0.9747693	2.571548e-07	6.764565e-08	1.0114584e-07	1.2278113e-07	2.8497306e-08
priorregion1_spot_14	2.401957e-07	8.4463174e-08	0.9999992	9.903415e-08	7.589516e-08	9.797256e-08	1.01799664e-07	2.8656892e-08
priorregion1_spot_15	0.045759708	0.2797043	0.6745346	4.6791718e-07	1.5177406e-07	2.2010173e-07	5.075953e-07	3.221392e-08
priorregion1_spot_16	2.6503804e-07	1.2865262e-07	0.9967425	2.1153996e-07	2.2660811e-07	9.004096e-08	0.003256673	2.5240622e-08
priorregion1_spot_17	1.14834755e-07	8.7842906e-08	0.9999994	1.2875631e-07	6.510874e-08	8.74966e-08	1.2294329e-07	3.2916105e-08
priorregion1_spot_18	0.20191507	0.016212124	0.78187126	7.332375e-07	2.4290327e-07	2.334344e-07	2.216228e-07	5.5077663e-08
priorregion1_spot_19	2.3150821e-07	1.649103e-07	0.999999	1.7001237e-07	9.664112e-08	1.676877e-07	2.0397694e-07	3.983334e-08
priorregion1_spot_20	0.29856378	0.4918345	0.019529596	0.028645812	0.1614255	5.3599257e-07	1.9774937e-07	4.289779e-08
priorregion1_spot_21	0.08423503	6.77434e-07	0.91574925	4.3924215e-06	5.3531784e-07	6.530293e-07	9.260991e-06	1.6515929e-07
priorregion1_spot_22	0.20321989	0.7436332	0.035775788	0.017370235	2.630374e-07	3.1980542e-07	1.878858e-07	4.555086e-08
priorregion1_spot_23	0.06519031	0.01952476	0.9148814	2.2397685e-07	1.2401776e-07	1.342152e-07	0.00040314413	4.630058e-08
priorregion1_spot_24	0.010784687	3.8533014e-07	0.989214	3.625675e-07	1.0999878e-07	1.8758307e-07	1.5802797e-07	4.6017938e-08
priorregion1_spot_25	0.17616676	0.7056857	0.010111922	8.7185566e-07	0.10803419	2.3193131e-07	2.3504691e-07	7.3112965e-08
priorregion1_spot_26	6.961021e-08	4.681363e-08	0.9999997	9.073438e-08	4.01309e-08	5.181009e-08	6.831808e-08	1.9838652e-08
priorregion1_spot_27	0.16902818	0.028280022	0.76228935	0.0020677138	0.03833416	2.400747e-07	2.1314143e-07	8.554438e-08
priorregion1_spot_28	0.018378874	6.029666e-07	0.97605467	4.8341036e-07	9.425879e-06	2.4594553e-07	0.00555563	5.253172e-08
priorregion1_spot_29	0.0027477546	4.807331e-07	0.99725133	1.5955942e-07	1.6030324e-07	7.691241e-08	1.5580588e-07	3.6694264e-08
priorregion1_spot_30	0.028811602	2.9109472e-07	0.9711871	3.682556e-07	1.1765083e-07	1.444905e-07	2.6294867e-07	5.806404e-08
priorregion1_spot_31	0.0117510585	1.4320513e-07	0.9882482	2.0864543e-07	1.5795904e-07	6.9623304e-08	1.0874587e-07	1.8416394e-08
priorregion1_spot_32	0.01672746	1.462508e-07	0.98327196	2.1551921e-07	5.4877795e-08	1.04358115e-07	8.4439044e-08	2.4777473e-08
priorregion1_spot_33	1.4438255e-07	2.554322e-07	0.99999446	2.5887894e-07	4.2598085e-06	2.4304757e-07	1.8209954e-07	6.345193e-08
priorregion1_spot_34	0.0061143655	1.5473433e-06	0.9938827	4.8294623e-07	1.3593295e-07	1.5165571e-07	5.293079e-07	4.486669e-08
priorregion1_spot_35	0.06031317	0.027828867	0.91185385	1.786055e-06	5.3674677e-07	4.503429e-07	1.3112684e-06	7.035955e-08
priorregion1_spot_36	0.042702455	0.25202313	0.7052704	1.8855192e-06	1.9514836e-07	4.0723185e-07	1.539759e-06	5.1625364e-08
priorregion1_spot_37	0.026153058	2.883244e-06	0.9738426	6.540708e-07	2.0121789e-07	2.7986664e-07	2.878749e-07	5.5245895e-08
