,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,6.19190591351071e-06,4.4823014150097155e-06,0.0020635380991734565,1.6794780671596528,0.14176592081785203,2.5550341320013106e-06,1.4538070956859882e-06,6.947236499854625e-07
priorregion1_spot_2,4.854737780988216e-05,7.456447783624754e-05,7.78818566686823e-06,3.145938050746918,0.16051569432020188,9.714206998978626e-06,2.5572009917596007e-06,0.00019953293158323505
priorregion1_spot_3,3.8456066278058646e-07,2.149816666019433e-07,2.4055999148231424e-08,0.7001319199800491,0.001026696030749008,3.2380036785184535e-08,4.4562775514123136e-08,4.294115818481714e-08
priorregion1_spot_4,0.15990875288844109,0.001523033931152895,0.2131667762994766,3.2166791439056395,1.1848803520202638,5.561624147958355e-05,4.3566795102378816e-05,2.7041015528084245e-05
priorregion1_spot_5,1.3381158510128444e-06,8.989555112748348e-07,1.4006203770122737e-07,1.074154019355774,0.12001122869551181,2.799438800593635e-06,1.8207873324627145e-07,4.799493751761475e-07
priorregion1_spot_6,0.00016583144388278013,2.018288450926775e-05,1.559591156244278,2.146352696418762,1.2555384993553163,3.492545249628165e-06,0.007007039547897875,1.394683113176143e-05
priorregion1_spot_7,2.2285630802798553e-05,2.7054396559833554e-05,1.2301620074595122e-06,2.9717112421989444,0.002315605292096734,0.022103278618305924,2.7514626026459155e-06,6.768445075522322e-07
priorregion1_spot_8,0.057755209319293496,5.009767628507689e-05,1.0832171528818436e-05,2.4798231601715086,0.16405635401606558,4.406918014865368e-06,0.0026333729387260974,2.076146447507199e-05
priorregion1_spot_9,1.282795187762531e-05,1.2775145069099381e-05,9.868711549643196e-06,2.5241631865501404,0.19958526864647866,1.936215880959935e-06,1.4152719472804164e-06,0.0004806691707926802
priorregion1_spot_10,6.151593443064485e-05,0.0018169783113989979,5.334673987817951e-05,3.3963913321495056,0.2574387550354004,6.7516781427912065e-06,4.370968963485211e-06,7.81911885496811e-06
priorregion1_spot_11,2.3831314706512787e-06,1.4538187770085643e-06,1.1735533469448001e-07,1.6090690791606903,0.000908001110656187,9.6132229145951e-07,1.497988378673654e-07,1.1575274179165264e-07
priorregion1_spot_12,0.05485272966325283,6.690062150482845e-06,0.0575189933180809,0.41628615409135816,7.001089070399757e-05,3.893660025511281e-08,6.992993917265267e-08,4.463178093772058e-08
