	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.10810967	0.679576	0.2123141	9.655766e-08	2.6779295e-08	8.502458e-08	7.357649e-08	3.2453011e-09
priorregion1_spot_2	0.2156038	0.3097281	0.4746647	3.077381e-06	7.7681456e-08	1.9769992e-07	1.13809485e-07	1.7726029e-08
priorregion1_spot_3	0.23588103	0.384236	0.37988105	2.8148258e-07	9.2132304e-08	7.9648976e-07	7.340343e-07	1.5547576e-08
priorregion1_spot_4	0.24765775	0.637522	2.4158563e-08	7.424925e-08	0.11113603	0.001889468	0.0017946305	8.546769e-09
priorregion1_spot_5	0.20266138	0.20609231	0.5908965	6.329946e-07	1.07848585e-07	4.0755808e-07	0.00034864084	2.0479401e-08
priorregion1_spot_6	1.5675471e-07	1.6089388e-07	0.9999991	1.5050307e-07	9.949253e-08	1.3044632e-07	1.9533145e-07	2.5732009e-08
priorregion1_spot_7	0.23217267	0.7663694	2.937594e-08	1.0742368e-07	2.3774716e-08	1.00236164e-07	0.0014578382	6.2171828e-09
priorregion1_spot_8	0.31177017	0.68822837	6.0986997e-07	1.729858e-07	1.906728e-07	2.724274e-07	2.1769667e-07	9.272777e-09
priorregion1_spot_9	0.44213507	0.5527247	5.5701868e-08	1.561647e-06	4.3115417e-08	0.0051382757	3.1295335e-07	7.0913133e-09
priorregion1_spot_10	0.11791412	0.8820854	3.7154607e-08	2.151605e-07	2.36813e-08	1.9257041e-07	8.568209e-08	4.355927e-09
priorregion1_spot_11	0.17178687	0.39108443	0.38163996	2.5541876e-06	0.055485126	5.1040456e-07	5.910265e-07	2.0612884e-08
priorregion1_spot_12	0.33596304	0.48889	0.17512453	7.3570095e-07	1.5591573e-05	5.820395e-06	1.954439e-07	1.4690651e-08
priorregion1_spot_13	0.14838389	0.8516154	9.258725e-08	2.2584183e-07	3.267925e-08	1.6322291e-07	2.557127e-07	1.0437814e-08
priorregion1_spot_14	0.14479642	0.85456204	3.0682582e-08	1.03281174e-07	1.8269343e-08	1.3072018e-07	0.00064135174	4.116219e-09
priorregion1_spot_15	0.3922036	0.5658138	0.03671073	0.005271559	3.7613358e-08	1.7342101e-07	1.8042823e-07	5.9414687e-09
priorregion1_spot_16	0.13003343	0.4054107	0.45496404	1.9602001e-07	9.641653e-08	1.6971985e-07	0.009591367	1.3757195e-08
priorregion1_spot_17	0.09562982	0.19640397	0.7079585	4.539523e-06	1.5094776e-07	2.9363804e-07	2.740621e-06	2.3186674e-08
priorregion1_spot_18	0.3568066	0.52531874	0.11787296	8.6766823e-07	5.483233e-08	4.4061346e-07	2.7821477e-07	1.4781843e-08
priorregion1_spot_19	0.14011164	0.83809566	0.016542876	0.005249235	1.2981629e-07	2.8649265e-07	1.3402088e-07	1.956975e-08
priorregion1_spot_20	0.16705352	0.48327523	0.34967077	1.9145297e-07	4.1156515e-08	1.406704e-07	2.0403165e-07	7.3582718e-09
priorregion1_spot_21	0.156173	0.5458068	0.2980196	2.1200094e-07	5.03819e-08	1.4531834e-07	1.8372211e-07	9.4976045e-09
priorregion1_spot_22	0.117442034	0.21152517	0.6710312	5.3173255e-07	1.1840938e-07	6.272947e-07	3.544017e-07	2.8436604e-08
priorregion1_spot_23	0.1635162	0.54973435	0.28674725	1.3582423e-06	6.338848e-08	3.894864e-07	3.583926e-07	1.125133e-08
priorregion1_spot_24	0.0448846	0.16027255	0.7948415	4.2778515e-07	1.6561948e-07	2.7709825e-07	4.4482584e-07	2.7015105e-08
priorregion1_spot_25	0.18428087	0.41505694	0.39322364	0.0021986652	6.551734e-08	1.3594243e-07	0.0052396595	7.5232505e-09
priorregion1_spot_26	0.03481961	0.26893947	0.69623995	3.64404e-07	8.48824e-08	2.0365543e-07	3.416448e-07	1.3794241e-08
priorregion1_spot_27	0.11423363	0.4284759	0.45728952	1.9777698e-07	6.2923625e-08	2.1043992e-07	5.1030463e-07	1.0914658e-08
priorregion1_spot_28	0.12027983	0.19365376	0.65590715	4.1832e-06	0.022133283	7.1474324e-07	0.008021038	3.9240792e-08
priorregion1_spot_29	9.2406886e-08	2.7001283e-07	0.99999887	2.2414598e-07	2.6532072e-07	1.0619558e-07	1.7438715e-07	2.5546687e-08
priorregion1_spot_30	0.16263688	0.48899657	0.33737493	2.6558214e-07	8.135193e-08	1.686685e-07	0.010991066	1.1561838e-08
priorregion1_spot_31	0.03564485	0.1408362	0.8235177	4.7376176e-07	4.2498036e-07	1.979754e-07	2.0421628e-07	2.144926e-08
priorregion1_spot_32	0.18733752	0.58301187	0.2278024	1.4195456e-07	0.0018479273	1.05362155e-07	5.7331526e-08	1.0899703e-08
priorregion1_spot_33	0.05531508	0.38364878	0.5610339	8.9014145e-07	8.0917836e-08	5.61451e-07	6.307757e-07	1.4817645e-08
priorregion1_spot_34	0.19065137	0.3759328	0.43341395	8.319055e-07	1.0951887e-07	4.422797e-07	5.7989206e-07	1.2278441e-08
priorregion1_spot_35	0.13805771	0.39131802	0.47057062	5.228482e-05	1.3232025e-07	5.7230545e-07	7.042843e-07	1.7963215e-08
priorregion1_spot_36	0.054131467	0.18044987	0.76541793	2.8674668e-07	6.992307e-08	1.2780386e-07	2.4874055e-07	1.7609173e-08
priorregion1_spot_37	0.056905452	0.13364957	0.80902857	1.5948375e-06	3.8331513e-07	0.0004124684	1.9804586e-06	4.8929124e-08
priorregion1_spot_38	0.18802243	0.80635077	4.31148e-08	1.3500699e-07	2.0748228e-08	0.0056267455	5.498233e-08	5.447242e-09
priorregion1_spot_39	0.063090436	0.36935535	0.5675536	1.7485988e-07	6.9985944e-08	1.3324785e-07	2.3293077e-07	2.1753582e-08
priorregion1_spot_40	0.29045525	0.7095445	3.9602565e-08	9.3466625e-08	1.7661128e-08	7.00514e-08	5.5322122e-08	3.5726895e-09
priorregion1_spot_41	0.15171187	0.27711356	0.57107216	0.0001010961	1.4459788e-07	5.867831e-07	6.547454e-07	2.2964336e-08
priorregion1_spot_42	0.16959007	0.5539845	0.2755546	0.00087004516	1.4579507e-07	3.314997e-07	3.6674354e-07	1.8947672e-08
priorregion1_spot_43	0.02654203	0.1528698	0.82058656	4.050909e-07	1.5525256e-07	4.2754132e-07	6.041049e-07	3.6292068e-08
priorregion1_spot_44	0.02610731	0.05155481	0.92233735	1.7717763e-07	6.977302e-08	1.02077024e-07	1.8733927e-07	2.3536623e-08
priorregion1_spot_45	0.23610185	0.34633258	0.412344	2.388392e-06	1.4086375e-07	3.442849e-07	0.0052186623	1.7290667e-08
