,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,1.585931659064954e-05,7.346131701524428e-06,0.00011681433497869876,0.2522653877735138,0.41995583176612855,2.733790904585476e-06,2.7420459809945898e-05,3.8582495847094834e-07
priorregion1_spot_2,1.5560088115762485e-07,1.030643371535689e-07,1.1640838160076329e-08,0.10171957351267337,4.814221688320685e-06,1.8638937682169398e-08,0.00047867179382592444,3.383387114919146e-09
priorregion1_spot_3,1.407833622124599e-06,1.807414925281137e-07,4.7466202630630504e-07,0.46401171088218685,0.15174341723322868,1.1566100511117838e-06,0.00022664225616608746,2.6099238255028466e-07
priorregion1_spot_4,2.8029296572640305e-06,4.903129038780208e-07,0.00021512755774892868,0.41203595101833346,0.27320619821548464,2.417159748802078e-06,8.754519171816355e-07,1.7361754544253928e-06
priorregion1_spot_5,2.388344171322388e-06,2.909312513565965e-07,2.4966858291008975e-05,0.6193413197994232,0.30623456090688705,1.4164538356453705e-06,7.767161623633001e-05,9.052274748455602e-07
priorregion1_spot_6,1.9121046420877975e-06,3.520609041629541e-07,0.0004581257962854579,0.2626384750008583,0.27807293087244034,1.4289676300904831e-06,3.4566026840820996e-07,1.9681386405068226e-07
priorregion1_spot_7,1.8031607908142178e-06,4.92499597726237e-07,3.719693388859469e-08,0.31203406006097795,0.011537172924727201,6.027941566344453e-07,6.797181697493216e-08,1.330332501936482e-07
priorregion1_spot_8,2.488962991264998e-06,4.0866128188099536e-07,8.981009358421943e-07,0.8824509173631668,0.30582127422094346,2.1510139390557014e-06,4.155810287898021e-07,3.619640978058669e-07
priorregion1_spot_9,4.517032095918694e-07,2.8929271955746576e-08,1.0780839048152303e-07,0.20587319433689116,7.88782178915426e-06,1.2180287605190189e-07,4.460333613565127e-08,7.6562647777223e-09
priorregion1_spot_10,1.6365336080070847e-06,1.693517852174864e-07,4.883042009851124e-07,0.5110281974077224,0.2544888541102409,1.2935231836763705e-06,1.9451433104222814e-07,3.8470751206887144e-07
