,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.029115692432969808,0.1248996291309595,1.0542406737804413,3.2277887243026274e-07,1.3189153469284068e-05,2.412247809502333e-07,3.1483488214689716e-06,1.0433402803755597e-05
priorregion1_spot_2,0.06249290686100722,0.07784614823758601,0.7664197504520416,9.968277993266382e-07,0.0016764114785473793,4.2128936712515496e-07,0.00015400867341668347,1.3756861392266728e-07
priorregion1_spot_3,0.048201988078653814,0.08272330053150653,0.7231649816036224,6.45605521754078e-07,0.04606769699603319,4.432511929053363e-07,0.0013142192037776115,4.670754293556456e-07
priorregion1_spot_4,5.924497713749588e-07,2.4041309529820867e-07,0.7473176926374435,1.406945685289429e-07,0.014396951626986265,4.292689208540423e-08,5.581441198110327e-09,4.557913224623177e-09
priorregion1_spot_5,0.007105443836189807,0.060750998370349404,1.0009072780609132,5.36660837724412e-07,0.022286020033061505,1.3697867302653323e-07,0.001871391583699733,8.438229173179935e-07
priorregion1_spot_6,0.0014510376669932157,5.390657406678656e-05,0.7198570668697357,1.135619466907656e-07,1.4884206109400111e-06,3.658061960010172e-08,1.886495830660806e-08,7.725884962894725e-08
priorregion1_spot_7,0.033185577020049095,0.0016688844538293778,0.6269930481910705,3.574391442384695e-07,4.103007563571737e-06,6.968668451179382e-08,5.80605470190676e-07,1.1718591349563213e-05
priorregion1_spot_8,0.010386161087080835,0.08208785317838191,0.3020933598279953,8.782570148468948e-07,8.143606038402141e-07,1.8499863898568947e-07,3.8181694435479595e-06,2.079237022556413e-08
priorregion1_spot_9,3.0468806500039136e-07,1.347498177040052e-07,0.8437234252691269,1.8934567336259536e-07,0.014543967880308628,3.1217340357159175e-08,2.1739453903713014e-09,3.534148929063008e-09
priorregion1_spot_10,0.03848444446921349,0.01207134434953332,1.0288452684879303,4.0597171135914323e-07,1.437266437278595e-05,3.384867184763607e-07,3.016120908796438e-05,0.0001245199928234797
priorregion1_spot_11,0.020356904342770578,0.2237054191529751,0.3119876354932785,0.0004205306628136896,1.511264595137618e-05,7.777384695373257e-07,1.3413225985914323e-06,3.5416659216025435e-06
