	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.28713003	0.46120057	9.660761e-08	2.928159e-07	0.23088022	1.3010858e-06	0.009265494	0.01152194
priorregion1_spot_2	4.0305912e-07	0.0076161516	1.3281752e-07	2.0951192e-07	0.95590925	1.0324171e-06	0.03647206	7.389331e-07
priorregion1_spot_3	2.8466644e-07	2.7300376e-07	1.11534106e-07	1.7874235e-07	0.92111456	0.01598071	0.06290365	2.6064495e-07
priorregion1_spot_4	0.04657365	0.08922942	1.8101159e-07	1.7166674e-07	0.7191363	7.18017e-07	0.010339774	0.13471979
priorregion1_spot_5	1.8759548e-07	0.013558378	7.2692835e-08	1.14046124e-07	0.9864399	8.4610167e-07	1.5912815e-07	2.9512034e-07
priorregion1_spot_6	1.5680232e-06	0.004416758	4.249049e-07	1.03185e-06	0.76737124	3.0420417e-06	5.565266e-07	0.22820535
priorregion1_spot_7	1.1205406e-06	0.101173185	1.2101222e-07	6.4956964e-07	0.8257021	0.028872713	0.04424911	9.97858e-07
priorregion1_spot_8	7.129593e-07	6.185201e-07	3.6367683e-07	5.8061755e-07	0.8840471	2.246974e-06	0.090995446	0.024952978
priorregion1_spot_9	1.8061711e-06	0.21556695	1.6782136e-07	0.007995239	0.71445435	0.030423691	2.8417955e-07	0.031557474
priorregion1_spot_10	6.0553145e-07	1.1507611e-05	2.0200413e-07	2.403685e-07	0.99997026	1.10694e-06	1.5771744e-05	2.8356703e-07
priorregion1_spot_11	1.7938082e-07	1.3356339e-07	1.0458376e-07	1.7569134e-07	0.2632161	0.73678285	1.5578854e-07	2.4497598e-07
priorregion1_spot_12	8.772983e-06	5.7851526e-07	1.5361192e-07	1.16309735e-07	0.99521387	6.4137436e-07	0.0047754897	3.2669467e-07
priorregion1_spot_13	5.5870544e-07	4.4894475e-07	2.0245866e-07	1.2308452e-06	0.99662745	6.9257176e-06	0.0033625378	6.446621e-07
priorregion1_spot_14	9.3516826e-07	3.863963e-07	1.2120506e-07	7.2284394e-07	0.9446446	0.05535275	1.6756582e-07	3.0419037e-07
priorregion1_spot_15	3.354674e-07	2.5348152e-07	1.8917518e-07	5.274744e-07	0.9704282	5.19756e-07	0.029569669	2.7500252e-07
