	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.03629045	0.015138499	0.9485692	5.75357e-07	2.6069515e-07	5.6096655e-07	4.7623772e-07	7.6584435e-08
priorregion1_spot_2	0.07113969	1.9902222e-06	0.925201	3.9155995e-07	9.9189954e-08	1.2074122e-07	0.0036567233	2.4863041e-08
priorregion1_spot_3	0.06227276	0.0024177637	0.9287533	3.6305946e-07	2.9688502e-07	1.279619e-07	0.0065553864	3.475912e-08
priorregion1_spot_4	7.484807e-08	7.083022e-08	0.9999995	1.324899e-07	1.0043919e-07	6.2180966e-08	1.0163261e-07	2.1875113e-08
priorregion1_spot_5	0.0284862	7.319779e-07	0.9634015	4.828698e-07	6.0638126e-07	3.4710467e-07	0.008109967	4.982553e-08
priorregion1_spot_6	9.3616876e-08	5.2615682e-08	0.9999996	9.020332e-08	4.356363e-08	5.374397e-08	7.943813e-08	2.3422293e-08
priorregion1_spot_7	0.012278391	2.1755866e-07	0.9877207	2.0139163e-07	1.1815968e-07	8.895204e-08	1.7021807e-07	4.4102613e-08
priorregion1_spot_8	0.134803	1.1095293e-06	0.8651935	6.3752384e-07	1.6677522e-07	2.7677106e-07	1.2021391e-06	7.577675e-08
priorregion1_spot_9	1.170486e-07	9.605821e-08	0.99999917	2.307419e-07	2.262939e-07	1.09261e-07	1.4379658e-07	4.133184e-08
priorregion1_spot_10	0.024440873	7.117279e-07	0.9755571	3.938839e-07	1.7607235e-07	2.011557e-07	4.4994755e-07	8.332138e-08
priorregion1_spot_11	0.39199004	0.20369385	0.39147413	0.012838682	1.2937109e-06	1.079866e-06	6.605664e-07	1.6041753e-07
priorregion1_spot_12	1.8258288e-06	1.3843858e-05	0.9999801	2.3651562e-07	3.5658374e-07	1.9530823e-07	3.330304e-06	6.298825e-08
priorregion1_spot_13	0.08195758	7.987546e-07	0.9111231	0.00026155062	3.5076943e-07	3.0266276e-07	0.0066562924	4.9080366e-08
priorregion1_spot_14	2.2282671e-07	7.1448945e-08	0.9999993	1.1986045e-07	8.5121115e-08	7.558771e-08	9.0133824e-08	3.5490718e-08
priorregion1_spot_15	0.043478645	0.0071778875	0.94934255	4.1677222e-07	1.1826989e-07	1.4796763e-07	2.0603136e-07	4.216904e-08
priorregion1_spot_16	0.012858218	0.0076910695	0.97944766	8.4119193e-07	3.0848005e-07	4.185533e-07	1.3155922e-06	6.247976e-08
priorregion1_spot_17	4.6054065e-05	1.0118296e-06	0.99995047	9.68414e-07	1.3281486e-07	3.0973487e-07	9.0009024e-07	9.664775e-08
priorregion1_spot_18	0.28610095	6.451119e-07	0.7138971	3.7276456e-07	1.4129222e-07	5.593705e-07	2.7303494e-07	2.9779562e-08
priorregion1_spot_19	0.004157851	0.002901405	0.9929401	2.164078e-07	1.0512786e-07	1.1759017e-07	2.125667e-07	3.471017e-08
priorregion1_spot_20	9.561158e-08	4.9071517e-08	0.99999964	1.315851e-07	3.0890767e-08	4.2309136e-08	1.062766e-07	1.4931636e-08
priorregion1_spot_21	1.7174956e-07	9.3849515e-08	0.99999917	1.6641911e-07	8.681149e-08	1.13314556e-07	1.437815e-07	3.5032166e-08
priorregion1_spot_22	0.05457147	1.1486228e-06	0.9397495	6.051077e-07	4.2974654e-07	2.1430111e-07	0.0056765736	5.9131832e-08
priorregion1_spot_23	0.004723322	2.4907388e-07	0.99527156	3.305985e-07	1.4871702e-07	1.4494253e-07	4.1119138e-06	3.990516e-08
priorregion1_spot_24	0.06761338	9.840015e-07	0.93238366	7.472435e-07	8.5679875e-07	1.771249e-07	1.762845e-07	8.213425e-08
priorregion1_spot_25	0.028514173	6.002006e-07	0.9714846	1.2561476e-07	5.661846e-08	8.1083506e-08	1.2180658e-07	9.088422e-08
priorregion1_spot_26	4.8735006e-07	2.1892133e-06	0.9999924	3.20239e-07	4.0832924e-06	2.0454519e-07	3.4163276e-07	7.625194e-08
priorregion1_spot_27	0.067011684	2.6168022e-06	0.88904953	0.0014722762	0.030770846	4.99904e-07	0.011692446	8.9228315e-08
priorregion1_spot_28	0.00039100667	3.6191926e-07	0.99265367	3.9814296e-07	1.261857e-06	2.0942385e-07	0.0069530816	6.807184e-08
priorregion1_spot_29	0.08204611	3.1442823e-06	0.91794837	4.9955923e-07	1.6244336e-07	2.0545772e-07	1.3843186e-06	5.293027e-08
priorregion1_spot_30	1.5249944e-07	1.2111687e-07	0.99999917	1.5862507e-07	5.865294e-08	7.453374e-08	1.9091789e-07	2.293181e-08
priorregion1_spot_31	0.16913357	0.0120776035	0.818785	2.9052806e-06	1.84654e-07	3.3244945e-07	3.1808221e-07	5.454089e-08
priorregion1_spot_32	0.09722651	0.037231404	0.8655407	8.589669e-07	1.591747e-07	2.0618403e-07	2.0646283e-07	5.113203e-08
priorregion1_spot_33	0.51519066	0.19921432	0.26901898	0.016574688	4.6215175e-07	5.16581e-07	2.6092454e-07	1.3317096e-07
priorregion1_spot_34	0.07323784	8.3499924e-07	0.9267582	1.4046351e-06	2.4617378e-07	6.269323e-07	7.040617e-07	8.063261e-08
priorregion1_spot_35	3.91893e-06	1.0508085e-06	0.99992716	8.345339e-07	4.6208854e-07	1.2527811e-06	6.520389e-05	1.3182715e-07
priorregion1_spot_36	0.1337865	1.0028084e-06	0.86621195	2.5214752e-07	6.5059346e-08	7.847278e-08	9.628617e-08	2.0843132e-08
priorregion1_spot_37	2.239143e-05	4.895857e-06	0.9999711	7.230549e-07	4.462968e-07	1.4716875e-07	2.0897392e-07	4.014041e-08
priorregion1_spot_38	0.0118456045	3.209126e-07	0.9816485	2.7721453e-07	2.8409514e-07	1.2756414e-07	0.006504902	3.8025757e-08
priorregion1_spot_39	9.272988e-08	4.839056e-08	0.9999995	1.0775484e-07	6.0326926e-08	6.112926e-08	8.577963e-08	2.4737904e-08
priorregion1_spot_40	0.027469471	0.0075650136	0.96496487	3.0979464e-07	1.1447264e-07	1.1004101e-07	1.2375631e-07	3.779054e-08
priorregion1_spot_41	6.658773e-08	7.827301e-08	0.99999857	1.2620511e-07	9.719882e-07	6.009097e-08	9.1014016e-08	2.3119721e-08
priorregion1_spot_42	5.2584517e-07	0.0017672832	0.96884197	3.0695074e-07	0.029389761	1.2425888e-07	1.3661824e-07	4.6570122e-08
priorregion1_spot_43	0.029114041	4.087902e-06	0.97088057	6.466211e-07	9.941818e-08	2.2526515e-07	1.960727e-07	5.085718e-08
priorregion1_spot_44	1.2707002e-06	7.1131403e-06	0.9979459	3.60157e-07	7.5745294e-07	1.290563e-07	0.0020444724	6.7532945e-08
