,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.43891841471195225,0.44817173779010777,1.139637944902461e-07,6.165830967574948e-07,0.30354146361351014,6.408640501831542e-07,4.6782019325064544e-07,1.671608990430832
priorregion1_spot_2,1.7942103564739227,1.2403898179531097,1.063172576323268e-05,3.6156610576654202e-06,0.6294183671474457,2.449336045629025e-06,0.0018305688514374196,0.24321004450321196
priorregion1_spot_3,0.7888602793216706,0.7388099998235703,1.3309502620018065e-07,9.019014477473774e-08,0.0003804574516834691,4.4623296702184234e-07,1.928308245169319e-06,0.2518298327922821
priorregion1_spot_4,0.8222520291805268,0.20387777164578438,5.130771478434326e-05,3.837454762845028e-08,6.144677809061251e-06,3.581115350925757e-07,3.333439806851857e-07,0.03942203875631094
priorregion1_spot_5,0.21088375449180605,0.06267986819148064,1.6901082844356098e-08,2.9008870860991465e-08,2.257433118302288e-06,1.8485123334244236e-07,0.00022579436626983808,4.004743718866166e-08
priorregion1_spot_6,0.8375600546598434,0.8616744101047515,1.0262073942612914e-06,3.452837077588811e-07,0.003627250983845443,6.320653852753822e-07,1.8387706973044262e-06,0.6859403520822525
priorregion1_spot_7,0.7442033261060714,0.9649046003818512,2.2570170710167763e-08,3.222964188864808e-08,2.112808567744651e-06,5.646680222071154e-07,3.914874673682789e-06,1.033195593436176e-06
priorregion1_spot_8,1.5444651544094086,1.3628902733325958,4.738649892033209e-07,3.1437360377140066e-07,0.4633088901638985,2.1644122739417074e-06,4.261848084752274e-06,0.20458547919988632
priorregion1_spot_9,2.4823847174644467,1.0085138261318207,0.0027573942788876593,7.71900641893808e-07,0.15617084130644798,2.236906709640608e-06,0.0002372273040236905,0.009384205797687173
priorregion1_spot_10,0.49114009588956836,0.07224131822586059,7.835926147947703e-08,1.861685831272553e-07,0.7631225675344467,6.792909232444799e-07,0.0031290871091187,0.9986448973417282
priorregion1_spot_11,0.9825863242149353,1.3955731093883514,4.330900367222057e-07,1.3510353755918914e-05,0.0001043036834744271,2.8374120915941602e-06,1.2482202407682056e-06,0.3215887278318405
priorregion1_spot_12,0.9464364737272263,0.8398827821016311,2.9452070435809216e-07,1.2703638709865578e-07,0.20465383678674698,1.1828858930584829e-06,2.8532087753774254e-06,1.0227497696876526
priorregion1_spot_13,1.426351225376129,1.1188998222351074,0.012823812896385789,5.471129298939559e-07,8.243320626206697e-05,2.3279394213204795e-06,1.1424802778492448e-06,0.0391579320654273
priorregion1_spot_14,2.297190701961517,2.8361180663108825,0.0004254933432093822,1.3033592040301301e-06,0.20592226311564446,2.222418925157399e-05,0.0005604159028735012,0.3222376793622971
priorregion1_spot_15,1.1344061970710755,1.4250563740730287,0.0001553774840431288,4.0815878037392396e-07,0.25459886640310286,2.27501118388318e-06,7.45131485473394e-06,0.10481186211109161
priorregion1_spot_16,1.5686836957931518,1.272283959388733,2.7528561759027083e-06,3.86306918187529e-07,0.00023088214948074892,1.6880887130810153e-06,1.8526872906932113e-06,0.36102148741483686
priorregion1_spot_17,0.7719093263149261,2.8173482179641725,6.196726388907337e-07,1.1972162354823014e-07,7.434368581016315e-06,1.1069256856899302e-06,4.3337726225445304e-07,5.1063180080745955e-06
priorregion1_spot_18,0.26818265914916994,0.7248690843582153,3.834952894976595e-06,3.65662562273883e-07,0.0012663802946917713,6.174044386852984e-07,1.772681770262352e-06,1.6831890285015108
priorregion1_spot_19,0.141842695325613,0.1050006978213787,8.689071506751134e-09,6.03456591363738e-08,0.12323645688593388,2.270889574162993e-07,2.273643372063816e-06,1.4002510190010071
priorregion1_spot_20,1.295732432603836,1.7959121286869049,1.396552983123911e-06,4.5000852537668835e-07,0.010870924964547158,4.008005953437533e-06,1.9807224452961234e-05,1.413857198713231e-05
priorregion1_spot_21,0.3204580992460251,0.03207389339804649,1.5988443564651788e-07,0.0002589804935269058,0.02163114072754979,2.0588696827417153e-07,6.249981453265719e-07,0.06002381946891546
priorregion1_spot_22,0.9418638825416565,0.5434142768383026,4.1958543164355436e-07,1.4130723400285208e-07,0.26825586408376695,3.025638349640758e-07,4.620238215125028e-07,0.15918385237455368
priorregion1_spot_23,0.09071105159819126,0.2028887026011944,1.1004509474332736e-06,2.6609527470355943e-08,0.005017255479469895,2.0433848888501415e-07,1.8902811632415252e-06,0.07008269429206848
priorregion1_spot_24,0.0385244868695736,0.16291600689291955,2.7345055442218325e-09,1.825665627563922e-08,1.2483321643230739e-05,9.796795410466075e-08,9.917840859685613e-09,0.04067449606955051
priorregion1_spot_25,1.0097759783267974,1.010538935661316,1.1387863274592294e-07,2.908085406261307e-07,2.5670341869954427e-06,6.70448193318407e-07,3.2881372646897944e-07,1.8456564987445747e-06
priorregion1_spot_26,0.6626354783773422,1.023529726266861,8.276872875967456e-08,3.4052497142056384e-07,0.17121325433254242,5.930101821149946e-07,6.888529867410399e-07,0.11861777938902378
priorregion1_spot_27,1.0484238982200622,0.6430569976568222,0.00011382231459720062,3.925928538706104e-07,3.103162707702723e-05,2.955227245138303e-07,4.21417884354014e-05,0.20121892765164373
priorregion1_spot_28,0.08731120079755783,0.14536240100860595,8.326106160083669e-09,1.6778459865918193e-08,8.248565882240655e-06,2.632044555639368e-07,1.1924328680024134e-08,0.15259102284908296
priorregion1_spot_29,0.32173718959093095,0.8484479993581772,4.231902650531083e-08,2.6767621719159252e-08,0.0022302792291156947,1.3526915950023976e-06,8.506955389009364e-08,0.4002811655402183
priorregion1_spot_30,1.6679481625556947,0.9077450454235076,8.630011734567233e-07,1.4887491204262917e-06,0.7272723764181137,1.964427235634503e-06,4.7729154175613075e-06,0.5074049800634384
priorregion1_spot_31,0.6863300621509553,0.9067799389362334,1.1102801202866885e-07,1.2134451523593274e-07,0.0014278723858296872,1.0863738395983093e-06,2.6647510225075167e-07,0.8989567160606384
priorregion1_spot_32,0.7967467963695527,1.5094446420669554,7.111593731679022e-07,2.694817908377445e-07,0.18800617009401321,8.940265672663374e-07,1.9234244632571063e-06,0.45468494147062305
priorregion1_spot_33,0.16697450280189513,0.35035080760717396,1.7320839873491423e-08,3.534408747896123e-08,1.0164544676172228e-06,9.456946202135442e-07,6.006703330285746e-08,0.05510241072624922
priorregion1_spot_34,1.120595932006836,0.5168353050947189,1.5392114178780507e-07,4.3937271811955733e-07,0.4638825789093971,4.7599856429769715e-07,1.4304681087651262e-06,0.6781294256448746
priorregion1_spot_35,0.3481545105576515,0.6279853492975236,1.1560562143131392e-05,6.25828501910064e-08,3.935055028705392e-05,5.518218102906757e-07,3.5372232218833235e-07,0.3618747279047966
priorregion1_spot_36,1.292770552635193,1.3875923991203307,7.507697745268161e-07,5.7148224819059124e-08,7.551056023658021e-06,1.1059763164666948e-05,2.2511076281261923e-06,8.025919578358299e-06
priorregion1_spot_37,0.20315052792429925,0.02831760821864009,3.16591547743883e-05,2.597501724821427e-08,1.693889771559043e-05,1.1971324624937553e-07,2.267540120115541e-08,0.5636764109134674
