	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	6.528119e-07	3.0570223e-07	0.99999535	2.8385284e-06	1.5333526e-07	3.0538666e-07	4.2837377e-07	4.395824e-08
priorregion1_spot_2	3.4851405e-07	1.3887654e-07	0.644787	1.0701057e-05	7.42194e-08	1.2478122e-07	0.35520166	2.0220355e-08
priorregion1_spot_3	2.7169767e-06	6.426646e-06	0.9998164	0.00017209194	3.664417e-07	2.801124e-07	1.5140222e-06	9.428617e-08
priorregion1_spot_4	0.07533317	0.004591146	0.75265753	0.16219701	0.0051630232	6.935878e-07	5.726871e-05	7.5279296e-08
priorregion1_spot_5	0.99985754	7.940206e-06	1.0660319e-06	0.00012927738	5.858723e-07	1.6917371e-06	1.6494072e-06	1.7183226e-07
priorregion1_spot_6	0.019979164	0.006596595	0.69943476	6.0524082e-05	4.0473535e-07	5.498018e-07	0.27392796	4.7356e-08
priorregion1_spot_7	0.14885955	8.069414e-06	0.784805	0.01193038	1.1170021e-06	2.0060475e-06	0.054393865	5.3423637e-08
priorregion1_spot_8	9.115268e-06	1.2202701e-06	0.99096715	0.00901479	1.2633465e-06	4.3671778e-07	5.8192345e-06	1.5089395e-07
priorregion1_spot_9	8.707194e-07	7.765218e-07	0.99999255	3.1666277e-06	4.7619e-07	4.67422e-07	1.4344151e-06	1.3455586e-07
priorregion1_spot_10	1.9158408e-06	6.585891e-07	0.84841496	0.005033371	1.7093026e-07	2.2508034e-07	0.14654873	3.542041e-08
priorregion1_spot_11	0.025045162	0.0221279	0.7829558	0.07020283	0.049458627	8.598534e-07	0.050208688	5.985284e-08
priorregion1_spot_12	4.0500427e-07	1.9521737e-07	0.9999909	7.4466157e-06	1.2403504e-07	2.459011e-07	7.2693865e-07	2.7104518e-08
priorregion1_spot_13	5.706053e-07	2.427714e-07	0.9999236	7.465148e-05	1.292688e-07	1.9346298e-07	4.465505e-07	5.5674644e-08
priorregion1_spot_14	2.4546273e-07	1.3884585e-07	0.86437535	3.9245173e-05	1.05052415e-07	1.12852625e-07	0.13558474	4.005268e-08
priorregion1_spot_15	0.099870466	8.767722e-06	0.72605157	0.15938365	3.2817132e-07	1.4148073e-06	0.014683689	4.3300616e-08
priorregion1_spot_16	9.776589e-07	4.8329293e-05	0.99994123	7.2327744e-06	5.975246e-07	3.6662084e-07	1.1094584e-06	1.252578e-07
priorregion1_spot_17	4.822557e-07	8.917378e-07	0.9607668	7.054758e-06	0.03922369	2.8210238e-07	7.5444143e-07	4.8353996e-08
priorregion1_spot_18	1.7063182e-06	3.5214991e-06	0.99463177	0.005357827	4.4344424e-07	5.2470085e-07	4.0827827e-06	7.160517e-08
priorregion1_spot_19	9.913028e-07	3.3774148e-07	0.9128205	0.005518622	2.4442838e-07	4.300202e-07	0.08165883	6.783215e-08
priorregion1_spot_20	3.285328e-06	1.9890704e-06	0.8614972	0.023135891	5.5837563e-07	4.0010855e-07	0.1153606	5.4536244e-08
priorregion1_spot_21	2.338055e-07	1.3863405e-07	0.99999714	1.7519344e-06	6.288583e-08	1.716831e-07	3.7302684e-07	2.0148295e-08
priorregion1_spot_22	0.048090164	0.017455284	0.92207384	0.012376428	5.471664e-07	6.5979117e-07	2.8745656e-06	1.5621951e-07
priorregion1_spot_23	5.142744e-06	2.4266794e-06	0.99371415	6.490872e-06	0.0062685045	5.402417e-07	2.6919765e-06	1.0278168e-07
priorregion1_spot_24	0.009887587	0.017846404	0.95627713	0.015982006	2.4344135e-07	6.6905716e-07	5.889039e-06	6.746386e-08
priorregion1_spot_25	5.5546633e-07	1.9674636e-07	0.9472633	0.0039101634	2.1402234e-07	1.6513413e-07	0.048825327	4.08918e-08
priorregion1_spot_26	0.0011186732	1.2083341e-05	0.9844875	0.013711506	0.0006649779	4.941422e-07	4.7845733e-06	6.134661e-08
priorregion1_spot_27	7.101698e-06	0.011033032	0.98820925	0.00074443367	1.3080478e-06	1.2309408e-06	3.4233408e-06	2.2993889e-07
priorregion1_spot_28	2.643068e-06	0.013871813	0.5615574	0.016352884	1.0520329e-07	1.9006505e-07	0.40821496	2.3518204e-08
priorregion1_spot_29	3.295119e-07	1.7773809e-07	0.99999714	1.1586527e-06	1.08122904e-07	2.0016728e-07	7.768573e-07	5.7287107e-08
priorregion1_spot_30	1.3746175e-06	6.153572e-07	0.64638	3.2084192e-06	4.2857832e-07	5.9516293e-07	0.35361373	6.339921e-08
priorregion1_spot_31	0.00015906348	0.017678274	0.09292197	0.06768526	2.2258709e-07	4.4452273e-07	0.82155466	4.5866855e-08
priorregion1_spot_32	3.3532515e-07	1.8268528e-07	0.9999948	3.554141e-06	1.2007438e-07	1.715338e-07	8.541907e-07	2.521355e-08
priorregion1_spot_33	9.056568e-07	5.276148e-07	0.9782424	4.1302405e-06	3.1244894e-05	2.5182084e-07	0.021720529	3.1714627e-08
priorregion1_spot_34	6.693575e-07	3.73655e-07	0.9999955	2.4315907e-06	1.04984316e-07	2.1818472e-07	7.054716e-07	2.9074789e-08
priorregion1_spot_35	3.2839662e-07	1.6687218e-07	0.9999977	8.554831e-07	9.2404925e-08	1.8105898e-07	6.764986e-07	2.7214238e-08
priorregion1_spot_36	1.6293106e-06	5.5984634e-07	0.99993587	6.0417085e-05	1.9092498e-07	2.3643061e-07	9.176739e-07	7.499272e-08
priorregion1_spot_37	0.00030500602	0.023947729	0.8202806	0.00013254324	4.0963263e-07	3.0332674e-07	0.1553334	6.27598e-08
priorregion1_spot_38	3.564485e-06	1.0260209e-06	0.9619302	0.028424907	4.1081447e-07	2.7036117e-07	0.009639511	6.752905e-08
priorregion1_spot_39	0.025668915	9.464471e-06	0.32194638	3.1394033e-05	1.3885087e-07	2.429013e-07	0.65234345	3.644638e-08
priorregion1_spot_40	0.41800982	4.853424e-05	0.5246099	0.05732966	7.06355e-07	4.60794e-07	6.6139694e-07	1.2700129e-07
priorregion1_spot_41	0.10738689	8.066019e-06	0.76771855	0.09375576	1.4475013e-06	3.2405293e-07	0.031128783	7.48183e-08
priorregion1_spot_42	0.010308048	0.012925065	0.93081	0.045939565	2.7791285e-07	5.538779e-07	1.6343482e-05	6.209391e-08
