,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,1.0181298421230167e-05,0.0024512520874850454,2.1774896144866944,0.0009055720700416714,0.012501142267137767,1.3407203311999183e-06,1.4057985481485958e-06,4.807976225151833e-07
priorregion1_spot_2,2.9897234981035584e-05,0.0005895275680813938,3.6414037466049196,0.000491027464158833,6.426435502362437e-05,5.131906118549523e-06,3.643292184278835e-05,0.00013063639125903136
priorregion1_spot_3,0.06328200362622738,0.019529843609780072,5.105600094795228,0.14893033131957054,0.0002873158795409836,0.030121367145329713,0.05416918862611055,0.0017347731394693256
priorregion1_spot_4,2.4535951936854877e-07,8.855184574940722e-07,1.4704989016056063,5.210071549299755e-06,0.0017543706926517189,7.976163345801981e-07,1.3616323499832108e-07,1.3065895032582375e-07
priorregion1_spot_5,6.270560993471009e-06,2.663649920577882e-05,3.1973686456680297,1.0332008605473674e-05,0.00010903882503043862,0.00019275541417300703,0.0003045016768737696,3.0083980254858042e-05
priorregion1_spot_6,0.0007111343875294551,0.0018309470324311405,2.949760329723358,6.067230970074888e-06,0.0017813959799241276,4.924784593640653e-06,1.9664647061290457e-05,9.829906161940019e-07
priorregion1_spot_7,1.7859420154309193e-06,2.176278048864333e-05,3.07979861497879,0.0008737199765164405,0.01756381168961525,3.013134016782715e-06,1.4140460416456336e-05,6.960320570215117e-05
priorregion1_spot_8,0.00011357508083165158,0.0018898545647971334,4.238865685462952,0.002460807061288506,0.02035618107765913,0.005360733834095299,0.011789292097091675,2.6953401174978356e-06
priorregion1_spot_9,0.0007252798590343445,0.007162712886929512,4.217149162292481,9.998580117098754e-06,0.0027673476375639438,8.376701771339867e-05,0.002595006406772882,0.0019572035700548443
priorregion1_spot_10,7.591859575768467e-05,0.010232592280954123,4.9934955596923825,0.0002448605067911558,0.02236997140571475,6.27271343546454e-05,0.00014385153917828575,0.0007213916629552841
