,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.0004550256926449947,2.0212203617120397e-05,1.035122289749779e-06,0.002538062515668571,2.548688292503357,0.02650275733321905,6.104334788687993e-05,0.7195761322975159
priorregion1_spot_2,7.883049511292483e-06,3.709902057380532e-06,5.032904397239691e-07,0.00011180692599737086,0.014478936372324825,9.490131697020845e-06,4.0249754874821525e-06,1.5763600766658783
priorregion1_spot_3,0.011967102298513055,7.844734645914286e-05,9.990471539822467e-07,0.013979193707928063,2.7162030935287476,0.00018896753681474365,0.00012941625827807003,1.3623607873916628
priorregion1_spot_4,0.00025823227188084277,0.00015050002039060926,1.1170884022249084e-06,0.002850609365850687,0.5410447090864181,0.00020889430525130592,0.0007770304509904236,1.2789247870445253
priorregion1_spot_5,8.981428436527494e-06,5.078212439002527e-06,6.427420303225518e-05,6.668084938610264e-06,0.15034924671053884,0.0001472685551561881,6.60500038520695e-06,0.845397675037384
priorregion1_spot_6,9.40894831728656e-05,7.284412422450259e-05,2.076001228488167e-05,1.2434698965080317e-05,0.000535854505142197,0.004073892743326724,0.0006161114637507127,2.000097739696503
priorregion1_spot_7,0.00027479827695060517,5.0605886644916606e-05,2.2222151230266718e-07,3.401571102585877e-05,0.00414721048437059,0.0024014027439989154,8.253761234300327e-06,1.1579995453357697
priorregion1_spot_8,1.5977566545188892e-05,9.019713288580534e-05,1.0918262944414892e-06,0.0027605087030678987,0.03658740967512131,6.226673622222734e-06,3.0109806971267977e-06,1.177852499485016
priorregion1_spot_9,1.3808330606934767e-06,1.1045328108139074e-06,5.2146707929523474e-08,7.827682452443697e-07,1.2209876740598703e-05,5.903835130993685e-07,3.3318766412548944e-07,0.9009111642837524
priorregion1_spot_10,2.6659329137146417e-06,7.5076121220263305e-06,0.001238068233942613,5.41980411981058e-06,0.05379278510808944,2.9729224820584935e-06,7.5119703751624914e-06,1.055135613679886
priorregion1_spot_11,9.609827384338133e-06,2.43637599851354e-05,3.564371667152956e-07,1.0528557368161273e-05,0.00040401029400527477,2.070198956971581e-06,1.3798607778880979e-05,1.314748227596283
priorregion1_spot_12,3.948625430894026e-06,3.1165750556283453e-06,4.6153109565238994e-07,0.0004317417871789076,0.1006913110613823,5.812283416162245e-06,2.515964761187206e-05,1.1364120721817017
priorregion1_spot_13,0.01032689018175006,3.57037146386574e-05,6.393244007085741e-07,0.004544668621383607,0.00016970302676782014,1.1499295396788511e-05,9.113085143326316e-05,1.162681484222412
priorregion1_spot_14,7.645416008017492e-06,9.03094737623178e-06,5.379037389730002e-07,6.1607902352989186e-06,0.005276853078976273,4.0532503044232725e-05,0.0013705363147892059,1.3458273053169252
priorregion1_spot_15,0.0012509019114077093,1.2938652025695773e-05,1.49516807823602e-06,4.848898788623046e-05,0.4646561086177826,2.7061114269599788e-05,0.004037319263443351,1.379369568824768
priorregion1_spot_16,8.363610322703608e-06,1.1965037231220777e-06,4.070276062861922e-07,3.352427381742019e-06,0.00042894130019703884,4.336557913120487e-06,1.4920194246315078e-06,1.006747579574585
priorregion1_spot_17,4.2927471440634685e-06,2.0419815791683503e-05,2.5788346960098355e-07,9.648589866628754e-06,0.10891278423368932,6.129057283033036e-06,3.909528350050095e-05,1.1914409458637236
priorregion1_spot_18,5.2301029427326284e-05,3.075009099120507e-05,1.2524755845788605e-07,4.747024877360673e-06,0.18712306693196298,6.148252668936039e-06,2.91534861389664e-05,1.3144969642162323
priorregion1_spot_19,4.910501138510882e-06,2.886398647206079e-06,1.492077007014814e-06,0.001505847240332514,0.16549245417118072,0.0001700358247035183,0.00011941389057028573,1.0208477079868317
priorregion1_spot_20,5.3605023094860374e-05,3.6800115594815e-05,2.07013798672051e-06,1.318199215347704e-05,0.2558924689888954,1.2831185313189054e-05,0.0016194962488953026,1.4796179175376891
priorregion1_spot_21,1.5902310860838042e-05,1.4251600214265638e-05,1.012203256323119e-06,1.3116073887431412e-05,0.0005977152934065089,1.1932740426345846e-05,3.225324928735063e-06,1.4736244082450867
priorregion1_spot_22,0.0005362004245398566,9.538865633658133e-05,8.136195356200915e-05,4.868644628004404e-05,0.0026454267906956376,3.651084462035215e-05,2.8768474840035198e-05,1.6590591907501222
priorregion1_spot_23,8.229692048189463e-06,1.2737835004372754e-05,4.0076729277416236e-07,6.824342699474073e-06,0.00024125863710651173,1.594639525137609e-05,0.000411387681378983,1.5124816596508026
priorregion1_spot_24,7.063258954076446e-06,1.6732229823901437e-06,1.3741311875037354e-07,1.3037126677772904e-06,0.2193613812327385,1.8147991795558483e-06,7.754985148267225e-07,0.7599988698959351
priorregion1_spot_25,2.1840891918145647e-06,1.601322719579912e-06,0.0005265184183372185,0.0009329484106274321,0.00012319194647716358,2.4025387938308997e-05,6.147019462332537e-06,1.303027057647705
priorregion1_spot_26,0.00016264082951238383,0.0002496888060704805,8.207402515836295e-07,4.846508436457953e-05,1.0124533951282502,5.5652370247116794e-05,0.00015906594999250955,1.2491014122962951
priorregion1_spot_27,9.128552301262971e-06,0.00010836804431164638,3.416839732039989e-07,0.00043801468709716576,0.00039241598278749734,2.4273795679619068e-05,7.59486474635196e-06,1.6977618217468262
priorregion1_spot_28,7.810084116499639e-06,4.899939040114987e-06,1.6157734563648777e-07,2.2807647201261717e-05,0.010549856629222632,2.03870217774238e-05,1.1039619153052626e-06,1.1486620068550109
priorregion1_spot_29,0.013072215393185616,0.00031619717628927907,0.0040259302593767645,0.0007002460974035784,0.4522497981786728,8.842810748319609e-05,8.813955764708225e-06,1.5684159517288208
priorregion1_spot_30,0.00014362602378241717,0.0037536901771090926,1.034114666254027e-06,0.002648450166452676,0.002119985199533403,0.00011353751469869167,0.003273645485751331,2.429231035709381
priorregion1_spot_31,4.074968569511839e-06,7.72540099660546e-06,3.4656896588103334e-07,0.0004590310520143248,0.22925218120217322,4.506730329012499e-06,2.2883788278704746e-05,1.2994105994701386
priorregion1_spot_32,0.00022698452812619507,7.4516858830975256e-06,3.531761905151143e-07,3.0537497059413e-05,6.122912345745135e-05,8.747934816710768e-06,7.355166030720284e-06,1.731811237335205
priorregion1_spot_33,1.2031978440063541e-05,6.946694702492096e-06,1.1979295152286794e-06,3.2414029556093736e-05,0.145427805185318,5.5438561730625234e-06,1.1619738961599068e-05,1.2299065291881561
priorregion1_spot_34,3.136866762361024e-05,6.476851885963696e-05,6.746129201928852e-07,6.717088581353892e-05,0.12524159699678422,2.368087170907529e-05,0.0013263699656818062,1.2563993036746979
priorregion1_spot_35,7.575612253276631e-05,3.5850270433002154e-05,8.910797561156869e-07,7.1770551357985825e-06,0.0003007834558957257,0.0011542619788087905,3.0216512823244563e-05,0.9760382205247878
priorregion1_spot_36,0.000514518641284667,3.314813930046512e-05,7.807847687217873e-05,0.00010596596002869774,0.00016843970588524825,1.7635048970987557e-05,0.00031656530773034326,1.5744492888450623
priorregion1_spot_37,1.320573630891886e-06,1.0431000248445343e-06,0.00045558338024420664,0.0007536827470175922,3.139880973321852e-05,2.4599086827947756e-06,0.0002073269512038678,1.0185810148715972
priorregion1_spot_38,8.907090489174152e-07,4.1008672013731495e-07,1.9455444544291822e-06,2.42548563278433e-07,2.93718365355744e-05,1.5501086139124707e-07,1.3456955088031465e-07,0.28350175023078916
priorregion1_spot_39,0.009960576379671692,0.0008329472737386823,6.2811761267767e-07,0.000449589648633264,0.00014023908952367491,5.37996311322786e-05,0.0002880480256862938,1.2798065662384033
priorregion1_spot_40,9.779685424291529e-05,1.926956119859824e-05,3.8561255877311856e-07,8.137983240885661e-06,0.0009118468093220145,4.213999964122195e-05,0.003689015901181847,1.2605319142341613
priorregion1_spot_41,2.6937565689877377e-05,0.0005559514538617805,5.783935080216907e-07,0.001591296202968806,0.23606446161866187,9.847055798672956e-06,0.0001771301540429704,0.9538777530193329
priorregion1_spot_42,5.6161726752179676e-05,0.00014580930292140692,6.762075088317943e-07,7.864825965953061e-05,0.001354556193109602,7.110959340934643e-05,9.501180647930596e-06,2.2124584555625915
priorregion1_spot_43,1.1570982951525367e-05,1.6411284013884143e-05,1.227244119661464e-07,3.96171406009671e-06,0.02373641971498728,5.8540576719678936e-05,1.2060489723353386e-06,1.1688021659851076
priorregion1_spot_44,1.0800013569678413e-05,4.142926377426193e-06,0.0013082636462058872,1.5078814976732247e-05,0.00020043475087732078,5.9224118194833865e-05,6.240081756914151e-06,1.284133678674698
priorregion1_spot_45,0.0005474001314723864,0.0014064958377275616,1.1741760818040348e-05,0.0002012858800299,2.3855481863021852,0.0005144108465174213,0.004650108772329986,1.335359525680542
priorregion1_spot_46,0.00010590293240966275,3.9660848960920704e-05,5.60368530955202e-07,1.5623172112100294e-05,0.33076477199792864,6.1295143268580435e-06,7.192959697022161e-06,1.3178215324878693
priorregion1_spot_47,8.092422103800346e-06,4.409757207213261e-06,6.246314768532103e-07,0.001860194344772026,0.03890051990747452,2.995373449721228e-06,2.0904442226310494e-05,0.8042258441448212
priorregion1_spot_48,6.58200809994014e-05,1.997589606617112e-05,9.314424744388817e-07,2.0094959472771735e-05,0.0006878988817334176,0.004235546430572867,0.0020301333512179553,1.590866219997406
