,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.000594111648388207,6.36793972716987e-06,0.13207791671156882,1.037796714626893e-05,1.090873819589615,4.979896812074003e-06,1.4450606443006108e-06,0.9285467088222504
priorregion1_spot_2,3.049435997581895e-06,7.5953005080009475e-06,7.85672960773809e-05,3.034988492345292e-06,0.7819059878587722,1.2367682245439937e-06,2.624669991746487e-06,0.6590932190418243
priorregion1_spot_3,3.8189368024177386e-05,7.204028261185159e-05,0.3035663619637489,2.5750513032107848e-06,0.9435503602027894,9.793004073799238e-06,7.240371110128763e-06,0.8286573231220246
priorregion1_spot_4,0.0009699756599729881,3.760052629786515e-06,6.88660999003332e-05,2.3828306083828465e-07,0.5355170100927353,3.7222751814169897e-07,5.973724398700142e-07,0.6300033569335938
priorregion1_spot_5,1.540915917530583e-06,6.935863325452374e-07,0.9791648834943771,1.8783567668378966e-06,0.8912391602993012,9.505897281769648e-07,2.3449467789760092e-06,1.6482241420590072e-07
priorregion1_spot_6,0.015443259570747615,0.0002630264410981908,7.533883241706008e-08,4.27599861723138e-06,0.4716529205441475,3.4912480714410777e-06,2.4674386531842176e-05,0.6800764769315719
priorregion1_spot_7,6.507302805403015e-06,8.737675034353741e-06,2.6090848308513166e-07,4.219865331833717e-07,0.7930793553590775,8.098721955320797e-05,0.00027217283350182696,1.3205260932445526
priorregion1_spot_8,2.6715060175774852e-05,1.087162954718224e-05,4.839992783445269e-07,1.7133676101366292e-05,0.0011440316098742188,2.502235702195321e-07,2.56314256148471e-06,1.446310669183731
priorregion1_spot_9,3.9067340912879446e-05,3.7832958810213313e-06,3.127247500955832e-08,3.842443322810141e-06,0.12801580503582954,0.00024596348375780506,8.909228672564497e-05,0.9771946400403977
priorregion1_spot_10,7.610944817315613e-06,2.1233499637673963e-06,0.29285991787910465,3.0737380939172e-06,0.4642537087202072,1.185304944328891e-06,4.673721900871897e-06,0.6424367219209671
priorregion1_spot_11,2.1267287138471147e-05,1.985843266538723e-06,3.722322219346097e-07,4.216794932290213e-05,0.8431823581457137,8.584285126289616e-07,1.5409024797463645e-06,0.23013175055384635
