,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.01927497824653983,1.6889669768715976e-05,4.314385724067688,0.007907313061878085,0.017479556240141393,0.00031776685646036637,0.011002382962033153,0.005194444651715457
priorregion1_spot_2,0.0014559782517608254,2.713275207497645e-05,1.0036093726739637e-05,0.015957683511078357,0.0033747745561413466,0.00032175776141230017,3.460625112056732,0.003680829762015492
priorregion1_spot_3,0.012540541496127844,7.298980563064107e-05,2.1686601877212524,0.0007896286726463587,0.009525785455480218,0.021585702989250423,0.05068397670984268,0.0012320350972004235
priorregion1_spot_4,8.22827951196814e-06,1.608096235941048e-05,1.192114394903183,0.005562336649745703,0.01734747486189008,8.59157709783176e-05,4.735908555984498,3.217351350031095e-05
priorregion1_spot_5,0.00803832351230085,0.012926919758319853,1.861110782623291,8.972045725386125e-06,0.0440141586586833,0.010465632379055024,3.9226444959640503,0.00361592099070549
priorregion1_spot_6,0.010350965103134513,0.0014004579104948788,2.4862015128135684,0.0016185651416890324,0.019117148593068123,0.17749199867248536,1.7156038582324982,0.0006744134851032869
priorregion1_spot_7,3.5056932574661914e-05,0.0006382347870385275,2.615066075325012,9.677263369667343e-06,0.004474438237957656,8.174605573003646e-05,2.677017092704773,2.0433071040315556e-05
priorregion1_spot_8,0.00033957321138586847,0.00039629828825127333,0.7917017072439194,0.0008819659764412791,0.0007301086676307023,0.003551274654455483,4.252167296409606,0.007719468069262802
priorregion1_spot_9,1.070086555046146e-05,1.2087817867723063e-05,2.0594255208969114,5.7888441460818295e-06,0.018144261743873357,0.00014788472471991554,0.8417630940675735,0.001763112744083628
priorregion1_spot_10,0.001240944879828021,4.2997014588763705e-06,1.5551303982734679,4.693839691753965e-05,7.586150204588194e-05,0.0009163886599708349,0.8390746116638184,0.0014375666505657136
priorregion1_spot_11,0.00017419833020539954,0.001560425094794482,1.1914659321308136,2.7135586151416646e-05,0.009783015539869667,3.864954069285887e-05,0.6693570971488952,3.3062667625927138e-06
priorregion1_spot_12,0.00010534727516642307,3.587648279790301e-06,2.2725991964340206,0.002350168861448765,0.009269351232796909,3.2390663727710495e-05,0.8653422951698303,0.002535760507453233
priorregion1_spot_13,0.0007148338743718342,0.0021842833841219547,1.6021295547485352,0.00018672067672014238,0.03730500508099794,0.0034936114097945396,6.343412899971009,0.003960075951181352
priorregion1_spot_14,4.997352825739654e-05,2.9986737899889707e-05,2.44026004076004,0.0001410605400451459,0.00999266877770424,8.424291445408016e-05,2.108584403991699,0.004586440534330905
priorregion1_spot_15,1.4476246292360884e-06,1.1181956381278723e-06,7.180055831668142e-07,5.417220586423355e-06,0.018740687239915132,0.0001832236688642297,1.581402736902237,0.00229580057784915
priorregion1_spot_16,0.021308384742587803,2.9450656438712037e-05,2.2235856771469114,0.0001920067734317854,0.0005528147943550721,2.9859353799110983e-05,2.385701012611389,9.302000435127412e-05
priorregion1_spot_17,2.5102167819568424e-05,2.0832043992413675e-05,0.8650099605321885,4.457164777704748e-05,0.009747980022802949,5.994119128445164e-05,3.9853549957275387,0.001966440968681127
priorregion1_spot_18,7.68267418607138e-06,1.4846981412119932e-05,0.7598710507154465,0.0024261049926280974,0.010242740577086806,0.0021088316920213402,3.1880013823509215,0.0007280900434125214
priorregion1_spot_19,0.02076034676283598,0.00813893941231072,1.9058762192726135,1.948632489074953e-05,0.014885212434455753,0.032282817736268045,1.717151826620102,0.003407646983396262
priorregion1_spot_20,8.911218465073034e-05,0.0007682390161789954,0.2504359200596809,2.2283766725195164e-06,0.0007972274732310324,0.00022669758400297726,2.0055752873420714,1.7578214374225352e-05
priorregion1_spot_21,4.21715747052076e-06,1.5049076353079728e-06,1.7387046754360198,2.157635503863276e-06,0.009039143705740571,0.004354169755242765,0.4481840804219246,1.762206702551339e-05
priorregion1_spot_22,0.03098015282303095,1.3248527284304145e-05,0.003467771294526756,0.05258359611034393,0.015379171818494797,1.6158924609044337e-05,3.566631639003754,4.972028222027803e-07
priorregion1_spot_23,7.646563863090705e-05,0.0008067454939009622,0.2676585376262665,9.053576923179207e-06,0.017382528446614743,0.0005371567443944514,3.629203498363495,3.0924943985155553e-06
priorregion1_spot_24,8.75616507983068e-05,0.013672025362029671,0.6950209677219391,3.02070250199904e-06,0.01481826938688755,6.901831220602616e-05,2.6728006482124327,0.0024131217156536876
priorregion1_spot_25,0.006245743739418686,0.0008700787293491885,1.9220268726348877,0.0031897571519948543,5.284049766487442e-05,0.00012027240627503488,2.044908607006073,0.0008096893259789794
priorregion1_spot_26,3.6515587635221894e-05,0.011041972041130065,2.0063431024551392,0.00782716330140829,0.0005811261886265129,3.354861655679997e-05,3.145467793941498,0.0013142867188435047
priorregion1_spot_27,8.329501451953548e-06,0.00020698219013866038,2.5422560095787046,0.000274645647732541,0.00010668559298210312,7.792137439537328e-05,1.2551249861717224,9.750037534104195e-05
priorregion1_spot_28,0.0011137884517665954,0.00010975701516144908,2.556559944152832,0.000646754281478934,0.056288272328674796,0.006332703190855682,4.510025143623352,0.005715933209285141
priorregion1_spot_29,0.009067419031634927,5.7133676637022294e-05,2.562510585784912,0.005227952939458191,0.004441490257158875,5.490549683599966e-05,1.2678238689899444,0.0002629176873597317
priorregion1_spot_30,0.00013523794696084223,4.413148599269334e-05,2.270803141593933,0.00028199005901115016,0.0033680265420116483,9.391653220518492e-05,1.1448350608348847,4.75115789413394e-06
priorregion1_spot_31,0.007994638429954648,0.014394864952191711,2.1639739990234372,0.01108816834166646,0.3179033011198044,0.0003036610738490708,4.568217039108276,0.0033322698320262132
priorregion1_spot_32,0.0003025159268872813,0.025397430639714003,1.7076730906963349,0.00025268940808018673,0.013435539184138178,0.0009064948826562614,3.749841260910034,0.0034523603972047567
priorregion1_spot_33,2.49739029641205e-05,0.004770337999798357,1.8944097697734834,0.00012052786914864556,0.004089109250344336,7.101934570528102e-05,0.9868832319974898,0.00030671292479382827
priorregion1_spot_34,0.0006667437817668542,6.671218143310398e-05,2.211308550834656,8.183648060366978e-06,0.022823698073625564,3.8702078200003605e-05,1.4317017674446106,0.0018877493217587472
priorregion1_spot_35,5.125390198372771e-05,5.796998266305309e-05,1.5477621138095856,6.773888594580058e-06,0.000149925438745413,0.0001881868753116578,3.098326933383942,0.001459338079439476
priorregion1_spot_36,0.002049712638836354,6.911446507729124e-05,1.7235231518745424,3.5273566390969796e-05,0.00010682578067644499,0.01288726362399757,2.3810275912284853,0.00453999787569046
priorregion1_spot_37,0.03668277692049742,0.00011204368202015759,4.7663596868515015,0.0015377492178231477,0.018630321603268385,0.0002178049908252433,2.0717647552490233,0.0037891739630140364
