	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.1138636	0.88180476	0.0010985663	4.2839925e-08	3.4490276e-07	2.4246884e-07	0.0011785836	0.0020538052
priorregion1_spot_2	0.00254605	0.9964212	1.2769206e-07	7.250625e-08	2.7717016e-07	0.0010320597	1.3936238e-07	1.4910484e-07
priorregion1_spot_3	0.04217007	0.9515232	0.0004855899	4.204057e-08	0.0058197873	9.877841e-07	9.247284e-08	2.5744106e-07
priorregion1_spot_4	0.0025442655	0.98987937	2.617205e-08	0.0015893328	0.0010981329	0.0012723194	7.108605e-08	0.0036163789
priorregion1_spot_5	0.1591671	0.84012383	5.1651675e-08	0.00014211838	6.2748036e-08	1.0258825e-05	0.00055642606	5.6083653e-08
priorregion1_spot_6	0.04264403	0.9522484	1.4424526e-07	4.9630632e-08	5.3801267e-07	1.599118e-07	0.0029070235	0.0021997672
priorregion1_spot_7	0.16638789	0.83361125	8.3541984e-08	1.07387805e-07	9.7667e-08	2.6677367e-07	3.0204188e-07	5.9418962e-08
priorregion1_spot_8	0.026119787	0.9738793	8.1091464e-08	3.4532487e-08	6.60195e-08	2.371718e-07	1.1597995e-07	4.4570686e-07
priorregion1_spot_9	0.063283786	0.93452793	4.8584248e-08	7.540008e-08	6.083812e-07	0.00039068988	0.0017965193	3.291643e-07
priorregion1_spot_10	2.7958544e-05	0.9826202	5.2537665e-08	5.3347406e-08	1.5751344e-07	0.0048724916	1.8957431e-07	0.012478902
priorregion1_spot_11	0.0707504	0.92126346	1.3756673e-07	1.3165705e-07	0.004017117	0.0031789052	0.0007895519	3.289324e-07
priorregion1_spot_12	0.050547004	0.94756585	6.6280805e-08	4.78239e-08	9.0540595e-08	1.3003172e-06	1.13853055e-07	0.0018855194
priorregion1_spot_13	0.016427036	0.9727048	1.3731007e-07	3.7759327e-07	0.0033349816	0.0002837583	2.539686e-07	0.007248769
priorregion1_spot_14	0.017989008	0.9795229	6.736295e-08	7.3311256e-08	0.002487383	3.3233042e-07	1.5099452e-07	1.5362878e-07
priorregion1_spot_15	0.014770223	0.97612906	8.590126e-07	4.0354088e-08	0.009099193	1.102242e-07	1.5707488e-07	3.274207e-07
priorregion1_spot_16	9.6397605e-05	0.9971728	7.911256e-08	1.8815253e-07	7.768123e-08	0.002729767	8.253767e-08	5.3466755e-07
priorregion1_spot_17	0.043234296	0.9552455	7.121701e-07	0.0015189624	8.615235e-08	1.7227379e-07	1.4752301e-07	1.06508715e-07
priorregion1_spot_18	0.016170878	0.9765439	0.001138251	5.8342227e-08	9.6174425e-08	0.0016566018	0.00034106045	0.004148975
priorregion1_spot_19	0.0464907	0.94714963	5.620553e-08	0.0014493905	0.00490857	9.440029e-07	7.720394e-08	7.0256397e-07
priorregion1_spot_20	0.06545699	0.93229187	8.7586066e-08	0.00013974002	1.55494e-07	4.1059437e-07	0.0021106978	1.9750506e-07
priorregion1_spot_21	0.01749842	0.968877	7.802363e-08	0.0058554644	1.1745444e-07	7.295155e-05	2.9791772e-07	0.0076957266
priorregion1_spot_22	0.012843669	0.9833032	3.874594e-08	5.1493487e-08	9.2531955e-08	0.002814226	0.0010385527	1.9070943e-07
