	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	7.19402e-08	5.395036e-08	0.9999992	3.610175e-07	1.0243859e-07	1.08489914e-07	1.1505164e-07	3.257452e-08
priorregion1_spot_2	7.2732325e-07	1.0541902e-07	0.99999875	1.2705335e-07	9.75315e-08	9.3265946e-08	1.2750125e-07	2.3913527e-08
priorregion1_spot_3	1.2776344e-07	4.492799e-08	0.5959799	5.721531e-08	6.549388e-08	1.1677963e-07	5.1938684e-08	0.40401956
priorregion1_spot_4	0.0040847887	0.0016768519	0.24837431	0.007938186	0.0004227248	0.0071349386	0.012711158	0.717657
priorregion1_spot_5	2.795393e-07	0.0014485962	0.26907027	0.0014068787	3.2784493e-07	5.962611e-07	2.798391e-07	0.72807276
priorregion1_spot_6	5.698781e-08	4.5195083e-08	0.99999946	1.8273812e-07	4.968941e-08	1.16447445e-07	9.179507e-08	2.8176254e-08
priorregion1_spot_7	1.1043438e-07	5.032081e-08	0.99999934	8.742343e-08	6.109264e-08	9.4702266e-08	9.277346e-08	3.5681172e-08
priorregion1_spot_8	3.6950792e-07	2.5720158e-07	0.9981663	3.153573e-07	1.3398234e-07	1.2613889e-07	0.0018322958	7.4774356e-08
priorregion1_spot_9	3.83893e-08	2.7365894e-08	0.5294586	8.76689e-08	5.532615e-08	7.938778e-08	4.2330758e-08	0.47054112
priorregion1_spot_10	0.0021257943	1.7586797e-06	0.41254583	1.0616344e-07	7.3982477e-07	1.4738787e-07	0.0023072471	0.58301836
priorregion1_spot_11	3.625567e-07	1.8191164e-07	0.99975383	2.4493295e-07	9.275061e-08	0.0002450295	2.785582e-07	3.9308425e-08
priorregion1_spot_12	6.045069e-08	4.757735e-08	0.37584332	7.6635e-08	0.020952664	6.01858e-08	5.8878737e-08	0.6032037
priorregion1_spot_13	2.2986468e-07	9.017902e-08	0.9777713	0.0002159753	0.021277975	8.197192e-08	0.00073416764	1.6011506e-07
priorregion1_spot_14	1.9231021e-07	6.3940796e-08	0.9999994	8.384581e-08	3.2866073e-08	8.902505e-08	6.382954e-08	1.4387607e-08
priorregion1_spot_15	1.6681604e-07	7.5366636e-08	0.24307637	3.631573e-08	0.0051450464	8.484667e-08	5.3334027e-08	0.7517782
priorregion1_spot_16	0.0007648107	2.958039e-07	0.2038525	0.0036284034	6.428873e-08	5.165566e-08	2.6843125e-08	0.7917538
priorregion1_spot_17	0.00051965733	0.0017786742	0.42770243	5.8527952e-08	2.7521605e-07	8.8065576e-08	4.271647e-07	0.5699984
