	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.00148318	3.4568902e-07	0.54796064	0.0441371	0.009521549	0.02163051	0.37526652	1.7133948e-07
priorregion1_spot_2	4.0519035e-07	3.8080273e-07	0.8484279	2.593915e-07	0.00036676272	0.006604741	0.14459945	8.5009816e-08
priorregion1_spot_3	1.903335e-07	2.290712e-07	0.5869381	7.58413e-08	1.260495e-07	0.00154015	0.4115212	3.036999e-08
priorregion1_spot_4	0.00070508255	7.845246e-07	0.7183132	0.056702062	1.01548685e-05	0.015526698	0.20548753	0.003254591
priorregion1_spot_5	3.092973e-07	2.115683e-07	0.54291564	0.08189079	1.1999987e-07	0.007092187	0.36810067	6.163873e-08
priorregion1_spot_6	0.0006586724	2.5488018e-07	6.8731987e-07	0.5821554	3.6108295e-07	0.0025606405	0.41462383	9.117908e-08
priorregion1_spot_7	0.0069593135	1.4152904e-06	0.41763607	0.20081493	0.0057032527	0.02534306	0.34354192	1.4173985e-07
priorregion1_spot_8	1.2267456e-06	7.419001e-07	0.4717248	0.3144112	0.00056307693	0.026919736	0.186379	2.0586944e-07
priorregion1_spot_9	0.001225421	0.00021764093	0.8757025	0.000342815	4.4231803e-07	0.0012541277	0.12125696	8.4551495e-08
priorregion1_spot_10	2.9859572e-07	3.229433e-07	0.36965385	0.4411858	0.0013337395	0.022488818	0.16533677	3.332776e-07
priorregion1_spot_11	2.107264e-07	2.1378877e-07	0.13034932	0.43563572	7.855757e-08	0.005811577	0.42820278	4.9545857e-08
priorregion1_spot_12	0.00048089167	3.1083272e-07	4.5327548e-07	0.6832121	1.2048788e-07	0.022294428	0.29401165	6.816765e-08
priorregion1_spot_13	0.0037597625	2.8561665e-06	0.37621465	0.44094506	3.4871093e-07	0.011804715	0.16727255	1.0065161e-07
priorregion1_spot_14	1.827238e-05	4.847123e-07	0.76488024	0.09138356	4.371177e-05	0.0025301566	0.14114337	2.7565025e-07
