	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	7.1121866e-07	0.0017289097	4.4398753e-08	0.05027908	2.3411431e-07	0.0007638167	4.154922e-08	0.9472272
priorregion1_spot_2	5.08657e-08	3.5336488e-08	0.0001222548	0.051790513	1.4550882e-07	2.2802672e-07	3.743894e-08	0.94808674
priorregion1_spot_3	2.0836941e-07	4.650539e-08	1.9332155e-07	0.025832778	0.005024743	2.4422835e-08	1.8502917e-08	0.969142
priorregion1_spot_4	2.8494085e-07	5.8172414e-08	0.0009889355	0.09672043	0.008408411	0.0016833168	1.5372333e-07	0.89219844
priorregion1_spot_5	1.1995415e-07	2.281169e-08	1.4583181e-08	0.018076425	1.9197174e-07	5.192798e-08	2.2896428e-08	0.9819231
priorregion1_spot_6	6.2672235e-08	8.8756536e-08	0.0015660863	0.079608336	3.1340494e-06	9.468158e-08	1.500629e-08	0.9188221
priorregion1_spot_7	8.7301395e-08	6.615483e-07	0.00014809729	4.9724967e-08	5.214692e-07	3.7799587e-08	3.356312e-08	0.99985045
priorregion1_spot_8	2.3710328e-07	0.00045397022	0.0007784099	0.10762617	1.3861865e-07	0.0011906872	0.0019500785	0.8880003
priorregion1_spot_9	5.986032e-08	1.1027897e-06	3.356981e-08	0.13256642	1.2595957e-07	4.1336666e-08	9.22589e-08	0.8674321
priorregion1_spot_10	3.326096e-08	3.317163e-08	0.00056814234	0.13875571	1.1425558e-07	5.8012557e-08	3.300165e-08	0.86067593
priorregion1_spot_11	5.7801003e-08	9.107887e-08	0.00025517648	0.05260689	1.3909757e-07	0.00040350208	0.0002105322	0.94652367
priorregion1_spot_12	4.779385e-08	4.4914575e-08	1.1674149e-07	0.9947259	4.5591086e-08	0.0022686515	9.477244e-08	0.003005113
priorregion1_spot_13	4.658153e-08	3.849778e-08	3.73716e-08	0.08089912	0.0004708365	1.1354195e-07	4.4571507e-08	0.91862977
priorregion1_spot_14	1.01423886e-07	4.9433684e-08	3.9705313e-08	0.017311828	0.0025404845	9.0411774e-08	2.3884263e-08	0.9801474
priorregion1_spot_15	6.213715e-08	7.14101e-08	3.760499e-08	0.15075916	1.6572593e-06	1.9047272e-07	6.476359e-07	0.84923816
priorregion1_spot_16	2.9836396e-08	1.2346834e-07	0.00046617974	0.05090641	1.5578883e-07	0.00083476765	0.0016727105	0.94611967
priorregion1_spot_17	0.0010502904	1.4222402e-07	7.448815e-08	0.20335537	1.7402192e-07	0.000847702	1.1437569e-06	0.7947451
priorregion1_spot_18	5.3828035e-07	0.0007220396	2.3787619e-08	0.07272068	1.7332528e-07	0.0007630157	4.022113e-07	0.9257931
priorregion1_spot_19	3.9332313e-08	3.028e-08	1.9674665e-08	0.0668504	1.093645e-06	0.0026801934	8.890458e-08	0.93046814
priorregion1_spot_20	1.7482629e-08	1.0251952e-08	2.6685056e-08	5.6180923e-08	7.0198375e-08	2.5051298e-08	2.2033339e-07	0.9999996
