,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,3.9007805571600326e-05,0.0008257041801698506,1.1293402167211754e-06,0.17066707983613016,2.3430014880432282e-05,3.979141965828603e-05,6.683091413606235e-07,0.39241468012332914
priorregion1_spot_2,1.6681655552019948e-06,1.6716180084586085e-06,1.782133313099621e-05,0.2646850302815438,5.326259815774393e-06,6.1775276890330145e-06,2.584442597708403e-07,0.5740668058395386
priorregion1_spot_3,2.5192719385813694e-05,2.0626795594580476e-05,5.009286019230786e-06,0.1245111707597971,0.011511182598769666,1.376612698322788e-06,2.199148730142042e-06,0.5875549703836441
priorregion1_spot_4,0.0005284837738145143,8.924902285798452e-05,0.002452154259663075,0.5876132875680923,0.01932931626215577,0.004462602222338319,4.62435757071944e-05,0.737966337800026
priorregion1_spot_5,2.7816894544230308e-06,1.4463821401022871e-06,5.384858241086476e-07,0.07475831024348735,2.721969269714464e-06,1.0477582009116306e-06,4.931488930992601e-07,0.5622840017080307
priorregion1_spot_6,9.705081492938916e-06,1.6451052943011746e-05,0.0013107214414048941,0.36749415546655656,0.00014836394038866276,5.9699924804590405e-06,4.796761601255639e-07,0.5256172597408295
priorregion1_spot_7,1.1240888568408991e-06,3.303076719021191e-05,2.4199357449106176e-05,6.978404235269408e-06,7.921715223346837e-06,4.884895332679662e-07,3.909818428837753e-06,0.592384186387062
priorregion1_spot_8,1.4295856590251788e-05,0.0019042880041524768,0.0005971040984150023,0.561896076798439,2.807328673952725e-05,0.00026939738454530017,0.001865124236792326,0.5528216451406479
priorregion1_spot_9,3.98536542434158e-06,0.00010600838686514182,1.989787790535047e-06,0.452472174167633,7.93764002082753e-06,2.3555257371299376e-06,3.761616899282672e-05,0.3510835081338882
priorregion1_spot_10,5.016536943003303e-06,1.2928789874422366e-05,0.000662704516435042,0.7416931122541427,5.144852875673678e-05,8.472455374430864e-06,2.710063006361452e-06,0.5266527712345123
priorregion1_spot_11,4.403941511554877e-06,4.891770254289441e-06,6.847989857305948e-06,0.23281369134783747,1.1280702756266691e-05,0.00021538438231800684,1.8975282273459015e-05,0.5209901809692382
priorregion1_spot_12,1.996609296384122e-06,2.2831063688499853e-06,1.1167104105425097e-06,1.44998459815979,0.00011502846537041478,0.0010943203000351787,1.3450409323922942e-05,0.0006311389181064442
priorregion1_spot_13,1.1983398394477264e-06,2.9436999739118624e-06,1.1793528528869502e-06,0.5037680923938751,2.5376697340107058e-05,3.278197812051076e-06,1.691650077191298e-05,0.801967054605484
priorregion1_spot_14,4.067714257871558e-06,5.032256262893497e-06,1.9957037920903534e-06,0.05953681468963623,0.00200904164230451,2.8737189836647303e-06,1.1837958027172135e-06,0.5186284095048904
priorregion1_spot_15,6.155909750304999e-06,4.441764285729733e-05,6.113899758020126e-06,0.9709703296422959,0.00020864544421783648,1.1766738953156163e-05,0.002743220329284668,0.6458175212144852
priorregion1_spot_16,1.7096372005198647e-06,4.703283539129189e-05,0.00034559100022306665,0.12862687930464745,9.963971642719116e-05,2.65400231910462e-05,0.00020956398439011536,0.3313982382416725
priorregion1_spot_17,7.076451656757855e-05,1.338803276667022e-05,9.892769753605536e-07,0.6111550748348236,7.496557773265523e-05,0.00021744612604379654,2.8690428007394078e-05,0.2819490432739258
priorregion1_spot_18,6.712482399962028e-06,1.1627758522081423e-05,9.646046964917333e-06,0.3245648369193077,1.9551538480300225e-05,1.857208899309626e-05,5.365539273043396e-05,0.4734475165605545
priorregion1_spot_19,1.0331928194773355e-06,1.7262209496493598e-06,5.710557303473252e-07,0.23295885398983954,1.864391851995606e-05,6.638679551542737e-05,5.129261512593075e-06,0.396777917444706
priorregion1_spot_20,1.8800987291456295e-07,1.86989679917815e-07,2.0449328204108496e-07,1.56809093141419e-06,4.116513991903049e-06,5.653001039718219e-07,1.9337093590365837e-06,0.4212124854326248
priorregion1_spot_21,1.6256534024705616e-06,2.4067780373115966e-06,4.021926451969194e-06,0.8403211325407028,4.571719546220266e-05,1.7568433065662248e-06,1.4050874767690403e-06,0.33951798230409624
priorregion1_spot_22,1.2024973671032059e-06,9.937191975950554e-07,0.000674784547300078,0.2535379961133003,7.244500307024282e-06,0.00010675784797058441,9.872421344425675e-07,0.7216524749994278
priorregion1_spot_23,2.58990956353955e-05,0.00105556053458713,1.110140379978475e-06,0.5204492032527923,8.234609922510573e-05,1.8071637214234214e-06,4.921945787828009e-06,0.3809183582663536
priorregion1_spot_24,1.6744124195611221e-06,1.1513765866766336e-05,3.1821748393667806e-06,0.8430912435054779,2.8690299768641128e-05,8.606481088690998e-07,1.4111475229583447e-05,0.381327985227108
priorregion1_spot_25,3.611800584621961e-05,0.0039187626680359244,1.0323399465050897e-06,0.5289286941289901,8.549033664166928e-05,1.2274567188796938e-05,1.1118982513380617e-06,0.38576269000768665
priorregion1_spot_26,2.8914345148223226e-05,0.0001862787663412746,5.41278501486886e-07,0.14208868965506552,1.3320918151293883e-05,3.6063010384168595e-06,2.76613768619427e-06,0.4380440339446068
priorregion1_spot_27,1.1334259340856078e-06,4.2176542223160143e-07,2.2354986595019e-05,0.11407006755471229,2.217574080987106e-06,1.8082700307786584e-06,1.8430598061058848e-07,0.2766829997301102
priorregion1_spot_28,6.016913204121011e-07,1.4707370326050295e-06,2.1531633024096663e-06,0.17037032395601273,2.791057045214984e-06,1.0654809159404979e-06,2.8051723711541852e-05,0.5195004016160965
priorregion1_spot_29,0.00024151047982741148,0.0001468052330892533,0.0005623523669783026,0.39096949398517605,0.0026978530106134715,8.415826459895471e-06,0.00045699785841861744,0.6360696256160736
priorregion1_spot_30,6.018200801918283e-05,0.0008708443026989698,1.3445255547139824e-06,0.09190297573804856,0.0016590742452535778,1.975613713511848e-06,0.00021639831247739495,0.691883185505867
priorregion1_spot_31,3.3642254720689383e-06,2.6978221058016064e-06,1.2402547667988984e-06,0.58525128364563,7.619486814292033e-06,3.110148725227191e-06,4.069874557899311e-06,0.4206030145287514
priorregion1_spot_32,6.994234468038485e-06,0.002613170235417783,0.0009996311971917748,3.5217257857322695,0.018363212700933218,0.0028201331268064675,0.0002427649982564617,0.0022033492103219034
priorregion1_spot_33,4.6999250298540576e-05,0.00012013433515676298,1.6045282791310458e-06,0.5086173474788666,0.0005626744125038386,0.00015887404661043547,0.000347401546605397,0.5724768698215486
priorregion1_spot_34,4.9793114555996e-07,1.6927609465255955e-06,5.214115077478709e-07,1.4972292910897523e-05,4.424568874128454e-06,3.795091160441189e-07,5.928023767864943e-07,0.6270104378461838
priorregion1_spot_35,0.00171811020700261,7.0956393528831546e-06,0.0001081695569155272,0.4708094149827957,9.641807773732581e-05,1.7036186000041203e-05,0.0003060623625060543,0.5165288478136063
priorregion1_spot_36,1.630372462386731e-05,7.015409209998325e-05,2.772998425371043e-06,0.2563647419214249,0.011390513274818659,6.616934206249425e-06,0.001411989063490182,0.38273501098155976
priorregion1_spot_37,4.405571803545172e-06,0.0001581075368449092,1.7285770695707469e-06,1.0044572055339813,0.02818439472466707,3.5873579918188627e-06,1.2269251692487162e-05,0.8050246894359588
priorregion1_spot_38,0.000341308445786126,4.2506011959631e-05,0.00013619463934446684,0.8963088065385819,0.015949620585888623,0.0012505805992987006,3.445191541686654e-05,0.4819729268550873
priorregion1_spot_39,1.892252948891837e-05,3.261891051806742e-05,3.202560983481817e-05,0.9290273278951645,5.162441993888934e-05,0.0003126669325865805,2.243313076633058e-06,0.5218844026327133
priorregion1_spot_40,3.4813838055924863e-06,6.1914657862871545e-06,1.2603761433638284e-06,0.5789945274591446,0.00013527587288990618,4.784328581308729e-07,2.266939475248364e-06,0.5000666812062263
priorregion1_spot_41,0.004991073440760374,7.0759700975031595e-06,0.0007084736454999075,1.4527873516082763,0.013528799219056963,0.0005790303170215339,0.00047931352310115477,0.5035778045654297
priorregion1_spot_42,2.473126232871437e-05,0.003943288279697299,4.4980016809859075e-06,0.9428225368261337,3.298898027424002e-05,1.2339843260633645e-05,0.0007127063552616164,0.6750467658042907
priorregion1_spot_43,1.8835574053355233e-06,5.587546138485777e-06,4.811838820728553e-07,0.18964837417006494,4.858186021010624e-05,1.219273377728314e-06,1.3621133234664742e-06,0.4699629575014114
priorregion1_spot_44,0.002446555532515049,7.124470103008207e-05,1.0603745124626584e-06,1.1665007054805754,1.4510197888739642e-05,2.3863148180680584e-05,5.0528110932646085e-06,0.3609351396560669
priorregion1_spot_45,1.3614580950616076e-06,7.376931512226292e-06,9.37026496217186e-07,0.25387995690107346,5.988903412799118e-05,6.227965485550158e-07,8.287320440558688e-07,0.5974684357643127
priorregion1_spot_46,1.863206434791209e-05,0.003269091306719929,5.4005017091185435e-06,0.99793561398983,0.004943167138844728,7.024052174529061e-05,2.6642128796083855e-05,0.5579121887683869
priorregion1_spot_47,5.8727910072775564e-05,1.1805902568085003e-05,0.0018978143809363246,1.8180557787418365,0.00014485235733445735,0.0001189161128422711,1.9779578565248813e-06,0.46963923573493954
priorregion1_spot_48,9.977442241506652e-05,0.0008330969139933586,8.850577323755716e-05,3.5257386565208435,0.00781422178260982,0.008697198843583465,0.0007435129227815196,0.0014522514073178172
priorregion1_spot_49,2.3776937359798468e-05,0.0013759234047029168,1.580662155902246e-05,0.5759359359741211,0.0002383327577263117,3.156258003400581e-06,2.407099846095662e-05,0.48576986640691755
priorregion1_spot_50,8.394479692697133e-07,1.772718860593159e-06,1.8753884660327456e-06,0.871804377436638,2.1023989665991392e-05,1.9001180532995932e-06,1.391221076119109e-06,0.6205903500318527
priorregion1_spot_51,9.94764843653684e-07,1.6917152436235483e-06,1.1099376592937916e-06,0.7504702359437943,0.021912078931927682,1.4058369686154037e-06,4.399247191031463e-05,0.7608400702476501
priorregion1_spot_52,0.0001683424874499906,7.142634990486841e-06,0.11879203245043755,0.2745647624135017,8.448024664176046e-06,4.267941403668374e-06,1.2639629119348683e-06,0.47940550893545153
priorregion1_spot_53,1.1670683193187872e-06,1.412576688153422e-06,0.0005829919362440705,0.797941529750824,3.3529690767863943e-06,1.9611671291386305e-06,2.1233673010101485e-06,0.2023553878068924
priorregion1_spot_54,1.9973793496319558e-05,9.094382330658846e-05,0.0002450907835736871,1.249865633249283,7.584098580082356e-06,0.00038880993815837433,8.552013823646121e-05,0.6922428637742997
priorregion1_spot_55,0.0019023467262741182,8.061813350650482e-05,1.5739232253508819e-06,0.22068354859948158,0.008833793317899108,5.536147527891444e-05,0.0006112632137956097,0.3776190340518952
priorregion1_spot_56,1.0489731084817321e-05,1.1322208092678921e-05,2.257706751152e-06,1.1470749497413635,1.6566821523156252e-05,4.168955592831481e-06,0.0015922980615869166,0.504420918226242
priorregion1_spot_57,1.68210801348323e-05,9.778377852853735e-06,1.455717756471131e-06,0.06103909481316805,2.2080475719121748e-05,0.0006257445813389495,5.841299025632907e-06,0.7721100240945816
priorregion1_spot_58,4.272216847311939e-06,3.521462997468917e-06,0.000257558083103504,0.9525294989347458,0.012150812754407525,1.043003885570215e-05,8.23603227217973e-06,0.23582173511385918
priorregion1_spot_59,1.4882625328027645e-05,0.002962643001228571,1.7775376761619555e-06,1.1345842838287352,0.03825409598648548,7.91975985521276e-06,3.639487786131213e-05,0.3141244903206825
priorregion1_spot_60,6.1858550225224466e-06,5.821785453008488e-06,2.279705995533732e-06,0.9734700292348862,5.414975657913601e-05,0.00033217900054296475,1.7854573741260538e-06,0.40257411897182466
priorregion1_spot_61,0.00014396176120499152,0.001967557764146477,0.00820238357409835,1.7537991642951964,0.0012507455830927938,7.449441318385653e-06,1.984906548386789e-05,0.5809355139732361
priorregion1_spot_62,5.258840628812322e-05,3.862847424898064e-05,3.226871058359393e-06,0.7913791835308075,1.2722879409921008e-05,2.699064289117814e-05,1.1010593607352347e-05,0.5884850531816482
priorregion1_spot_63,1.6610140448847233e-06,0.00012285495213291143,3.686406401470776e-07,0.1473488762974739,1.1113088567071828e-05,3.064516556605668e-06,2.014433357544476e-06,0.6492777287960052
priorregion1_spot_64,7.335575924116711e-06,0.0006054161378415301,8.018740999204966e-07,0.29589949995279313,0.0004583771908073687,0.0010877391381654887,2.1072072740935255e-05,0.32501796185970305
priorregion1_spot_65,3.2043975807027895e-06,8.565193593312869e-06,7.818131081194224e-07,0.5842668235301971,4.937310063723999e-06,5.868472271686187e-06,3.215979143078585e-06,0.22839263901114462
priorregion1_spot_66,9.385836019646377e-05,1.2844255343225086e-05,3.337905272928765e-05,0.3364118352532387,0.00014512131456285716,0.0014118211285676808,5.7542562535672916e-05,0.734143516421318
priorregion1_spot_67,1.5132531927974923e-06,8.689875727441177e-07,6.479862975083962e-07,0.28809925466775893,6.527797631861176e-06,2.7241491011409383e-06,4.252955568517791e-06,0.32401716858148577
priorregion1_spot_68,6.0812981791968924e-05,0.0006898252526298165,2.106535530401743e-05,0.36159676015377046,0.00559855301398784,2.147052318832721e-05,0.0013462882314343007,0.4753945872187615
priorregion1_spot_69,0.00017466188364778645,0.0013641796656884253,1.5320724173761846e-06,2.7108412265777586,0.01542048892006278,0.013986586034297943,0.0028908564476296307,5.217288935455144e-06
priorregion1_spot_70,4.013720281363931e-05,2.7190060791326687e-05,1.7674501975761813e-06,0.17771834656596183,0.006153970491141081,4.951998312208161e-06,0.0006178973097121343,0.4862589254975319
priorregion1_spot_71,8.621027373010293e-05,0.0051071762572973975,3.7414042526506816e-05,0.34252499192953106,0.0012138807505834848,8.264389543910511e-05,1.6967498197573152e-06,0.6651858657598495
priorregion1_spot_72,2.411766274690308e-06,2.705428414628841e-06,6.325511606064537e-07,1.0675612390041351,2.6441117006470447e-05,7.503785400331254e-06,1.0417551675345748e-05,0.5044882982969284
priorregion1_spot_73,0.00033274247252848,3.80515670258319e-05,2.734720089847542e-06,0.7488721519708634,0.00019702478894032538,1.7850836502475432e-05,5.041318690928165e-05,0.7858261376619339
priorregion1_spot_74,1.3407203198312346e-06,1.1936886835428594e-06,7.381258569694183e-07,0.5707214206457139,0.00010821247014973779,6.4171692656600495e-06,2.5887675860758463e-06,0.5235324919223785
priorregion1_spot_75,5.945605994384096e-06,5.096598442833056e-06,8.951110828547825e-07,1.230993777513504,5.433049809653312e-05,2.1887412549403966e-05,1.2131938149195778e-06,0.3385269120335579
priorregion1_spot_76,0.000477122821030207,1.6263005818473175e-05,0.0002284335132571869,1.3925250470638275,1.427657466592791e-05,7.182792433013674e-05,9.573011220709305e-06,0.41844381392002106
priorregion1_spot_77,1.1249521276113229e-05,0.004109388985671103,0.0001078054243407678,0.4571363165974617,0.0069114338606596,8.334824087796733e-05,5.03771827879973e-06,0.6286412596702575
priorregion1_spot_78,1.6073772076197202e-05,0.00022530375063070096,9.58131610673263e-07,0.30057877153158186,0.00028481482295319435,1.4144336773824762e-05,9.84662242444756e-06,0.3573314532637596
priorregion1_spot_79,4.1489158866170336e-05,7.526375120505691e-05,0.001765914564020932,0.5882055699825287,0.0002597126527689397,3.19908642268274e-05,4.29137677201652e-05,0.45647137761116025
priorregion1_spot_80,5.420978118308995e-06,6.830005213487312e-06,0.0004284753871615976,1.5185237944126129,4.0495061875844845e-05,3.726658960658824e-05,0.002148951822891831,0.4775179907679558
priorregion1_spot_81,1.469798576181347e-05,0.00018698321218835193,6.308837691904046e-06,0.7103103250265121,1.3479178596753628e-05,2.32563154440868e-06,4.878650565842691e-06,0.44912901818752293
priorregion1_spot_82,0.00013586669738288037,1.494555699537159e-05,4.162971526966431e-06,2.112639307975769,0.008276652731001376,8.714996583876201e-05,0.0025575580075383186,0.3833476319909096
priorregion1_spot_83,1.8130931380255789e-06,6.2942986687630774e-06,5.19620812156063e-06,0.7810190469026566,9.289941372117027e-05,2.0041383550051253e-06,9.254865517505095e-06,0.28082754015922545
priorregion1_spot_84,8.264013013103978e-05,1.379756463393278e-05,1.6386889910791072e-06,0.2627581596374512,5.936028574069497e-05,4.685882322519319e-06,6.414075727434465e-07,0.5366416275501251
priorregion1_spot_85,1.6664825920997828e-06,1.4454706672495378e-06,0.0006564080424141139,0.17012114077806473,6.176297974889167e-05,1.1484007188755641e-06,6.18320532908001e-07,0.4643403202295303
priorregion1_spot_86,0.0007273237104527652,8.18100063042948e-05,7.756465095098975e-07,0.4530646398663521,1.1709603904819233e-05,0.00017905070271808654,2.6925519591713964e-06,0.6988780409097671
priorregion1_spot_87,0.00016529580534552224,0.005479322816245258,0.0007265540712978691,0.3524962514638901,7.099939357431141e-05,0.001225255220197141,3.409986550195754e-06,0.36397142559289936
priorregion1_spot_88,1.7143521517937188e-06,1.6101270432500314e-06,1.956891674126382e-06,0.3323498979210854,0.0028562359162606302,3.8900035178812686e-05,3.037149190276978e-05,0.6103755325078964
priorregion1_spot_89,2.0772160269189042e-06,7.497088677155261e-06,0.0006314338010270148,0.14142741709947584,5.357848822313826e-05,1.8182754217832553e-06,7.191077713741833e-07,0.6302317023277282
priorregion1_spot_90,1.805857465342342e-06,5.427696032711538e-06,3.154303939822967e-07,0.4026564911007881,1.0106760737471633e-05,1.39820236313426e-06,1.0317965802641994e-06,0.42488584518432615
priorregion1_spot_91,1.5305737042581315e-05,0.00015192227074294353,9.717553041355132e-07,0.035340333357453346,2.6457766489329514e-05,1.6589853476034478e-05,0.00041346379148308186,0.42370698153972625
priorregion1_spot_92,1.7756927150003322e-06,5.636339352577125e-07,9.070442359870867e-07,0.1579195223748684,1.6209172315484466e-06,4.009897395462758e-07,8.394943705525294e-07,0.5220586210489273
priorregion1_spot_93,1.9364645027053487e-06,0.0033940603956580163,1.0685511097108248e-05,0.205067802965641,2.6071781394421124e-05,8.713582428754308e-06,0.0001822740487114061,0.35422338396310804
priorregion1_spot_94,7.289871223292721e-06,0.0036979484488256277,1.7626919586177793e-07,2.552457899582805e-05,4.713186681328807e-05,6.990670101458818e-07,2.2104480379425698e-07,0.7162926852703094
priorregion1_spot_95,3.8260807377810126e-05,0.00400082680862397,2.306601356849569e-06,0.5113627523183822,0.0003187575843185186,4.6036891035328155e-06,0.0010419616126455366,0.41524931937456133
priorregion1_spot_96,7.877355869823078e-07,2.764354633200128e-06,6.174663695901473e-07,0.20408984422683715,7.069276375659683e-06,3.43168987910758e-06,2.8450714694372433e-06,0.49759110659360883
priorregion1_spot_97,0.00011125942801299972,0.0026925169862806794,0.0012463302875403315,2.1347345113754272,0.023675634525716305,2.3952578339958565e-05,0.008315511560067533,0.31047092527151104
priorregion1_spot_98,8.484366335324012e-05,5.028229315939825e-05,0.00028065829537808894,0.6556733936071396,0.007165225921198726,6.0579341607081e-06,1.9968030937889128e-05,0.4045431330800056
priorregion1_spot_99,2.3310358210437697e-05,1.3923899905421425e-05,0.00033163794723805044,1.6696947455406188,3.7497150151466486e-05,0.00019783363095484676,1.5584458765260934e-06,0.37059954255819316
priorregion1_spot_100,1.9387423526495696e-05,3.6552221536112485e-05,3.463778384116268e-07,2.8335541514934446e-06,0.006342127313837409,5.085548741590173e-06,0.0012043556023854762,0.5018768280744552
priorregion1_spot_101,2.3211018060464992e-06,3.771477463487827e-06,2.3673562964177108e-06,0.3151672720909119,0.00028037671872880313,1.0226597032669817e-05,2.2501227363136425e-06,0.3356509730219841
priorregion1_spot_102,0.00024805744033074006,8.144456114678177e-06,0.00020600896677933634,0.98455730676651,5.668438334396342e-05,2.7499568295752398e-05,7.897569503256818e-06,0.5453041195869446
priorregion1_spot_103,1.027200937642192e-06,5.581604773396976e-06,6.000701745279003e-07,0.09366727583110332,1.8222370636067355e-05,1.2230278571223608e-06,4.394988445710624e-06,0.39590844810009
priorregion1_spot_104,4.197469070277294e-06,6.4300201529476915e-06,1.9066115612531576e-06,0.33131619542837143,2.517599968996365e-05,3.7475982935575306e-06,1.1183274011727917e-06,0.33602973520755763
priorregion1_spot_105,0.018236708734184506,0.0001780250793672167,0.0028298301622271538,1.0169209837913513,0.010199260013177992,0.030948727577924728,0.00024746777780819683,0.0005936367844697088
priorregion1_spot_106,7.27780359738972e-05,0.004877753113396466,6.218919310185811e-07,0.09263871833682061,9.807254582483439e-06,1.6574796916302149e-06,3.411205511838489e-06,0.5324467718601227
priorregion1_spot_107,4.063551132276188e-05,0.0018042361887637525,5.8305702395955445e-06,0.9565410971641541,0.0006103369902120903,7.47521221455827e-06,2.066006368295348e-06,0.6043893963098526
