	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.40406483	0.002273528	2.0221422e-07	8.522276e-08	8.1698687e-07	6.437221e-07	0.5936598	6.519378e-08
priorregion1_spot_2	0.4122232	0.00017393571	0.0013743234	1.36754e-07	1.9496748e-07	1.9806964e-07	0.5862279	6.7641956e-08
priorregion1_spot_3	0.28899446	0.0108420085	9.857055e-08	5.274227e-08	1.9650304e-07	0.0015446082	0.6986185	9.776282e-08
priorregion1_spot_4	0.24009603	9.584538e-07	0.0010655264	6.029842e-08	0.004570824	1.119686e-06	0.75426537	5.9037816e-08
priorregion1_spot_5	0.7199529	0.00033513075	1.4105747e-07	0.0004513834	2.083072e-06	1.985327e-07	0.2792581	6.6458e-08
priorregion1_spot_6	0.0031933666	2.6049676e-07	4.3827947e-07	0.00055630127	2.305753e-07	1.5748502e-07	0.99074244	0.0055067786
priorregion1_spot_7	9.102929e-08	1.195374e-07	1.7044233e-07	4.44278e-08	1.4188525e-07	2.7240506e-07	0.99999917	3.3437747e-08
priorregion1_spot_8	0.78834456	0.007341942	8.539408e-08	4.4321858e-08	1.099646e-07	5.5561195e-08	0.20431313	3.2959942e-08
priorregion1_spot_9	0.37988237	1.1567248e-06	0.0031434086	6.7303226e-08	5.874773e-08	5.3590043e-08	0.6169729	1.4839284e-08
priorregion1_spot_10	0.4724298	1.4504501e-05	4.2596702e-07	1.5726704e-07	0.00603088	0.001866109	0.5160153	0.0036429078
priorregion1_spot_11	0.33009776	3.715692e-06	1.1423462e-07	1.1892101e-07	0.006157781	5.0965645e-07	0.6574149	0.006325084
priorregion1_spot_12	0.16915451	0.008234778	2.3100434e-07	0.001075276	1.1016064e-07	1.25343e-07	0.82153493	2.9806642e-08
priorregion1_spot_13	0.36486813	6.442693e-06	9.71195e-08	6.310461e-08	3.1493755e-07	0.0017817403	0.63334316	6.876112e-08
priorregion1_spot_14	0.0016773775	1.3145853e-07	6.185448e-08	4.0784855e-08	0.0010710827	0.0025739507	0.9930065	0.0016707071
priorregion1_spot_15	0.39287853	1.0589592e-05	1.9743902e-07	1.9206443e-07	3.7886466e-07	4.164634e-07	0.6071096	5.046029e-08
priorregion1_spot_16	0.059445474	0.0007632673	2.3245467e-07	1.065779e-07	1.271832e-07	2.540328e-07	0.9397905	8.406092e-08
priorregion1_spot_17	0.7409098	0.0005017262	1.4700147e-07	1.02775445e-07	1.4910705e-07	1.7456934e-07	0.2585879	3.9288665e-08
