	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	7.1578046e-07	0.0017284655	4.417552e-08	0.05027517	2.3410345e-07	0.0007662926	4.152357e-08	0.9472291
priorregion1_spot_2	5.08935e-08	3.5319e-08	0.00012209946	0.051779024	1.4564334e-07	2.275757e-07	3.7426947e-08	0.94809836
priorregion1_spot_3	2.0965918e-07	4.6702578e-08	1.884342e-07	0.025831213	0.005023844	2.4414675e-08	1.8506404e-08	0.9691444
priorregion1_spot_4	2.8796538e-07	5.8183787e-08	0.0009889059	0.09671374	0.008414052	0.0016871442	1.5388366e-07	0.8921957
priorregion1_spot_5	1.2019922e-07	2.2803599e-08	1.4583307e-08	0.018073762	1.9186504e-07	5.1946557e-08	2.2890841e-08	0.98192585
priorregion1_spot_6	6.27641e-08	8.8866884e-08	0.0015649283	0.07960201	3.1665543e-06	9.483656e-08	1.5008963e-08	0.9188297
priorregion1_spot_7	8.749234e-08	6.6670293e-07	0.00014825052	4.9797052e-08	5.2148806e-07	3.780139e-08	3.3553967e-08	0.9998504
priorregion1_spot_8	2.3644418e-07	0.0004544865	0.00077662786	0.107612364	1.3860105e-07	0.0011894807	0.0019484244	0.8880182
priorregion1_spot_9	5.989605e-08	1.1140836e-06	3.359568e-08	0.13255723	1.2601336e-07	4.1349505e-08	9.244752e-08	0.8674413
priorregion1_spot_10	3.3310933e-08	3.3193405e-08	0.0005723767	0.1387482	1.1422346e-07	5.7997134e-08	3.300858e-08	0.86067915
priorregion1_spot_11	5.7952736e-08	9.128794e-08	0.00025516385	0.052598402	1.3911549e-07	0.00040353707	0.00021010383	0.9465325
priorregion1_spot_12	4.7811977e-08	4.4892026e-08	1.16526536e-07	0.994726	4.5592845e-08	0.0022685835	9.4768154e-08	0.0030050415
priorregion1_spot_13	4.6589083e-08	3.8475502e-08	3.7369034e-08	0.08089947	0.00047492076	1.13594375e-07	4.4575508e-08	0.9186253
priorregion1_spot_14	1.0224242e-07	4.9503956e-08	3.985538e-08	0.017308924	0.002541499	9.044235e-08	2.3881904e-08	0.9801493
priorregion1_spot_15	6.21927e-08	7.150843e-08	3.7641552e-08	0.15074053	1.6568823e-06	1.9050577e-07	6.5145446e-07	0.8492568
priorregion1_spot_16	2.9889712e-08	1.2404311e-07	0.00046628885	0.05090454	1.569288e-07	0.0008350828	0.0016725102	0.9461213
priorregion1_spot_17	0.0010521701	1.423126e-07	7.453099e-08	0.20334968	1.741959e-07	0.000843305	1.1474491e-06	0.79475325
priorregion1_spot_18	5.4653947e-07	0.0007250657	2.383534e-08	0.07271933	1.7332289e-07	0.00076279475	3.974397e-07	0.92579174
priorregion1_spot_19	3.933708e-08	3.0247882e-08	1.9679137e-08	0.06685174	1.1005627e-06	0.002682666	8.888672e-08	0.93046427
priorregion1_spot_20	1.747506e-08	1.024211e-08	2.6695846e-08	5.6037454e-08	7.014677e-08	2.5016798e-08	2.2914766e-07	0.9999996
priorregion1_spot_21	5.034999e-08	4.0408676e-08	6.1539275e-08	0.21819836	1.1602155e-07	5.1341914e-08	5.9406915e-08	0.7818013
priorregion1_spot_22	2.9604836e-08	2.6035101e-08	0.0002967705	0.045701772	4.323403e-07	1.3700994e-06	6.376859e-08	0.9539995
priorregion1_spot_23	0.0023255239	1.7380061e-07	4.982492e-08	0.14386246	6.6132554e-05	4.6838515e-08	4.0823732e-08	0.8537456
priorregion1_spot_24	3.6634656e-08	3.5697017e-08	5.991072e-08	0.20612977	4.373679e-08	3.736287e-08	6.914946e-08	0.7938699
priorregion1_spot_25	0.0012954726	0.0014616135	3.210382e-08	0.14634368	2.3110236e-07	8.048793e-08	3.70672e-08	0.85089886
