,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,1.1607679653025116e-05,0.003277444699779153,0.000642518763197586,2.7684467077255253,0.0008528462378308177,3.781124578381423e-05,7.77413839387009e-05,0.6072917759418488
priorregion1_spot_2,0.0025422865059226752,0.00018739686129265465,3.5600323485596163e-06,3.4947161555290225,0.002372837299481034,0.015783642046153543,0.02442577974870801,0.235515359044075
priorregion1_spot_3,6.604006284760544e-06,0.0005261895566945896,3.347913734614849e-05,1.0340619564056397,1.5216119436445297e-05,3.96674466173863e-05,1.2724215503112646e-05,0.8706531405448914
priorregion1_spot_4,9.218873265126605e-06,3.3526933475513945e-05,3.5617868206827555e-06,4.96671085357666,0.0017145491379778833,0.0015249633288476616,1.1574810878300923e-05,0.00240080269286409
priorregion1_spot_5,3.438813055254286e-05,0.0008549425925593823,7.180530519690366e-05,8.062251234054566,0.00482661894056946,0.004177937447093427,0.0011301065213046968,0.0014935683226212858
priorregion1_spot_6,6.503872697294355e-07,1.1474872690087067e-05,5.6363528244673946e-08,1.8256818413734435,0.008481202879920602,8.941453586430725e-07,2.664460822643378e-07,0.000201111728529213
priorregion1_spot_7,3.731677793439304e-06,6.299996457528324e-05,1.133541445597075e-06,0.7852302521467209,7.523651074734517e-05,2.5641578417889835e-06,5.57856918703692e-07,0.7665350079536438
priorregion1_spot_8,2.4068084894679486e-05,0.00013847029840690085,0.001385867688804865,2.568574678897858,1.4239188567444217e-05,6.311018842097837e-05,2.901143325289013e-05,0.6907307952642441
priorregion1_spot_9,7.538424824815594e-06,0.00026079046947415915,1.0716558961121335e-06,2.0082253098487857,0.05815797094255686,1.2185698324174155e-05,9.48654151216033e-06,0.9232142955064774
priorregion1_spot_10,9.639829986554104e-05,0.00012173424656793942,0.03456722125411034,0.8084020018577576,2.1327752438082826e-05,5.912428168812767e-05,4.3123041905346327e-05,0.5887240737676621
priorregion1_spot_11,0.0002783881966024637,0.031092361081391573,1.1061774785048328e-05,8.015398263931274,0.01771033676341176,0.017843847442418338,0.0003789124879403971,0.003034514584578574
priorregion1_spot_12,1.6080760633485625e-05,4.8754075760371054e-05,0.00011422019670135342,6.354304814338684,0.07431674301624297,6.237076668185182e-05,0.0033513556118123233,0.0006303061149083078
priorregion1_spot_13,7.397136760118883e-05,5.2528036121657354e-06,1.3338856888367445e-05,4.349460697174072,0.008674869919195772,0.0007179844658821821,0.0022220038576051594,0.0008002100483281537
priorregion1_spot_14,5.4211143833526876e-05,2.931856115537812e-05,4.0164733945857735e-06,2.643767940998077,0.03433126378804446,6.650178784184391e-06,1.3934219452949038e-06,0.13894948959350586
priorregion1_spot_15,6.22602792645921e-06,4.063006031174155e-07,0.0001172158412373392,2.695708703994751,0.0220740239135921,0.00012485840961744545,0.006487622228451073,0.00029804649384459483
priorregion1_spot_16,0.00021272162848617882,0.00031558463379042226,0.0005588811880443246,2.613715136051178,0.0001507406275777612,5.143544130987721e-05,0.0002260253051645123,0.5927538126707077
priorregion1_spot_17,2.79853126130547e-06,5.767752838892194e-07,2.4200001689678176e-06,4.2240204334259035,0.029485170450061562,0.0004890370575594716,0.0033272024127654733,8.173841961252039e-05
priorregion1_spot_18,0.00014497750671580434,1.7970038527437283e-06,0.014729720586910845,2.7778515696525576,0.022683269437402488,0.3325886681675911,0.005487988702952862,4.6688783731951845e-05
priorregion1_spot_19,2.1763142649433578e-05,0.0004414461262058467,9.654259229137096e-05,2.7063670635223387,0.11646231189370156,0.00013879210164304825,7.952633641252759e-05,0.7647269815206528
priorregion1_spot_20,0.0001021132520691026,0.0060137560125440356,0.005849946802482009,6.294608473777771,0.023616881202906368,0.002273251279257238,0.009680547611787917,6.412310563064239e-06
priorregion1_spot_21,9.66313440585509e-05,0.003230449999682605,0.0018072640290483833,8.831153535842896,0.00486996634863317,0.004310340853407979,0.004802623414434493,0.0016901157912798228
priorregion1_spot_22,9.304384730057792e-06,0.0005920915573369712,0.00011483375201351009,1.0832751512527465,0.0002162288721592631,9.195447319143568e-06,5.560362779988282e-07,0.48597162365913393
priorregion1_spot_23,1.694360271358164e-05,6.679675680061336e-05,4.298937110434053e-05,3.409728491306305,0.0003849975109915249,5.4780520440544936e-05,0.0010564220079686492,0.5273932904005051
priorregion1_spot_24,2.9603308939840647e-05,0.0015071037109009922,0.0004395948082674295,1.216158825159073,5.7229661979363304e-05,5.36950648893253e-05,7.309137413358258e-06,0.585962337255478
priorregion1_spot_25,1.989563043025555e-05,3.4427570767547876e-07,1.0188620422013629e-06,3.852605974674225,0.021593716461211443,1.7725785619404635e-05,0.005102710099890828,1.1599888296132122e-06
priorregion1_spot_26,1.0299588166162722e-05,1.0587704446152202e-05,7.220300375365696e-07,2.6876709818840023,0.050315667502582075,3.7283934602783123e-06,5.734857467132316e-07,0.3441268026828766
priorregion1_spot_27,0.014026241563260556,1.4522264291372268e-05,4.149307369516463e-06,5.674302911758423,0.05833240468055009,0.014951313100755216,0.018083946127444506,0.0035308195627294483
priorregion1_spot_28,0.00020503816849668514,0.00022815761258243583,7.40486523227446e-06,3.874289345741272,0.09281175732612611,0.00027590845711529256,0.00014450410162680782,0.19409968405961991
priorregion1_spot_29,0.0011241551372222602,0.00010772152490972077,2.421752654413467e-07,0.8921790033578872,1.1317512780806283e-05,2.4449208012811138e-06,8.017743255095411e-07,0.39128949642181393
priorregion1_spot_30,2.2699542478221703e-05,5.511454537554528e-06,0.002044843579642475,1.7689320147037506,0.02084932429715991,0.016247503459453583,0.0015088849700987338,1.5010379911473139e-05
priorregion1_spot_31,0.004074727860279381,3.2730649309087314e-06,1.8713108238443966e-05,3.4946831464767456,6.533888040394232e-06,2.8333243153610966e-05,2.8399862344485884e-06,0.0011553870106581598
priorregion1_spot_32,0.0013929680222645403,0.0033975781640037893,0.006391913373954594,7.410825705528259,0.018595462571829556,0.002696554455906153,0.004359618946909905,0.002580875891726464
priorregion1_spot_33,0.0016302042757160961,0.001050939952256158,1.4112836140611763e-06,2.502542495727539,0.07623017355799674,0.025138494092971087,1.9145183705404635e-05,0.561329847574234
priorregion1_spot_34,5.096841073282121e-06,9.567967572365889e-06,5.023501898904215e-07,2.4159818768501284,0.04238949678838253,0.009712337609380485,0.0004344929751823656,4.1865926903028603e-08
priorregion1_spot_35,1.206373281092965e-06,4.1046118667509295e-06,1.1528928069992616e-07,2.4810411691665646,1.5004204988144922e-05,2.3414320935444266e-06,1.0838334276286333e-06,0.0005980223475489765
priorregion1_spot_36,0.010477082105353475,0.03653075695037842,0.0005934668064583093,6.515543055534363,0.0008571308542741462,0.00016775913973106072,0.0016001972486265005,0.5654200494289399
