	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	1.3940703e-06	4.365689e-07	0.7158762	1.15669096e-07	7.803547e-08	1.5050317e-07	0.2841215	8.235272e-08
priorregion1_spot_2	1.5741375e-07	1.5358864e-07	0.36456513	8.694804e-08	8.355519e-08	1.8662863e-07	0.63543415	5.8713795e-08
priorregion1_spot_3	6.1299903e-07	0.0020483355	0.28258124	2.523256e-07	0.0052596624	3.7422396e-06	0.71010184	4.331459e-06
priorregion1_spot_4	1.6430907e-07	1.304221e-07	0.9010266	3.7710447e-07	1.29604e-07	0.0032000693	0.09577248	5.718766e-08
priorregion1_spot_5	0.0014065676	1.7625948e-07	0.54792726	1.1074716e-07	3.4005073e-08	0.0045842878	0.44608152	3.6930636e-08
priorregion1_spot_6	7.642855e-06	0.0010779928	0.7132314	1.2605803e-07	1.0586447e-07	0.008576628	0.27710602	6.399131e-08
priorregion1_spot_7	1.9866519e-07	0.0031911836	0.45661518	0.0022495433	3.4148627e-07	1.3927939e-06	0.5379419	2.5324618e-07
priorregion1_spot_8	7.659748e-06	9.3367794e-07	0.5055117	1.3458151e-07	3.8925063e-07	4.3361462e-07	0.4908496	0.0036291494
priorregion1_spot_9	2.3699148e-07	1.3578301e-07	0.99999917	7.821947e-08	1.2472834e-07	1.5066169e-07	7.089826e-08	3.376864e-08
priorregion1_spot_10	2.4857692e-07	1.8714928e-07	0.93931127	1.7745836e-07	2.4962313e-07	1.8704544e-07	0.060687527	2.4055464e-07
priorregion1_spot_11	9.214634e-08	7.1681335e-08	0.5163233	1.695579e-07	7.236551e-08	2.068541e-07	0.48367605	3.955735e-08
priorregion1_spot_12	1.9875718e-07	1.3680446e-07	0.8225083	8.8585415e-07	1.3198917e-07	4.9756596e-07	0.17748973	6.257158e-08
priorregion1_spot_13	4.4221315e-07	2.734501e-07	0.8566035	1.95587e-07	2.0014804e-06	0.005012449	0.1338702	0.00451088
priorregion1_spot_14	2.0545558e-06	0.0021730766	0.75894266	0.00058756873	3.3778093e-07	1.8392687e-07	0.23829404	5.867003e-08
priorregion1_spot_15	3.2640423e-07	4.524247e-07	0.9328378	1.19117075e-07	4.2613513e-07	4.818456e-07	0.06716008	2.9549153e-07
priorregion1_spot_16	0.0074706674	1.6542987e-06	0.25082776	0.0008195118	0.005453375	0.0013635552	0.72911847	0.0049450328
priorregion1_spot_17	1.2947503e-07	1.11148175e-07	0.69955677	0.00012858924	1.2095184e-07	4.1400256e-07	0.30031374	8.2975625e-08
priorregion1_spot_18	2.4244875e-07	2.1858452e-07	0.75564384	5.172981e-07	1.01855676e-07	5.0564653e-05	0.2443044	1.4081182e-07
priorregion1_spot_19	1.6984076e-07	9.4211646e-07	1.0336976e-07	0.00077112764	1.8151768e-07	1.5264008e-06	0.9992258	1.3511823e-07
priorregion1_spot_20	1.7094708e-07	1.2923839e-07	0.88423675	0.0021127518	2.415696e-07	5.6199195e-07	0.11364937	4.77577e-08
priorregion1_spot_21	9.665772e-08	2.51326e-07	7.3509185e-08	6.0371306e-08	6.8655346e-08	0.0016042135	0.9983952	2.5243658e-08
priorregion1_spot_22	0.010580813	0.0020610658	0.2825661	1.8134331e-07	2.5459067e-07	0.0027916345	0.6998588	0.0021412077
