,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,1.7569816410541534,0.00036696671741083265,2.56072175375266e-07,4.837373262489563e-06,0.008156937547028065,0.00045764007227262483,9.693946594779845e-06,0.00015871632640482858
priorregion1_spot_2,4.243406414985657,0.02259477861225605,5.7096721320704095e-06,0.0001954786654096097,0.01113457209430635,0.02040328346192837,0.9293755769729615,0.003264170920010656
priorregion1_spot_3,1.1889064013957977,0.00858381288126111,2.812478498981364e-06,4.1616481780692995e-07,0.001936093857511878,9.910335393215064e-05,2.541584160553612e-06,1.0657228085619864e-05
priorregion1_spot_4,3.5382057309150694,0.0006701062869979068,1.1551170655366149e-05,1.7110779026552339e-06,0.06786056943237782,1.4271129339249456e-05,0.41306630373001096,3.9997653402679134e-05
priorregion1_spot_5,1.964182937145233,0.015268230019137264,2.49627197490554e-07,3.3806856976070775e-07,0.0016015347093343735,7.156457445489651e-06,1.066626778083446e-05,0.00014637610438512637
priorregion1_spot_6,1.9598523318767547,0.03138959128409624,5.055603310211154e-07,8.900388962729266e-07,0.0014756806252989919,4.341628937254428e-06,0.0002291658820468001,0.00013022717394051142
priorregion1_spot_7,2.8960992217063906,0.0013399341085460037,3.6812297850019603e-07,5.6568455420347165e-06,0.011901833908632397,0.00013447965975501574,1.7390552420692982e-05,0.000259357102913782
priorregion1_spot_8,3.4011623859405518,0.01428381814621389,1.3293319113927283e-06,2.7993760522804226e-05,0.019090054929256438,3.655166747194016e-05,6.999860961514058e-05,0.0018626850214786828
priorregion1_spot_9,3.226088547706604,0.1840919628739357,8.928785462103407e-07,0.0002685214800294489,0.01007531643845141,1.1157364406244597e-05,0.005155623541213572,0.0018862242752220482
priorregion1_spot_10,4.841803050041199,0.04118321556597948,0.0011661452997941523,6.310211101663299e-05,0.0032721604919061066,2.844842738340958e-05,0.00037403536116471515,0.0012697251804638654
priorregion1_spot_11,3.009337317943573,0.038450270891189575,0.0015627614222466946,0.0014351148216519504,0.04306199233978986,0.0016262650955468415,0.4766377121210098,0.004061781545169651
