,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.0007131167687475682,1.9217168755858438e-05,0.8516498595476151,3.0978545510151896e-05,1.6437914291600466e-05,8.623916215810824e-07,1.4487279855757152e-07,1.1263926353421995e-05
priorregion1_spot_2,9.571352238708641e-05,0.00927054015919566,1.833958238363266,2.8944957080057065e-06,1.7935687355929986e-05,0.0002017996783251874,5.684857541154998e-07,0.0006914719677297398
priorregion1_spot_3,3.642751416919054e-05,0.0007391160994302481,2.439378261566162,2.76308222737498e-06,0.010324924485757947,2.483295929778251e-06,1.843251166064874e-05,0.0006557161570526659
priorregion1_spot_4,1.3345927811769798e-06,9.991201613956946e-06,1.4144119918346405,1.0956889468616283e-06,0.00029603147122543306,1.8968324911838864e-05,0.0020034308545291424,2.0652874397342205e-07
priorregion1_spot_5,0.00018223152219434268,4.437861261976651e-05,0.9726745784282684,0.000608733663102612,0.001613575278315693,3.0302229106382585e-06,4.250028155183828e-06,2.4080535013126793e-06
priorregion1_spot_6,2.5912652836268536e-05,0.0033900342416018246,1.7468552887439728,4.832904551221873e-06,0.008623696211725474,0.001621896558208391,2.203847561759176e-05,3.5520384244591694e-06
priorregion1_spot_7,1.1511687432630424e-06,0.0002988511609146372,1.6510272741317749,0.00013752789454883897,0.0015991013555321841,1.2475121638999554e-05,9.987160808577756e-07,0.00023307021328946575
priorregion1_spot_8,6.099199339359985e-07,3.8284680840661165e-06,1.7805239677429199,2.600072657514829e-05,0.0031577452085912233,8.430041532392352e-07,0.002009430027101189,1.8871802410558302e-06
priorregion1_spot_9,0.007768611237406731,1.8724007713899485e-05,1.9311863899230959,1.0121988793798664e-06,0.014850759971886873,0.0009714074636576697,0.0005590434127952904,5.979853140161141e-05
priorregion1_spot_10,4.508255460677902e-06,1.4800715734963886e-05,1.4595324456691743,2.1553576971200528e-05,0.15507744997739792,5.841581014465191e-07,6.12130736499239e-06,1.045319555714741e-06
priorregion1_spot_11,0.0001366667784168385,0.004688604082912207,1.9360966861248017,0.0011917882540728897,0.0001103836973925354,1.8428810449222512e-06,0.00032112594781210643,1.0585213567537723e-05
priorregion1_spot_12,0.007188348192721605,6.374371296260505e-05,2.9574748396873476,0.00796449868939817,0.007167926034890115,0.0020420707180164757,0.0011260192433837802,1.1568115951376968e-06
priorregion1_spot_13,0.0002555019978899509,4.0202250238507994e-05,1.4671595752239228,0.004192462773062289,0.01689623408019543,0.06541726738214493,0.0003657277862657793,3.602189815410384e-06
priorregion1_spot_14,7.317977838283696e-06,0.002474206779152155,2.7149845004081725,0.0015631638467311858,0.0176697650924325,3.0628228728346587e-06,0.0008433239941950888,1.7016644051182084e-05
priorregion1_spot_15,8.792912512944896e-06,0.0003661485330667347,2.8413931250572206,0.001141634024679661,0.009008754743263125,6.663269778073299e-06,0.0015582706895656885,0.0011831310752313585
priorregion1_spot_16,0.0005415113380877301,4.083331350557273e-05,1.4404510676860809,9.527909560347325e-06,0.00036396284413058315,0.005154696363024414,4.107899621885736e-06,0.0001647915843932424
priorregion1_spot_17,1.0427106325039404e-07,0.0003477352365734987,0.9693951815366745,5.1023391461058064e-05,1.408967059433053e-05,5.334335156703674e-07,5.269202290492104e-07,2.7648029572446835e-07
priorregion1_spot_18,0.00045441317779477687,0.0015264353074599057,2.7689483642578128,0.0019501652335748075,0.007642576773650944,1.2880931171821432e-05,0.008171933190897108,0.00040769866754999386
priorregion1_spot_19,0.0025274006882682444,9.065130761882756e-05,2.439951407909393,0.004782067122869193,0.014174180664122106,2.614426384752733e-05,0.005641357181593776,0.00015650258428649976
priorregion1_spot_20,0.00015970985987223687,8.546067110728472e-05,1.7686082780361176,4.652347779483535e-05,0.019604361057281496,5.743589485973644e-06,5.06165324622998e-05,1.878175908132107e-06
priorregion1_spot_21,2.0205661598993177e-06,1.0234377941742424e-05,0.5778087556362151,1.957717336154019e-06,0.0002950624242657796,6.347178009491472e-06,0.0006753373163519427,2.3232920938198733e-07
priorregion1_spot_22,7.671998254465963e-08,1.1294762657598768e-06,1.429580533504486,1.7342184662538786e-06,1.3223230598669034e-05,2.6568905809654097e-06,2.824810474066908e-06,1.6682413459534478e-07
priorregion1_spot_23,5.252205767192208e-07,0.0008118163270410151,0.8650043666362762,1.926689316178454e-06,1.4139537995561116e-06,7.769230933263316e-07,1.265099854208529e-07,4.5111343922599194e-07
priorregion1_spot_24,7.02433247568024e-08,1.042272992890503e-06,0.7780465334653854,2.1605296041116165e-07,7.128249922061514e-06,3.8425345394443877e-07,4.845833867506144e-08,3.602054630391649e-06
priorregion1_spot_25,2.4743978201513526e-06,0.008153567230328918,2.5602689385414124,7.35691181034781e-05,0.00022605319391004743,0.0006699406541883946,0.00041110095335170624,0.0007133189123123884
priorregion1_spot_26,1.4049997503207123e-06,0.0018258222320582719,1.3114974021911623,9.459934574351793e-07,2.2172847911861025e-05,5.732252361667635e-07,0.00025612915196688847,1.8996410688032484e-06
priorregion1_spot_27,0.00022571111621800808,0.004131225217133761,2.343343460559845,6.308192564574711e-06,0.014237537886947394,0.0013886305212508887,1.9388616783544423e-05,0.0009051899454789236
priorregion1_spot_28,4.591295546561014e-05,0.00038288136711344127,1.9204332947731018,7.860670933723668e-07,0.004960298538208008,7.784574421521029e-07,0.0009093995409784838,1.918253548183202e-06
priorregion1_spot_29,4.300714522287308e-06,0.007806926337070763,1.6974705696105958,5.918626106904412e-06,0.00454770631622523,6.129827634140384e-05,0.0006557701621204616,5.896318896247977e-07
priorregion1_spot_30,4.446222163778657e-07,7.759750724289916e-06,1.235356366634369,0.0019542979425750673,5.3280789188647756e-06,0.0015607145323883744,6.184395289210443e-07,1.038041746141971e-05
priorregion1_spot_31,0.005434693139977753,0.00024007259562495165,2.2533862829208378,0.00026310262182960287,0.020636994391679764,0.00011350035892974119,0.006126126134768129,0.0003219513877411373
priorregion1_spot_32,1.2115206629914611e-06,4.1867307663778776e-05,1.0105143785476685,5.898041990803904e-06,0.009086495358496904,1.2971722242127726e-06,8.708725954420515e-06,2.388967823208077e-06
priorregion1_spot_33,1.3637177119107948e-06,0.0011413360538426788,2.1393564105033875,0.0019154887064360081,0.009991229278966784,0.00037304930738173424,0.00014990695199230687,7.074219029163941e-05
priorregion1_spot_34,0.022728228475898504,7.01833596394863e-05,1.922950452566147,0.0397750373929739,0.0013703654462005944,0.02272924017161131,0.01770599624142051,0.0015025812783278523
priorregion1_spot_35,0.009505656640976667,1.7710247902869014e-05,2.4449585437774655,0.0028771268203854564,0.0031570710125379264,3.6093401718062526e-06,0.00036215879663359374,1.7022110910147605e-06
priorregion1_spot_36,0.002474742894992232,0.00016520999997737817,1.9316575109958647,2.2750577772967515e-05,0.0030384039389900865,1.2673284970787792e-06,3.1682370354246815e-05,0.00036008958268212153
priorregion1_spot_37,9.46448280956247e-06,7.359459887084086e-05,2.4620916485786437,3.9777028518983575e-06,0.00435737380757928,1.474076070735464e-05,0.00019428538653301075,0.00032981344411382453
priorregion1_spot_38,2.1085004391352413e-06,0.0015801405417732893,1.8547733545303344,2.2180600012688957e-06,0.012320838309824465,4.866290892096004e-05,0.0005736055172747001,0.00013263616856420412
priorregion1_spot_39,0.005515962839126587,0.00016945736279012636,2.8341371774673463,0.0014497365278657525,0.0029839083668775856,3.214151468000637e-06,9.42712005780777e-05,0.00015309514274122193
priorregion1_spot_40,1.5267719618350383e-06,6.59226130665047e-05,1.600570285320282,9.257065698875522e-07,0.00773698939010501,3.592823559301906e-05,2.420743851416773e-06,4.82496745462413e-05
priorregion1_spot_41,8.810149211058162e-06,0.0005046433390816673,1.6001017749309538,4.920921019220259e-05,3.4988110769518247e-06,6.786031633509992e-07,0.00010159331577597187,2.8208062076373613e-06
priorregion1_spot_42,1.1564550902676273e-06,0.0001001586686470546,2.1834189891815186,1.3622237702293207e-06,0.010240674437955023,0.00017696025170153007,0.00012745398707920686,2.3332155592470373e-06
priorregion1_spot_43,0.005366801004856824,4.437498428160325e-05,1.2958273708820343,0.00667327712289989,4.9111573571281045e-05,0.00045387861464405436,0.0002691689587663859,3.351089833358856e-06
priorregion1_spot_44,1.3481403641435464e-06,1.5936988984321945e-05,1.5777017712593078,0.0033384773996658623,0.0070135530317202216,9.674575039753108e-06,0.00048425243439851327,1.7056146191407606e-06
priorregion1_spot_45,1.3556781027546098e-06,0.0009921408141963185,2.07788028717041,0.0035425684764049947,2.485599679857842e-05,0.0005440942710265517,0.00016604291449766608,7.578627986504216e-07
priorregion1_spot_46,4.309320811302087e-08,5.851020050613443e-05,0.7966027468442917,2.8167533127998467e-05,1.1956809146340675e-06,1.545860430951507e-06,1.5521263989626276e-07,1.220394203471642e-07
