	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.15045278	0.045347966	5.116247e-07	9.2289804e-07	0.01672139	0.20532946	0.002678096	0.57946885
priorregion1_spot_2	8.664952e-07	0.0037508283	3.500646e-07	3.3655766e-07	0.08382308	2.8825132e-05	0.009190781	0.903205
priorregion1_spot_3	0.015481244	8.7835946e-07	1.4084425e-07	0.0014112535	0.10223568	0.024626795	1.3859207e-06	0.8562426
priorregion1_spot_4	0.042183217	5.111801e-07	1.2843115e-07	0.011178372	0.04940842	1.8670795e-05	2.4011212e-07	0.8972105
priorregion1_spot_5	0.049018864	0.0008754972	9.429814e-08	1.1422003e-06	0.10670432	0.007850601	4.2354543e-07	0.8355491
priorregion1_spot_6	0.09126089	0.030378036	1.2557223e-07	0.0015566018	0.048807938	0.0049991882	0.01565249	0.80734473
priorregion1_spot_7	0.19741088	7.377204e-05	2.2572212e-07	2.0505054e-06	0.08609954	0.00999632	0.011813834	0.69460344
priorregion1_spot_8	0.057642013	0.033975434	1.0329481e-07	0.015638439	0.07438606	0.05430459	0.0038984811	0.7601549
priorregion1_spot_9	0.05168123	2.5358844e-05	1.59264e-07	0.022470832	0.1284909	0.02654123	4.0238936e-07	0.77078986
priorregion1_spot_10	0.16719235	0.034799613	0.0024514676	0.018181674	0.06176474	0.0051305867	0.0057832915	0.70469624
priorregion1_spot_11	0.17511827	1.4720246e-05	2.6649417e-07	0.008065796	0.08504089	0.058148302	8.095915e-07	0.6736109
priorregion1_spot_12	0.0041325963	0.00012408747	1.4660097e-07	0.008815496	0.058896646	0.058870398	0.010132593	0.85902804
priorregion1_spot_13	0.14814654	0.0145579185	1.2580324e-07	1.0324528e-06	0.048124943	0.18352492	1.4443611e-06	0.6056431
priorregion1_spot_14	0.44792604	0.0061733816	1.6014343e-07	6.659113e-07	0.1087297	0.004836059	7.757949e-07	0.43233326
priorregion1_spot_15	0.0026367581	0.021051506	2.217846e-07	0.009399179	0.016510531	0.03931871	0.0072836536	0.9037994
priorregion1_spot_16	4.0698632e-07	1.8299252e-07	1.2126839e-07	5.977195e-07	0.04784548	0.08402496	0.0073496234	0.8607786
priorregion1_spot_17	1.0467787e-05	0.008139875	0.0022180225	0.011744431	0.025307514	0.025902964	0.0077767754	0.91889995
priorregion1_spot_18	0.079252616	0.040912934	5.1301555e-08	0.0007061164	0.08393671	0.0020381557	9.756588e-08	0.79315335
priorregion1_spot_19	4.7884697e-07	0.0043562218	1.8677119e-07	0.02322418	0.03721605	1.8932195e-05	4.3911845e-07	0.9351835
priorregion1_spot_20	0.13040698	1.7779586e-05	1.3228428e-07	0.027992377	0.05558648	5.8614073e-06	0.0064901644	0.7795002
priorregion1_spot_21	2.4843223e-07	2.4774775e-07	1.07453914e-07	0.030373326	0.06921728	2.5774264e-06	5.2264197e-05	0.9003539
priorregion1_spot_22	6.5943556e-07	4.4989142e-07	3.9670212e-07	0.00010709652	0.027534062	0.009627081	4.4671194e-07	0.9627298
priorregion1_spot_23	2.6402793e-06	0.0032820764	0.001967467	0.003169105	0.03392038	1.6579968e-05	3.1524692e-07	0.9576415
priorregion1_spot_24	0.06672521	1.9067855e-05	8.1862986e-08	0.0030849709	0.08344648	0.020584296	3.656229e-07	0.82613945
